slug,provider,offer,actionButtons,chain,technology,txSpeedSla,throughputSla,openSource,support,starred,availableApis,monitoringAndAnalytics,additionalFeatures,assetTypes,price,economicalSecurity,economicalSecurityNote,auditsPerformed,decentralizationModel,sdk,supportedChains,tag
debridge,,!offer:debridge,"[""[Bridge](https://app.debridge.com/)"",""[Docs](https://docs.debridge.com/)""]",mainnet,,,,,,,,,,,,,,,,,,
hyperlane,,!offer:hyperlane,"[""[Bridge](https://www.hyperlane.xyz/)"",""[Docs](https://docs.hyperlane.xyz/)""]",mainnet,,,,,,,,,,,,,,,,,,
interport,,!offer:interport,"[""[Bridge](https://app.interport.fi)"",""[Docs](https://docs.interport.fi)""]",mainnet,,,,,,,,,,,,,,,,,,
jumper,,!offer:jumper,"[""[Bridge](https://jumper.exchange/)"",""[Docs](https://jumper.exchange/learn)""]",mainnet,,,,,,,,,,,,,,,,,,
layerswap,,!offer:layerswap,"[""[Bridge](https://layerswap.io/app)"",""[Docs](https://docs.layerswap.io/introduction)""]",mainnet,,,,,,,,,,,,,,,,,,
orbiter,,!offer:orbiter,"[""[Bridge](https://orbiter.finance)"",""[Docs](https://docs.orbiter.finance)""]",mainnet,,,,,,,,,,,,,,,,,,
owlto,,!offer:owlto,"[""[Bridge](https://owlto.finance)"",""[Docs](https://docs.owlto.finance)""]",mainnet,,,,,,,,,,,,,,,,,,
smolrefuel,,!offer:smolrefuel,"[""[Bridge](https://smolrefuel.com)"",""[Docs](https://docs.smolrefuel.com)""]",mainnet,,,,,,,,,,,,,,,,,,
stargate,,!offer:stargate,"[""[Bridge](https://stargate.finance/)"",""[Docs](https://stargateprotocol.gitbook.io/stargate/)""]",mainnet,,,,,,,,,,,,,,,,,,
symbiosis,,!offer:symbiosis,"[""[Bridge](https://app.symbiosis.finance/)"",""[Docs](https://docs.symbiosis.finance/)""]",mainnet,,,,,,,,,,,,,,,,,,
