slug,provider,offer,actionButtons,chain,dataSources,hasDashboard,historicalData,availableApis,price,planName,planType,starred,tag
algorand-metrics-dashboard-mainnet,Algorand,,"[""[Dashboard](https://algorand.co/metrics)""]",mainnet,"[""Transactions"",""Network Metrics"",""Active Addresses"",""Block Data"",""Performance Metrics""]",TRUE,,"[""Real-time Metrics API"",""Network Status API""]",$0,,Free,FALSE,
allo-mainnet,Allo,,"[""[Dashboard](https://metrics.allo.info/)""]",mainnet,"[""Transactions"",""Assets"",""Apps"",""Blocks"",""Accounts"",""NFDomains"",""TEAL Contracts""]",TRUE,,"[""TEAL Inspector API"",""Account API"",""Asset API""]",$0,,Free,FALSE,
arkham,,!offer:arkham,,,,,,,,,,,
artemis,,!offer:artemis,,,,,,,,,,,
blockworks,,!offer:blockworks,,,,,,,,,,,
bubblemaps,,!offer:bubblemaps,,,,,,,,,,,
cid-checker,,!offer:cid-checker,,,,,,,,,,,
coinexams-mainnet,CoinExams,,"[""[Dashboard](https://coinexams.com/utility/algorand)""]",mainnet,"[""Crypto Utility Metrics"",""Network Functionality"",""Token Utility Evaluation"",""Fees""]",TRUE,,"[""Utility Scores API""]",$0,,Free,FALSE,
coingecko-api-analyst,,!offer:coingecko-api-analyst,,mainnet,,,,,,,,,
coingecko-api-basic,,!offer:coingecko-api-basic,,mainnet,,,,,,,,,
coingecko-api-enterprise,,!offer:coingecko-api-enterprise,,,,,,,,,,,
coingecko-api-lite,,!offer:coingecko-api-lite,,mainnet,,,,,,,,,
coinglass,,!offer:coinglass,,,,,,,,,,,
coinmarketcap-basic,,!offer:coinmarketcap-basic,,,,,,,,,,,
coinmarketcap-enterprise,,!offer:coinmarketcap-enterprise,,,,,,,,,,,
coinmarketcap-hobbyist,,!offer:coinmarketcap-hobbyist,,,,,,,,,,,
coinmarketcap-professional,,!offer:coinmarketcap-professional,,,,,,,,,,,
coinmarketcap-standard,,!offer:coinmarketcap-standard,,,,,,,,,,,
coinmarketcap-startup,,!offer:coinmarketcap-startup,,,,,,,,,,,
cryptoquant-advanced,,!offer:cryptoquant-advanced,,,,,,,,,,,
cryptoquant-basic,,!offer:cryptoquant-basic,,,,,,,,,,,
cryptoquant-enterprise,,!offer:cryptoquant-enterprise,,,,,,,,,,,
