slug,provider,offer,actionButtons,chain,kycLevel,paymentMethods,bannedCountries,aggregator,auditsPerformed,deliveryType,tag
alchemy-pay,,!offer:alchemy-pay,,mainnet,,,,,,,
banxa,,!offer:banxa,"[""[Website](https://banxa.com/)"",""[Docs](https://docs.banxa.com/products/hosted-checkout/docs/reference/supported-cryptocurrencies-and-blockchains)""]",mainnet,,,"[""AF"",""CU"",""IR"",""KP"",""SY"",""PR"",""GB"",""US"",""VI""]",,,,
btcdirect,,!offer:btcdirect,,mainnet,,,,,,,
finchpay,,!offer:finchpay,,mainnet,,,,,,,
meld,,!offer:meld,,mainnet,,,,,,,
mercuryo,,!offer:mercuryo,,mainnet,,,,,,,
moonpay,,!offer:moonpay,"[""[Website](https://www.moonpay.com/buy/algo)""]",mainnet,,,,,,,
onramp-money,,!offer:onramp-money,,mainnet,,,,,,,
onramper,,!offer:onramper,,mainnet,,,,,,,
ramp-network,,!offer:ramp-network,,mainnet,,,,,,,
switchere,,!offer:switchere,,mainnet,,,,,,,
topper,,!offer:topper,,mainnet,,,,,,,
trans-fi,,!offer:trans-fi,,mainnet,,,,,,,
transak,,!offer:transak,"[""[Website](https://transak.com/buy/algo)""]",mainnet,,,,,,,
