slug,provider,offer,actionButtons,toolType,programmingLanguage,tag,description,planType,planName,price,trial,starred,dependencies,latestKnownVersion,latestKnownReleaseDate,maintainer,license
0x-cert,,!offer:0x-cert,,,,,,,,,,,,,,,
alchemy-sdk-enterprise,,!offer:alchemy-sdk-enterprise,,,,,,,,,,,,,,,
alchemy-sdk-free,,!offer:alchemy-sdk-free,,,,,,,,,,,,,,,
alchemy-sdk-pay-as-you-go,,!offer:alchemy-sdk-pay-as-you-go,,,,,,,,,,,,,,,
algorand-sdk,Algorand,,"[""[Docs](https://dev.algorand.co/reference/sdk/sdk-list/)""]",SDK,TBD,"[""Go"",""Java"",""Python"",""JavaScript"",""TypeScript""]","Official SDKs like TypeScript, Python, JavaScript, Java and Go are used for building, testing, and debugging applications on Algorand",Free,,$0,FALSE,FALSE,,TBD,TBD,TBD,TBD
ankr-sdk,,!offer:ankr-sdk,,,,,,,,,,,,,,,
anyalt,,!offer:anyalt,,,,,,,,,,,,,,,
arbitrum-sdk,,!offer:arbitrum-sdk,,,,,,,,,,,,,,,
assembly-script,,!offer:assembly-script,,,,,,,,,,,,,,,
avalanche-sdk-chainkit,,!offer:avalanche-sdk-chainkit,,,,,,,,,,,,,,,
avalanche-sdk-client,,!offer:avalanche-sdk-client,,,,,,,,,,,,,,,
avalanche-sdk-interchain,,!offer:avalanche-sdk-interchain,,,,,,,,,,,,,,,
axelar-sdk,,!offer:axelar-sdk,,,,,,,,,,,,,,,
aztec-sdk-free,,!offer:aztec-sdk-free,,,,,,,,,,,,,,,
biconomy,,!offer:biconomy,,,,,,,,,,,,,,,
blockdaemon-sdk-enterprise,,!offer:blockdaemon-sdk-enterprise,,,,,,,,,,,,,,,
blockdaemon-sdk-free,,!offer:blockdaemon-sdk-free,,,,,,,,,,,,,,,
blockdaemon-sdk-growth,,!offer:blockdaemon-sdk-growth,,,,,,,,,,,,,,,
blockdaemon-sdk-starter,,!offer:blockdaemon-sdk-starter,,,,,,,,,,,,,,,
blueprint-func,,!offer:blueprint-func,,,,,,,,,,,,,,,
blueprint-tact,,!offer:blueprint-tact,,,,,,,,,,,,,,,
blueprint-tolk,,!offer:blueprint-tolk,,,,,,,,,,,,,,,
brownie,,!offer:brownie,,,,,,,,,,,,,,,
capstone-disassembler,,!offer:capstone-disassembler,,,,,,,,,,,,,,,
chainbase-sdk-developer,,!offer:chainbase-sdk-developer,,,,,,,,,,,,,,,
chainbase-sdk-enterprise,,!offer:chainbase-sdk-enterprise,,,,,,,,,,,,,,,
chainbase-sdk-free,,!offer:chainbase-sdk-free,,,,,,,,,,,,,,,
connectkit,,!offer:connectkit,,,,,,,,,,,,,,,
dappkit,,!offer:dappkit,,,,,,,,,,,,,,,
db3-js,,!offer:db3-js,,,,,,,,,,,,,,,
dfns-sdk-basic,,!offer:dfns-sdk-basic,,,,,,,,,,,,,,,
