slug,provider,offer,actionButtons,chain,dataSources,hasDashboard,availableApis,price,planName,planType,starred,tag
blockworks-mainnet,,!offer:blockworks,"[""[Dashboard](https://blockworks.com/analytics/aptos)""]",mainnet,,,,,,,,
cryptoquant-mainnet,,!offer:cryptoquant,"[""[Dashboard](https://cryptoquant.com/asset/apt/summary)""]",mainnet,,,,,,,,
defillama-mainnet,,!offer:defillama,"[""[Dashboard](https://defillama.com/chain/aptos)""]",mainnet,,,,,,,,
dexscreener-mainnet,,!offer:dexscreener,"[""[Dashboard](https://dexscreener.com/aptos)""]",mainnet,,,,,,,,
dune-mainnet,,!offer:dune,"[""[Dashboard](https://dune.com/blockchains/aptos)""]",mainnet,,,,,,,,
messari-mainnet,,!offer:messari,"[""[Dashboard](https://messari.io/project/aptos)""]",mainnet,,,,,,,,
nansen-mainnet,,!offer:nansen,"[""[Dashboard](https://app.nansen.ai/macro/overview?chain=aptos)""]",mainnet,,,,,,,,
tokenmetrics-alpha-full-archive,,!offer:tokenmetrics-alpha-full-archive,,mainnet,,,,,,,,
tokenmetrics-alpha-recent-state,,!offer:tokenmetrics-alpha-recent-state,,mainnet,,,,,,,,
tokenmetrics-free-full-archive,,!offer:tokenmetrics-free-full-archive,,mainnet,,,,,,,,
tokenmetrics-free-recent-state,,!offer:tokenmetrics-free-recent-state,,mainnet,,,,,,,,
tokenmetrics-signal-full-archive,,!offer:tokenmetrics-signal-full-archive,,mainnet,,,,,,,,
tokenmetrics-signal-recent-state,,!offer:tokenmetrics-signal-recent-state,,mainnet,,,,,,,,
tokenmetrics-the-roundable-full-archive,,!offer:tokenmetrics-the-roundable-full-archiv,,mainnet,,,,,,,,
tokenmetrics-the-roundable-recent-state,,!offer:tokenmetrics-the-roundable-recent-state,,mainnet,,,,,,,,
tokenrterminal-mainnet,,!offer:tokenterminal,"[""[Dashboard](https://tokenterminal.com/explorer/studio/dashboards/a18c3307-36db-4e2d-8721-599d6e6d6cae)""]",mainnet,,,,,,,,
