slug,provider,offer,actionButtons,chain,openSource,supportedPlatforms,custodial,mfa,msig,hardware,keyExport,native,evm,tendermint,tokensSupport,staking,price,support,audit,languages,starred,tag
ascoin-wallet,,!offer:ascoin-wallet,,mainnet,,,,,,,,,,,,,,,,,,
backpack,,!offer:backpack,,mainnet,,,,,,,,,,,,,,,,,,
cwallet,,!offer:cwallet,,mainnet,,,,,,,,,,,,,,,,,,
exodus,,!offer:exodus,,mainnet,,,,,,,,,,,,,,,,,,
frontier,,!offer:frontier,,mainnet,,,,,,,,,,,,,,,,,,
gem-wallet,,!offer:gem-wallet,,mainnet,,,,,,,,,,,,,,,,,,
guarda,,!offer:guarda,,mainnet,,,,,,,,,,,,,,,,,,
kuma-wallet,,!offer:kuma-wallet,,mainnet,,,,,,,,,,,,,,,,,,
math-wallet,,!offer:math-wallet,,mainnet,,,,,,,,,,,,,,,,,,
okxwallet,,!offer:okxwallet,,mainnet,,,,,,,,,,,,,,,,,,
onekey,,!offer:onekey,,mainnet,,,,,,,,,,,,,,,,,,
petra-wallet,Petra,,"[""[Website](https://petra.app/)""]",mainnet,FALSE,"[""Browser Extension"",""iOS"",""Android"",""Web""]",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"[""APT (Aptos Token Standard)""]",FALSE,$0,"[""[Email](support@petra.app)""]",,"[""EN""]",FALSE,
tokenpocket,,!offer:tokenpocket,,mainnet,,,,,,,,,,,,,,,,,,
trustwallet,,!offer:trustwallet,,mainnet,,,,,,,,,,,,,,,,,,
