slug,provider,offer,actionButtons,kycLevel,paymentMethods,bannedCountries,aggregator,auditsPerformed,deliveryType,tag
1money,,!offer:1money,,,,,,,,
alchemy-pay,,!offer:alchemy-pay,,,,,,,,
alixpay,,!offer:alixpay,,,,,,,,
banxa,,!offer:banxa,,,,,,,,
belo,,!offer:belo,,,,,,,,
bleap,,!offer:bleap,,,,,,,,
breet,,!offer:breet,,,,,,,,
bridge,,!offer:bridge,,,,,,,,
btcdirect,,!offer:btcdirect,,,,,,,,
bvnk,,!offer:bvnk,,,,,,,,
coinbase-onramp,,!offer:coinbase-onramp,,,,,,,,
coinflow,,!offer:coinflow,,,,,,,,
fiat24,,!offer:fiat24,,,,,,,,
finchpay,,!offer:finchpay,,,,,,,,
fonbnk,,!offer:fonbnk,"[""[Docs](https://docs.fonbnk.com/)""]",,,,,,,
guardarian,,!offer:guardarian,,,,,,,,
madhouse-wallet,,!offer:madhouse-wallet,"[""[Website](https://madhousewallet.com/)"",""[Docs](https://docs.madhousewallet.com/)""]",,,,,,,
meld,,!offer:meld,,,,,,,,
mercuryo,,!offer:mercuryo,,,,,,,,
meso,,!offer:meso,,,,,,,,
minisend,,!offer:minisend,"[""[Website](https://minisend.xyz)""]",,,,,,,
monerium,,!offer:monerium,"[""[Website](https://monerium.com/)"",""[Docs](https://docs.monerium.com/)""]",,,,,,,
moonpay,,!offer:moonpay,,,,,,,,
mt-pelerin,,!offer:mt-pelerin,,,,,,,,
onmeta,,!offer:onmeta,,,,,,,,
onramp-money,,!offer:onramp-money,,,,,,,,
onramper,,!offer:onramper,,,,,,,,
paybis,,!offer:paybis,,,,,,,,
ramp-network,,!offer:ramp-network,,,,,,,,
rampnow,,!offer:rampnow,,,,,,,,
sardine,,!offer:sardine,,,,,,,,
simplex,,!offer:simplex,,,,,,,,
straits-x,,!offer:straits-x,,,,,,,,
stripe-crypto,,!offer:stripe-crypto,,,,,,,,
swapped,,!offer:swapped,,,,,,,,
swipelux,,!offer:swipelux,,,,,,,,
switchere,,!offer:switchere,,,,,,,,
topper,,!offer:topper,,,,,,,,
trans-fi,,!offer:trans-fi,,,,,,,,
transak,,!offer:transak,,,,,,,,
unigox,,!offer:unigox,,,,,,,,
wert,,!offer:wert,,,,,,,,
zerohash,,!offer:zerohash,,,,,,,,
