slug,provider,offer,actionButtons,planName,planType,historicalData,apiType,technology,chain,accessPrice,queryPrice,verifiedUptime,verifiedLatency,verifiedBlocksBehindAvg,uptimeSla,bandwidthSla,blocksBehindSla,supportSla,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,additionalFeatures,address,tag
1rpc-astar-free,,!offer:1rpc-free-recent-state,,,,,,,astar,,,,,,,,,,,,,,,,,,,
1rpc-astar-pay-as-you-go,,!offer:1rpc-pay-as-you-go-recent-state,,,,,,,astar,,,,,,,,,,,,,,,,,,,
1rpc-astar-public-recent-state,,!offer:1rpc-public-recent-state,,,,,,,astar,,,,,,,,,,,,,,,,,,,
alchemy-astar-free-recent-state,,!offer:alchemy-free-recent-state,,,,,,,astar,,,,,,,,,,,,,,,,,,,
alchemy-astar-pay-as-you-go-recent-state,,!offer:alchemy-pay-as-you-go-recent-state,,,,,,,astar,,,,,,,,,,,,,,,,,,,
allthatnode-astar-dedicated-full-archive,,!offer:allthatnode-dedicated-full-archive,"[""[Website](https://www.allthatnode.com/dedicatednode.dsrv)"",""[Docs](https://docs.allthatnode.com/docs/supported-protocols-1)""]",,,,,,astar,,,,,,,,,,,,,,,,,,,
allthatnode-astar-dedicated-recent-state,,!offer:allthatnode-dedicated-recent-state,"[""[Website](https://www.allthatnode.com/dedicatednode.dsrv)"",""[Docs](https://docs.allthatnode.com/docs/supported-protocols-1)""]",,,,,,astar,,,,,,,,,,,,,,,,,,,
allthatnode-astar-free-full-archive,,!offer:allthatnode-free-full-archive,,,,,,,astar,,,,,,,,,,,,,,,,,,,
allthatnode-astar-scale-full-archive,,!offer:allthatnode-scale-full-archive,,,,,,,astar,,,,,,,,,,,,,,,,,,,
allthatnode-astar-starter-full-archive,,!offer:allthatnode-starter-full-archive,,,,,,,astar,,,,,,,,,,,,,,,,,,,
astar-free,,!offer:astar-free-recent-state,,,,,,,astar,,,,,,,,,,,,,,,,,,,
astar-shibuya-free,,!offer:astar-free-recent-state,,,,,,,shibuya,,,,,,,,,,,,,,,,,,,
astar-shiden-free,,!offer:astar-free-recent-state,,,,,,,shiden,,,,,,,,,,,,,,,,,,,
chain-love-astar-free-indexer,,!offer:chain-love-free-indexer,"[""[Deploy](https://astar.chain.love/graph)""]",,,,,,astar,,,,,,,,,,,,,,,,,,,
chain-love-shibuya-free-indexer,,!offer:chain-love-free-indexer,"[""[Deploy](https://astar.chain.love/graph)""]",,,,,,shibuya,,,,,,,,,,,,,,,,,,,
chain-love-shiden-free-indexer,,!offer:chain-love-free-indexer,"[""[Deploy](https://astar.chain.love/graph)""]",,,,,,shiden,,,,,,,,,,,,,,,,,,,
dipdup-astar-free-indexer,,!offer:dipdup-free-indexer,"[""[Website](https://dipdup.io/)"",""[Docs](https://dipdup.io/docs/supported-networks/astar)""]",,,,,,astar,,,,,,,,,,,,,,,,,,,
dipdup-shibuya-free-indexer,,!offer:dipdup-free-indexer,"[""[Website](https://dipdup.io/)"",""[Docs](https://dipdup.io/docs/supported-networks/astar)""]",,,,,,shibuya,,,,,,,,,,,,,,,,,,,
dwellir-astar-dedicated-full-archive,,!offer:dwellir-dedicated-full-archive,,,,,,,astar,,,,,,,,,,,,,,,,,,,
dwellir-astar-developer-full-archive,,!offer:dwellir-developer-full-archive,,,,,,,astar,,,,,,,,,,,,,,,,,,,
dwellir-astar-free-full-archive,,!offer:dwellir-free-full-archive,,,,,,,astar,,,,,,,,,,,,,,,,,,,
dwellir-astar-growth-full-archive,,!offer:dwellir-growth-full-archive,,,,,,,astar,,,,,,,,,,,,,,,,,,,
dwellir-astar-scale-full-archive,,!offer:dwellir-scale-full-archive,,,,,,,astar,,,,,,,,,,,,,,,,,,,
dwellir-shibuya-dedicated-full-archive,,!offer:dwellir-dedicated-full-archive,,,,,,,shibuya,,,,,,,,,,,,,,,,,,,
dwellir-shibuya-developer-full-archive,,!offer:dwellir-developer-full-archive,,,,,,,shibuya,,,,,,,,,,,,,,,,,,,
dwellir-shibuya-free-full-archive,,!offer:dwellir-free-full-archive,,,,,,,shibuya,,,,,,,,,,,,,,,,,,,
dwellir-shibuya-growth-full-archive,,!offer:dwellir-growth-full-archive,,,,,,,shibuya,,,,,,,,,,,,,,,,,,,
dwellir-shibuya-scale-full-archive,,!offer:dwellir-scale-full-archive,,,,,,,shibuya,,,,,,,,,,,,,,,,,,,
dwellir-shiden-dedicated-full-archive,,!offer:dwellir-dedicated-full-archive,,,,,,,shiden,,,,,,,,,,,,,,,,,,,
dwellir-shiden-developer-full-archive,,!offer:dwellir-developer-full-archive,,,,,,,shiden,,,,,,,,,,,,,,,,,,,
dwellir-shiden-free-full-archive,,!offer:dwellir-free-full-archive,,,,,,,shiden,,,,,,,,,,,,,,,,,,,
dwellir-shiden-growth-full-archive,,!offer:dwellir-growth-full-archive,,,,,,,shiden,,,,,,,,,,,,,,,,,,,
dwellir-shiden-scale-full-archive,,!offer:dwellir-scale-full-archive,,,,,,,shiden,,,,,,,,,,,,,,,,,,,
envio-astar-free-indexer,,!offer:envio-free-indexer,"[""[Website](https://envio.dev/)"",""[Docs](https://docs.envio.dev/docs/HyperIndex/astar-zkevm)""]",,,,,,astar,,,,,,,,,,,,,,,,,,,
envio-astar-pay-as-you-go-indexer,,!offer:envio-pay-as-you-go-indexer,"[""[Buy](https://envio.dev/pricing)"",""[Docs](https://docs.envio.dev/docs/HyperIndex/astar-zkyoto)""]",,,,,,astar,,,,,,,,,,,,,,,,,,,
goldrush-astar-free-indexer,,!offer:goldrush-free-indexer,"[""[Website](https://goldrush.dev/)"",""[Docs](https://goldrush.dev/docs/chains/astar#astar)""]",,,,,,astar,,,,,,,,,,,,,,,,,,,
goldrush-astar-pay-as-you-go-indexer,,!offer:goldrush-pay-as-you-go-indexer,"[""[Buy](https://goldrush.dev/pricing/)"",""[Docs](https://goldrush.dev/docs/chains/astar#astar)""]",,,,,,astar,,,,,,,,,,,,,,,,,,,
goldrush-shibuya-free-indexer,,!offer:goldrush-free-indexer,"[""[Website](https://goldrush.dev/)"",""[Docs](https://goldrush.dev/docs/chains/shibuya#shibuya-testnet)""]",,,,,,shibuya,,,,,,,,,,,,,,,,,,,
goldrush-shibuya-pay-as-you-go-indexer,,!offer:goldrush-pay-as-you-go-indexer,"[""[Buy](https://goldrush.dev/pricing/)"",""[Docs](https://goldrush.dev/docs/chains/shibuya#shibuya-testnet)""]",,,,,,shibuya,,,,,,,,,,,,,,,,,,,
goldsky-astar-free-indexer,,!offer:goldsky-free-indexer,"[""[Deploy](https://app.goldsky.com/)"",""[Docs](https://docs.goldsky.com/chains/supported-networks)""]",,,,,,astar,,,,,,,,,,,,,,,,,,,
goldsky-astar-pay-as-you-go-indexer,,!offer:goldsky-pay-as-you-go-indexer,"[""[Buy](https://goldsky.com/pricing)"",""[Docs](https://docs.goldsky.com/chains/supported-networks)""]",,,,,,astar,,,,,,,,,,,,,,,,,,,
indexing-co-astar-free-indexer,,!offer:indexing-co-free-indexer,"[""[Docs](https://docs.indexing.co/networks/astar)""]",,,,,,astar,,,,,,,,,,,,,,,,,,,
indexing-co-astar-pay-as-you-go-indexer,,!offer:indexing-co-pay-as-you-go-indexer,"[""[Docs](https://docs.indexing.co/networks/astar)""]",,,,,,astar,,,,,,,,,,,,,,,,,,,
mobula-astar-free-indexer,,!offer:mobula-free-indexer,"[""[Website](https://mobula.io/)"",""[Docs](https://docs.mobula.io/blockchains/astar#astar)""]",,,,,,astar,,,,,,,,,,,,,,,,,,,
mobula-astar-pay-as-you-go-indexer,,!offer:mobula-pay-as-you-go-indexer,"[""[Buy](https://docs.mobula.io/pricing)"",""[Docs](https://docs.mobula.io/blockchains/astar#astar)""]",,,,,,astar,,,,,,,,,,,,,,,,,,,
onfinality-astar-accelerate-full-archive,,!offer:onfinality-accelerate-full-archive,,,,,,,astar,,,,,,,,,,,,,,,,,,,
onfinality-astar-dedicated-collator,,!offer:onfinality-dedicated-collator,,,,,,,astar,,,,,,,,,,,,,,,,,,,
onfinality-astar-dedicated-full-archive,,!offer:onfinality-dedicated-full-archive,,,,,,,astar,,,,,,,,,,,,,,,,,,,
onfinality-astar-dedicated-trace,,!offer:onfinality-dedicated-trace,,,,,,,astar,,,,,,,,,,,,,,,,,,,
onfinality-astar-developer-full-archive,,!offer:onfinality-developer-full-archive,,,,,,,astar,,,,,,,,,,,,,,,,,,,
onfinality-astar-free-plan-indexer,,!offer:onfinality-free-plan-indexer,"[""[Website](https://onfinality.io/en/networks/astar)"",""[Docs](https://documentation.onfinality.io/support/)""]",,,,,,astar,,,,,,,,,,,,,,,,,,,
onfinality-astar-growth-full-archive,,!offer:onfinality-growth-full-archive,,,,,,,astar,,,,,,,,,,,,,,,,,,,
onfinality-astar-standard-plan-indexer,,!offer:onfinality-standard-plan-indexer,"[""[Buy](https://indexing.onfinality.io/pricing)"",""[Docs](https://documentation.onfinality.io/support/pricing)""]",,,,,,astar,,,,,,,,,,,,,,,,,,,
radiumblock-astar-free,,!offer:radiumblock-free-recent-state,,,,,,,astar,,,,,,,,,,,,,,,,,,,
radiumblock-astar-pay-as-you-go,,!offer:radiumblock-pay-as-you-go-recent-state,,,,,,,astar,,,,,,,,,,,,,,,,,,,
sqd-astar-free-indexer,,!offer:sqd-free-indexer,"[""[Deploy](https://www.sqd.ai/)"",""[Docs](https://docs.sqd.ai/subsquid-network/reference/networks/?ph_cross_site=019976bd-8b2b-7de3-bb63-3565d79c7df2)""]",,,,,,astar,,,,,,,,,,,,,,,,,,,
sqd-astar-pay-as-you-go-indexer,,!offer:sqd-pay-as-you-go-indexer,"[""[Buy](https://docs.sqd.ai/cloud/pricing/)"",""[Docs](https://docs.sqd.ai/subsquid-network/reference/networks/?ph_cross_site=019976bd-8b2b-7de3-bb63-3565d79c7df2)""]",,,,,,astar,,,,,,,,,,,,,,,,,,,
subquery-astar-pay-as-you-go-indexer,,!offer:subquery-pay-as-you-go-indexer,"[""[Buy](https://subquery.network/doc/subquery_network/node_operators/rewards.html#pricing-strategy)"",""[Docs](https://subquery.network/doc/indexer/quickstart/quickstart_chains/polkadot-astar.html#astar-wasm-quick-start)""]",,,,,,astar,,,,,,,,,,,,,,,,,,,
thirdweb-astar-dedicated,,!offer:thirdweb-dedicated-recent-state,,,,,,,astar,,,,,,,,,,,,,,,,,,,
thirdweb-astar-free,,!offer:thirdweb-free-recent-state,,,,,,,astar,,,,,,,,,,,,,,,,,,,
thirdweb-astar-pay-as-you-go,,!offer:thirdweb-pay-as-you-go-recent-state,,,,,,,astar,,,,,,,,,,,,,,,,,,,
thirdweb-shiden-dedicated,,!offer:thirdweb-dedicated-recent-state,,,,,,,shiden,,,,,,,,,,,,,,,,,,,
thirdweb-shiden-free,,!offer:thirdweb-free-recent-state,,,,,,,shiden,,,,,,,,,,,,,,,,,,,
thirdweb-shiden-pay-as-you-go,,!offer:thirdweb-pay-as-you-go-recent-state,,,,,,,shiden,,,,,,,,,,,,,,,,,,,
