slug,provider,offer,actionButtons,toolType,tag,price,planName,planType,description,starred
alchemy-bundler-free,,!offer:alchemy-bundler-free,,,,,,,,
alchemy-bundler-pay-as-you-go,,!offer:alchemy-bundler-pay-as-you-go,,,,,,,,
alchemy-gas-manager-free,,!offer:alchemy-gas-manager-free,,,,,,,,
alchemy-gas-manager-pay-as-you-go,,!offer:alchemy-gas-manager-pay-as-you-go,,,,,,,,
alchemy-smart-wallet-free,,!offer:alchemy-smart-wallet-free,,,,,,,,
alchemy-smart-wallet-pay-as-you-go,,!offer:alchemy-smart-wallet-pay-as-you-go,,,,,,,,
alchemy-transaction-free,,!offer:alchemy-transaction-free,,,,,,,,
alchemy-transaction-pay-as-you-go,,!offer:alchemy-transaction-pay-as-you-go,,,,,,,,
ape-worx-evm-trace,,!offer:ape-worx-evm-trace,,,,,,,,
arka-free,,!offer:arka-free,,,,,,,,
arka-startup,,!offer:arka-startup,,,,,,,,
arka-scale,,!offer:arka-scale,,,,,,,,
arka-developer,,!offer:arka-developer,,,,,,,,
chain-ide,,!offer:chain-ide,,,,,,,,
chainlink-ccip,,!offer:chainlink-ccip,,,,,,,,
codeslaw,,!offer:codeslaw,,,,,,,,
create-eth-app,,!offer:create-eth-app,,,,,,,,
crossmint-free,,!offer:crossmint-free,,,,,,,,
dapp-launchpad,,!offer:dapp-launchpad,,,,,,,,
dapprovals-basic,,!offer:dapprovals-basic,,,,,,,,
dapprovals-standard,,!offer:dapprovals-standard,,,,,,,,
ethereum-etl,,!offer:ethereum-etl,,,,,,,,
forge,,!offer:forge,,,,,,,,
gas-station,Astar,Astar Gas Station,"[""[Docs](https://docs.astar.network/docs/build/environment/gas-station/)""]",Gas Oracle,"[""Gas""]",Hybrid pricing model,,Pay-as-you-go,"It functions as a gas oracle, similar to an EVM GAS PRICE API within the Astar ecosystem, providing real-time estimates for gas prices.",FALSE
gas-station-network,,!offer:gas-station-network,,,,,,,,
hokusai,,!offer:hokusai,,,,,,,,
intellij-solidity-plugin,,!offer:intellij-solidity-plugin,,,,,,,,
jeb-decompiler,,!offer:jeb-decompiler,,,,,,,,
krebit,,!offer:krebit,,,,,,,,
multicall3,,!offer:multicall3,,,,,,,,
remix,,!offer:remix,,,,,,,,
reown-free,,!offer:reown-free,,,,,,,,
reown-pro,,!offer:reown-pro,,,,,,,,
robot-framework-solidity-testing-toolkit,,!offer:robot-framework-solidity-testing-toolkit,,,,,,,,
scaffold-eth,,!offer:scaffold-eth,,,,,,,,
type-chain,,!offer:type-chain,,,,,,,,
