slug,provider,offer,actionButtons,planName,planType,historicalData,apiType,technology,chain,accessPrice,queryPrice,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,additionalFeatures,address,tag,uptimeSla,verifiedUptime,blocksBehindSla,verifiedBlocksBehindAvg,bandwidthSla,verifiedLatency,supportSla,chainId
1rpc-mainnet-developer-recent-state,,!offer:1rpc-developer-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,43114
1rpc-mainnet-personal-recent-state,,!offer:1rpc-personal-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,43114
1rpc-mainnet-public-recent-state,,!offer:1rpc-public-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,43114
1rpc-mainnet-starter-recent-state,,!offer:1rpc-starter-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,43114
alchemy-mainnet-free-recent-state,,!offer:alchemy-free-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,43114
alchemy-mainnet-pay-as-you-go-recent-state,,!offer:alchemy-pay-as-you-go-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,43114
alchemy-testnet-free-recent-state,,!offer:alchemy-free-recent-state,,,,,,,testnet,,,,,,,,,,,,,,,,,,,,43114
alchemy-testnet-pay-as-you-go-recent-state,,!offer:alchemy-pay-as-you-go-recent-state,,,,,,,testnet,,,,,,,,,,,,,,,,,,,,43114
allthatnode-mainnet-dedicated-full-archive,,!offer:allthatnode-dedicated-full-archive,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,43114
allthatnode-mainnet-dedicated-recent-state,,!offer:allthatnode-dedicated-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,43114
allthatnode-mainnet-free-full-archive,,!offer:allthatnode-free-full-archive,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,43114
allthatnode-mainnet-free-recent-state,,!offer:allthatnode-free-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,43114
allthatnode-mainnet-scale-full-archive,,!offer:allthatnode-scale-full-archive,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,43114
allthatnode-mainnet-scale-recent-state,,!offer:allthatnode-scale-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,43114
allthatnode-mainnet-starter-full-archive,,!offer:allthatnode-starter-full-archive,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,43114
allthatnode-mainnet-starter-recent-state,,!offer:allthatnode-starter-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,43114
allthatnode-testnet-dedicated-full-archive,,!offer:allthatnode-dedicated-full-archive,,,,,,,testnet,,,,,,,,,,,,,,,,,,,,43114
allthatnode-testnet-dedicated-recent-state,,!offer:allthatnode-dedicated-recent-state,,,,,,,testnet,,,,,,,,,,,,,,,,,,,,43114
allthatnode-testnet-free-full-archive,,!offer:allthatnode-free-full-archive,,,,,,,testnet,,,,,,,,,,,,,,,,,,,,43114
allthatnode-testnet-free-recent-state,,!offer:allthatnode-free-recent-state,,,,,,,testnet,,,,,,,,,,,,,,,,,,,,43114
allthatnode-testnet-scale-full-archive,,!offer:allthatnode-scale-full-archive,,,,,,,testnet,,,,,,,,,,,,,,,,,,,,43114
allthatnode-testnet-scale-recent-state,,!offer:allthatnode-scale-recent-state,,,,,,,testnet,,,,,,,,,,,,,,,,,,,,43114
