slug,provider,offer,actionButtons,chain,technology,monitoringAndAnalytics,additionalFeatures,starred,availableApis,sdk,searchCapabilities,smartContractsVerifications,fullHistory,pricing,tag
3xpl,,!offer:3xpl,"[""[Explore](https://3xpl.com/avalanche)""]",mainnet,,,,,,,,,,,
arkham,,!offer:arkham,"[""[Explore](https://intel.arkm.com/explorer/entity/avalanche)""]",mainnet,,,,,,,,,,,
avalanche-explorer,Avalanche,,"[""[Explore](https://explorer.avax.network/en/)""]",mainnet,Custom,"[""Transactions"",""Blocks"",""Tokens"",""Gas"",""Addresses""]","[""Multi-chain & Subnet support""]",FALSE,"[""REST API""]","[""TypeScript""]","[""Tx hashes"",""Blocks ID"",""Tokens"",""Gas"",""Addresses""]",TRUE,FALSE,Free,
avascan-mainnet,Avalanche,,"[""[Explore](https://avascan.info/)""]",mainnet,Custom,"[""Blocks"",""Transactions"",""Addresses""]","[""Multi-chain support"",""Real-time data""]",FALSE,"[""REST API""]","[""TypeScript""]","[""Tx hashes"",""Tokens"",""Blocks"",""Addresses""]",TRUE,TRUE,Free,
avascan-testnet,Avalanche,,"[""[Explore](https://testnet.avascan.info/)""]",testnet,Custom,"[""Blocks"",""Transactions"",""Addresses""]","[""Multi-chain support"",""Real-time data""]",FALSE,"[""REST API""]","[""TypeScript""]","[""Tx hashes"",""Tokens"",""Blocks"",""Addresses""]",TRUE,TRUE,Free,
blockchair,,!offer:blockchair,"[""[Explore](https://blockchair.com/avalanche)""]",mainnet,,,,,,,,,,,
dex-guru,,!offer:dex-guru,"[""[Explore](https://avalanche.dex.guru/)""]",mainnet,,,,,,,,,,,
oklink,,!offer:oklink,"[""[Explore](https://www.oklink.com/avalanche)""]",mainnet,,,,,,,,,,,
okx,,!offer:okx,"[""[Explore](https://web3.okx.com/explorer/avalanche)""]",mainnet,,,,,,,,,,,
routescan-advanced-mainnet,Routescan,!offer:routescan-advanced,"[""[Explore](https://routescan.io/)"",""[Buy](https://routescan.io/documentation#api-plans)""]",mainnet,,,,,,,,,,,
routescan-advanced-testnet,Routescan,!offer:routescan-advanced,"[""[Explore](https://routescan.io/)"",""[Buy](https://routescan.io/documentation#api-plans)""]",testnet,,,,,,,,,,,
routescan-free-mainnet,Routescan,!offer:routescan-free,"[""[Explore](https://routescan.io/)"",""[Buy](https://routescan.io/documentation#api-plans)""]",mainnet,,,,,,,,,,,
routescan-free-testnet,Routescan,!offer:routescan-free,"[""[Explore](https://routescan.io/)"",""[Buy](https://routescan.io/documentation#api-plans)""]",testnet,,,,,,,,,,,
routescan-pro-plus-mainnet,Routescan,!offer:routescan-pro-plus,"[""[Explore](https://routescan.io/)"",""[Buy](https://routescan.io/documentation#api-plans)""]",mainnet,,,,,,,,,,,
routescan-pro-plus-testnet,Routescan,!offer:routescan-pro-plus,"[""[Explore](https://routescan.io/)"",""[Buy](https://routescan.io/documentation#api-plans)""]",testnet,,,,,,,,,,,
routescan-professional-mainnet,Routescan,!offer:routescan-professional,"[""[Explore](https://routescan.io/)"",""[Buy](https://routescan.io/documentation#api-plans)""]",mainnet,,,,,,,,,,,
routescan-professional-testnet,Routescan,!offer:routescan-professional,"[""[Explore](https://routescan.io/)"",""[Buy](https://routescan.io/documentation#api-plans)""]",testnet,,,,,,,,,,,
routescan-standard-mainnet,Routescan,!offer:routescan-standard,"[""[Explore](https://routescan.io/)"",""[Buy](https://routescan.io/documentation#api-plans)""]",mainnet,,,,,,,,,,,
routescan-standard-testnet,Routescan,!offer:routescan-standard,"[""[Explore](https://routescan.io/)"",""[Buy](https://routescan.io/documentation#api-plans)""]",testnet,,,,,,,,,,,
