slug,provider,offer,actionButtons,chain,kycLevel,paymentMethods,bannedCountries,aggregator,auditsPerformed,deliveryType,tag
1money,,!offer:1money,,mainnet,,,,,,,
alchemy-pay,,!offer:alchemy-pay,,mainnet,,,,,,,
assetux,,!offer:assetux,,mainnet,,,,,,,
banxa,,!offer:banxa,,mainnet,,,,,,,
breet,,!offer:breet,,mainnet,,,,,,,
bridge,,!offer:bridge,,mainnet,,,,,,,
btcdirect,,!offer:btcdirect,,mainnet,,,,,,,
coinbase-onramp,,!offer:coinbase-onramp,,mainnet,,,,,,,
finchpay,,!offer:finchpay,,mainnet,,,,,,,
fonbnk,,!offer:fonbnk,,mainnet,,,,,,,
guardarian,,!offer:guardarian,,mainnet,,,,,,,
halliday,,!offer:halliday,,mainnet,,,,,,,
itez,,!offer:itez,,mainnet,,,,,,,
meld,,!offer:meld,,mainnet,,,,,,,
mercuryo,,!offer:mercuryo,,mainnet,,,,,,,
minisend,,!offer:minisend,,mainnet,,,,,,,
monica,,!offer:monica,,mainnet,,,,,,,
moonpay,,!offer:moonpay,,mainnet,,,,,,,
mt-pelerin,,!offer:mt-pelerin,,mainnet,,,,,,,
onmeta,,!offer:onmeta,,mainnet,,,,,,,
onramp-money,,!offer:onramp-money,,mainnet,,,,,,,
onramper,,!offer:onramper,,mainnet,,,,,,,
openpeer,,!offer:openpeer,,mainnet,,,,,,,
paybis,,!offer:paybis,,mainnet,,,,,,,
ramp-network,,!offer:ramp-network,,mainnet,,,,,,,
rampnow,,!offer:rampnow,,mainnet,,,,,,,
revolut,,!offer:revolut,,mainnet,,,,,,,
sardine,,!offer:sardine,,mainnet,,,,,,,
simplex,,!offer:simplex,,mainnet,,,,,,,
straits-x,,!offer:straits-x,,mainnet,,,,,,,
stripe-crypto,,!offer:stripe-crypto,,mainnet,,,,,,,
swapped,,!offer:swapped,,mainnet,,,,,,,
swipelux,,!offer:swipelux,,mainnet,,,,,,,
topper,,!offer:topper,,mainnet,,,,,,,
trans-fi,,!offer:trans-fi,,mainnet,,,,,,,
transak,,!offer:transak,,mainnet,,,,,,,
unigox,,!offer:unigox,,mainnet,,,,,,,
unlimit-crypto,,!offer:unlimit-crypto,,mainnet,,,,,,,
utorg,,!offer:utorg,,mainnet,,,,,,,
wert,,!offer:wert,,mainnet,,,,,,,
zerohash,,!offer:zerohash,,mainnet,,,,,,,
