slug,provider,offer,actionButtons,toolType,tag,price,planType,planName,description,starred
aleph-cloud-block-storage,,!offer:aleph-cloud-block-storage,,,,,,,,
aleph-cloud-gpu-cloud,,!offer:aleph-cloud-gpu-cloud,,,,,,,,
aleph-cloud-vps,,!offer:aleph-cloud-vps,,,,,,,,
pinata-fiesta,,!offer:pinata-fiesta,,,,,,,,
pinata-free,,!offer:pinata-free,,,,,,,,
pinata-picnic,,!offer:pinata-picnic,,,,,,,,
sync-personal-150gb,,!offer:sync-personal-150gb,,,,,,,,
sync-personal-1tb,,!offer:pinata-picnic,,,,,,,,
sync-pro-solo-5tb,,!offer:pinata-picnic,,,,,,,,
sync-pro-solo-5tb-1tb,,!offer:pinata-picnic,,,,,,,,
sync-pro-solo-unlimited,,!offer:pinata-picnic,,,,,,,,
sync-teams-standard,,!offer:pinata-picnic,,,,,,,,
