slug,provider,offer,actionButtons,planName,planType,historicalData,apiType,technology,chain,accessPrice,queryPrice,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,additionalFeatures,address,tag,uptimeSla,verifiedUptime,blocksBehindSla,verifiedBlocksBehindAvg,bandwidthSla,verifiedLatency,supportSla
berachain-mainnet-public-rpc,,!offer:berachain-public-rpc,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
berachain-testnet-public-rpc,,!offer:berachain-public-rpc,,,,,,,testnet,,,,,,,,,,,,,,,,,,,
dwellir-mainnet-dedicated-recent-state,,!offer:dwellir-dedicated-recent-state,"[""[Contact](https://www.dwellir.com/contact)"",""[Docs](https://www.dwellir.com/docs/berachain)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
dwellir-mainnet-developer-recent-state,,!offer:dwellir-developer-recent-state,"[""[Buy](https://www.dwellir.com/pricing)"",""[Docs](https://www.dwellir.com/docs/berachain)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
dwellir-mainnet-free-recent-state,,!offer:dwellir-free-recent-state,"[""[Website](https://www.dwellir.com/networks/berachain)"",""[Docs](https://www.dwellir.com/docs/berachain)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
dwellir-mainnet-growth-recent-state,,!offer:dwellir-growth-recent-state,"[""[Buy](https://www.dwellir.com/pricing)"",""[Docs](https://www.dwellir.com/docs/berachain)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
dwellir-mainnet-scale-recent-state,,!offer:dwellir-scale-recent-state,"[""[Buy](https://www.dwellir.com/pricing)"",""[Docs](https://www.dwellir.com/docs/berachain)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
dwellir-testnet-dedicated-recent-state,,!offer:dwellir-dedicated-recent-state,"[""[Contact](https://www.dwellir.com/contact)"",""[Docs](https://www.dwellir.com/docs/berachain)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,,
dwellir-testnet-developer-recent-state,,!offer:dwellir-developer-recent-state,"[""[Buy](https://www.dwellir.com/pricing)"",""[Docs](https://www.dwellir.com/docs/berachain)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,,
dwellir-testnet-free-recent-state,,!offer:dwellir-free-recent-state,"[""[Website](https://www.dwellir.com/networks/berachain)"",""[Docs](https://www.dwellir.com/docs/berachain)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,,
dwellir-testnet-growth-recent-state,,!offer:dwellir-growth-recent-state,"[""[Buy](https://www.dwellir.com/pricing)"",""[Docs](https://www.dwellir.com/docs/berachain)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,,
dwellir-testnet-scale-recent-state,,!offer:dwellir-scale-recent-state,"[""[Buy](https://www.dwellir.com/pricing)"",""[Docs](https://www.dwellir.com/docs/berachain)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,,
