slug,provider,offer,actionButtons,chain,openSource,supportedPlatforms,custodial,mfa,msig,hardware,keyExport,native,evm,tendermint,tokensSupport,staking,price,support,audit,languages,starred,tag
ascoin-wallet,,!offer:ascoin-wallet,,mainnet,,,,,,,,,,,,,,,,,,
atomic-wallet,,!offer:atomic-wallet,,mainnet,,,,,,,,,,,,,,,,,,
base-wallet,,!offer:base-wallet,,mainnet,,,,,,,,,,,,,,,,,,
bifrost,,!offer:bifrost,,mainnet,,,,,,,,,,,,,,,,,,
binance-wallet,,!offer:binance-wallet,,mainnet,,,,,,,,,,,,,,,,,,
bitcoin-com-wallet,,!offer:bitcoin-com-wallet,,mainnet,,,,,,,,,,,,,,,,,,
bitget-wallet,,!offer:bitget-wallet,,mainnet,,,,,,,,,,,,,,,,,,
bitpie,,!offer:bitpie,,mainnet,,,,,,,,,,,,,,,,,,
brave-wallet,,!offer:brave-wallet,,mainnet,,,,,,,,,,,,,,,,,,
bybit-wallet,,!offer:bybit-wallet,,mainnet,,,,,,,,,,,,,,,,,,
clave-wallet,,!offer:clave-wallet,,mainnet,,,,,,,,,,,,,,,,,,
coin-wallet,,!offer:coin-wallet,,mainnet,,,,,,,,,,,,,,,,,,
coinomi-wallet,,!offer:coinomi-wallet,,mainnet,,,,,,,,,,,,,,,,,,
coolwallet,,!offer:coolwallet,,mainnet,,,,,,,,,,,,,,,,,,
crypto-com,,!offer:crypto-com,,mainnet,,,,,,,,,,,,,,,,,,
ctrl-wallet,,!offer:ctrl-wallet,,mainnet,,,,,,,,,,,,,,,,,,
cwallet,,!offer:cwallet,,mainnet,,,,,,,,,,,,,,,,,,
cypherock-x1,,!offer:cypherock-x1,,mainnet,,,,,,,,,,,,,,,,,,
dcent,,!offer:dcent,,mainnet,,,,,,,,,,,,,,,,,,
ecoin-wallet,,!offer:ecoin-wallet,,mainnet,,,,,,,,,,,,,,,,,,
edge-wallet,,!offer:edge-wallet,,mainnet,,,,,,,,,,,,,,,,,,
ellipal,,!offer:ellipal,,mainnet,,,,,,,,,,,,,,,,,,
enkrypt,,!offer:enkrypt,,mainnet,,,,,,,,,,,,,,,,,,
exodus,,!offer:exodus,,mainnet,,,,,,,,,,,,,,,,,,
foxwallet,,!offer:foxwallet,,mainnet,,,,,,,,,,,,,,,,,,
gate,,!offer:gate,,mainnet,,,,,,,,,,,,,,,,,,
gem-wallet,,!offer:gem-wallet,,mainnet,,,,,,,,,,,,,,,,,,
guarda,,!offer:guarda,,mainnet,,,,,,,,,,,,,,,,,,
imtoken,,!offer:imtoken,,mainnet,,,,,,,,,,,,,,,,,,
iron-wallet,,!offer:iron-wallet,,mainnet,,,,,,,,,,,,,,,,,,
keystone-3-pro,,!offer:keystone-3-pro,,mainnet,,,,,,,,,,,,,,,,,,
kryptogo-wallet,,!offer:kryptogo-wallet,,mainnet,,,,,,,,,,,,,,,,,,
ledger,,!offer:ledger,,mainnet,,,,,,,,,,,,,,,,,,
math-wallet,,!offer:math-wallet,,mainnet,,,,,,,,,,,,,,,,,,
mew,,!offer:mew,,mainnet,,,,,,,,,,,,,,,,,,
nufi-wallet,,!offer:nufi-wallet,,mainnet,,,,,,,,,,,,,,,,,,
okx,,!offer:okxwallet,,mainnet,,,,,,,,,,,,,,,,,,
onekey,,!offer:onekey,,mainnet,,,,,,,,,,,,,,,,,,
onto-wallet,,!offer:onto-wallet,,mainnet,,,,,,,,,,,,,,,,,,
ownbit,,!offer:ownbit,,mainnet,,,,,,,,,,,,,,,,,,
phantom,,!offer:phantom,,mainnet,,,,,,,,,,,,,,,,,,
saakuru-wallet,,!offer:saakuru-wallet,,mainnet,,,,,,,,,,,,,,,,,,
safepal,,!offer:safepal,,mainnet,,,,,,,,,,,,,,,,,,
secux,,!offer:secux,,mainnet,,,,,,,,,,,,,,,,,,
sorted-wallet,,!offer:sorted-wallet,,mainnet,,,,,,,,,,,,,,,,,,
tangem,,!offer:tangem,,mainnet,,,,,,,,,,,,,,,,,,
tokenpocket,,!offer:tokenpocket,,mainnet,,,,,,,,,,,,,,,,,,
trezor,,!offer:trezor,,mainnet,,,,,,,,,,,,,,,,,,
trustwallet,,!offer:trustwallet,,mainnet,,,,,,,,,,,,,,,,,,
unstoppable,,!offer:unstoppable,,mainnet,,,,,,,,,,,,,,,,,,
walletverse,,!offer:walletverse,,mainnet,,,,,,,,,,,,,,,,,,
zengo,,!offer:zengo,,mainnet,,,,,,,,,,,,,,,,,,
zengo-pro,,!offer:zengo-pro,,mainnet,,,,,,,,,,,,,,,,,,
zypto,,!offer:zypto,,mainnet,,,,,,,,,,,,,,,,,,
