slug,provider,offer,actionButtons,chain,serverType,hostingType,transportType,mcpEndpoint,authType,credentialKey,selfHostedCommand,selfHostedArgs,selfHostedRequiredEnvVars,x402,onChainWrite,agentSkills,tag,description,planType,planName,price,trial,starred
3xpl-mcp,,!offer:3xpl-mcp,,mainnet,,,,,,,,,,,,,,,,,,,
agenti,,!offer:agenti,,mainnet,,,,,,,,,,,,,,,,,,,
alchemy-mcp-server,,!offer:alchemy-mcp-server,,mainnet,,,,,,,,,,,,,,,,,,,
blockscout-mcp,,!offer:blockscout-mcp,,mainnet,,,,,,,,,,,,,,,,,,,
codex-mcp,,!offer:codex-mcp,,mainnet,,,,,,,,,,,,,,,,,,,
coinbase-agentkit-mcp,,!offer:coinbase-agentkit-mcp,,mainnet,,,,,,,,,,,,,,,,,,,
contract-scraper-mcp,,!offer:contract-scraper-mcp,,mainnet,,,,,,,,,,,,,,,,,,,
dexpaprika-mcp,,!offer:dexpaprika-mcp,,mainnet,,,,,,,,,,,,,,,,,,,
etherscan-hosted-mcp,,!offer:etherscan-hosted-mcp,,mainnet,,,,,,,,,,,,,,,,,,,
evm-mcp-server,,!offer:evm-mcp-server,,mainnet,,,,,,,,,,,,,,,,,,,
token-minter-mcp,,!offer:token-minter-mcp,,mainnet,,,,,,,,,,,,,,,,,,,
token-revoke-mcp,,!offer:token-revoke-mcp,,mainnet,,,,,,,,,,,,,,,,,,,
uniswap-poolspy-mcp,,!offer:uniswap-poolspy-mcp,,mainnet,,,,,,,,,,,,,,,,,,,
universal-crypto-mcp,,!offer:universal-crypto-mcp,,mainnet,,,,,,,,,,,,,,,,,,,
universal-crypto-mcp-http,,!offer:universal-crypto-mcp-http,,mainnet,,,,,,,,,,,,,,,,,,,
wallet-agent,,!offer:wallet-agent,,mainnet,,,,,,,,,,,,,,,,,,,
