slug,provider,offer,actionButtons,toolType,tag,price,planType,planName,description,starred
lighthouse-beacon,,!offer:lighthouse-beacon,,,,,,,,
lighthouse-free,,!offer:lighthouse-free,,,,,,,,
lighthouse-harbour,,!offer:lighthouse-harbour,,,,,,,,
lighthouse-lite,,!offer:lighthouse-lite,,,,,,,,
lighthouse-navigator,,!offer:lighthouse-navigator,,,,,,,,
lighthouse-premium,,!offer:lighthouse-premium,,,,,,,,
pinata-fiesta,,!offer:pinata-fiesta,"[""[Buy](https://pinata.cloud/pricing)"",""[Docs](https://docs.pinata.cloud/)""]",,,,,,,
pinata-free,,!offer:pinata-free,"[""[Website](https://pinata.cloud/)"",""[Docs](https://docs.pinata.cloud/)""]",,,,,,,
pinata-picnic,,!offer:pinata-picnic,"[""[Buy](https://pinata.cloud/pricing)"",""[Docs](https://docs.pinata.cloud/)""]",,,,,,,
zeeve-build,,!offer:zeeve-build,,,,,,,,
zeeve-free,,!offer:zeeve-free,,,,,,,,
zeeve-growth,,!offer:zeeve-growth,,,,,,,,
zeeve-launch,,!offer:zeeve-launch,,,,,,,,
