slug,provider,offer,actionButtons,chain,openSource,supportedPlatforms,custodial,mfa,msig,hardware,keyExport,native,evm,tendermint,tokensSupport,staking,price,support,audit,languages,starred,tag
atomic-wallet,,!offer:atomic-wallet,,mainnet,,,,,,,,,,,,,,,,,,
coin-wallet,,!offer:coin-wallet,,mainnet,,,,,,,,,,,,,,,,,,
coinomi-wallet,,!offer:coinomi-wallet,,mainnet,,,,,,,,,,,,,,,,,,
coolwallet,,!offer:coolwallet,,mainnet,,,,,,,,,,,,,,,,,,
crypto-com,,!offer:crypto-com,,mainnet,,,,,,,,,,,,,,,,,,
cwallet,,!offer:cwallet,,mainnet,,,,,,,,,,,,,,,,,,
dcent,,!offer:dcent,,mainnet,,,,,,,,,,,,,,,,,,
edge-wallet,,!offer:edge-wallet,,mainnet,,,,,,,,,,,,,,,,,,
ellipal,,!offer:ellipal,,mainnet,,,,,,,,,,,,,,,,,,
exodus,,!offer:exodus,,mainnet,,,,,,,,,,,,,,,,,,
gem-wallet,,!offer:gem-wallet,,mainnet,,,,,,,,,,,,,,,,,,
guarda,,!offer:guarda,,mainnet,,,,,,,,,,,,,,,,,,
ledger,,!offer:ledger,,mainnet,,,,,,,,,,,,,,,,,,
okxwallet,,!offer:okxwallet,,mainnet,,,,,,,,,,,,,,,,,,
onekey,,!offer:onekey,,mainnet,,,,,,,,,,,,,,,,,,
ownbit,,!offer:ownbit,,mainnet,,,,,,,,,,,,,,,,,,
safepal,,!offer:safepal,,mainnet,,,,,,,,,,,,,,,,,,
secux,,!offer:secux,,mainnet,,,,,,,,,,,,,,,,,,
tangem,,!offer:tangem,,mainnet,,,,,,,,,,,,,,,,,,
tokenpocket,,!offer:tokenpocket,,mainnet,,,,,,,,,,,,,,,,,,
trezor,,!offer:trezor,,mainnet,,,,,,,,,,,,,,,,,,
trustwallet,,!offer:trustwallet,,mainnet,,,,,,,,,,,,,,,,,,
zengo,,!offer:zengo,,mainnet,,,,,,,,,,,,,,,,,,
