slug,provider,offer,actionButtons,planName,planType,historicalData,apiType,technology,chain,accessPrice,queryPrice,verifiedUptime,verifiedLatency,verifiedBlocksBehindAvg,uptimeSla,bandwidthSla,blocksBehindSla,supportSla,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,additionalFeatures,address,tag
coinmarketcap-api-mainnet-basic-recent-state,,!offer:coinmarketcap-api-basic-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
coinmarketcap-api-mainnet-hobbyist-full-archive,,!offer:coinmarketcap-api-hobbyist-full-archive,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
coinmarketcap-api-mainnet-hobbyist-recent-state,,!offer:coinmarketcap-api-hobbyist-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
coinmarketcap-api-mainnet-professional-full-archive,,!offer:coinmarketcap-api-professional-full-archive,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
coinmarketcap-api-mainnet-professional-recent-state,,!offer:coinmarketcap-api-professional-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
coinmarketcap-api-mainnet-standard-full-archive,,!offer:coinmarketcap-api-standard-full-archive,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
coinmarketcap-api-mainnet-standard-recent-state,,!offer:coinmarketcap-api-standard-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
coinmarketcap-api-mainnet-startup-full-archive,,!offer:coinmarketcap-api-startup-full-archive,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
coinmarketcap-api-mainnet-startup-recent-state,,!offer:coinmarketcap-api-startup-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
coinmarketcap-api-testnet-basic-recent-state,,!offer:coinmarketcap-api-basic-recent-state,,,,,,,testnet,,,,,,,,,,,,,,,,,,,
coinmarketcap-api-testnet-hobbyist-full-archive,,!offer:coinmarketcap-api-hobbyist-full-archive,,,,,,,testnet,,,,,,,,,,,,,,,,,,,
coinmarketcap-api-testnet-hobbyist-recent-state,,!offer:coinmarketcap-api-hobbyist-recent-state,,,,,,,testnet,,,,,,,,,,,,,,,,,,,
coinmarketcap-api-testnet-professional-full-archive,,!offer:coinmarketcap-api-professional-full-archive,,,,,,,testnet,,,,,,,,,,,,,,,,,,,
coinmarketcap-api-testnet-professional-recent-state,,!offer:coinmarketcap-api-professional-recent-state,,,,,,,testnet,,,,,,,,,,,,,,,,,,,
coinmarketcap-api-testnet-standard-full-archive,,!offer:coinmarketcap-api-standard-full-archive,,,,,,,testnet,,,,,,,,,,,,,,,,,,,
coinmarketcap-api-testnet-standard-recent-state,,!offer:coinmarketcap-api-standard-recent-state,,,,,,,testnet,,,,,,,,,,,,,,,,,,,
coinmarketcap-api-testnet-startup-full-archive,,!offer:coinmarketcap-api-startup-full-archive,,,,,,,testnet,,,,,,,,,,,,,,,,,,,
crypto-apis-mainnet-free-full-archive,,!offer:crypto-apis-free-full-archive,"[""[Website](https://cryptoapis.io/blockchains/ethereum-classic)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
crypto-apis-mainnet-free-recent-state,,!offer:crypto-apis-free-recent-state,"[""[Website](https://cryptoapis.io/blockchains/ethereum-classic)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
crypto-apis-mainnet-pro-full-archive,,!offer:crypto-apis-pro-full-archive,"[""[Website](https://cryptoapis.io/blockchains/ethereum-classic)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
crypto-apis-mainnet-pro-recent-state,,!offer:crypto-apis-pro-recent-state,"[""[Website](https://cryptoapis.io/blockchains/ethereum-classic)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
crypto-apis-mainnet-scale-full-archive,,!offer:crypto-apis-scale-full-archive,"[""[Website](https://cryptoapis.io/blockchains/ethereum-classic)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
crypto-apis-mainnet-scale-recent-state,,!offer:crypto-apis-scale-recent-state,"[""[Website](https://cryptoapis.io/blockchains/ethereum-classic)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
crypto-apis-mainnet-starter-full-archive,,!offer:crypto-apis-starter-full-archive,"[""[Website](https://cryptoapis.io/blockchains/ethereum-classic)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
crypto-apis-mainnet-starter-recent-state,,!offer:crypto-apis-starter-recent-state,"[""[Website](https://cryptoapis.io/blockchains/ethereum-classic)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
getblock-mainnet-advanced-recent-state,,!offer:getblock-advanced-recent-state,"[""[Buy](https://getblock.io/pricing/)"",""[Docs](https://docs.getblock.io/api-reference/ethereum-classic-etc)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
getblock-mainnet-dedicated-recent-state,,!offer:getblock-dedicated-recent-state,"[""[Contact](https://account.getblock.io/sign-up)"",""[Docs](https://docs.getblock.io/api-reference/ethereum-classic-etc)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
getblock-mainnet-free-recent-state,,!offer:getblock-free-recent-state,"[""[Website](https://getblock.io/nodes/etc/)"",""[Docs](https://docs.getblock.io/api-reference/ethereum-classic-etc)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
getblock-mainnet-pro-recent-state,,!offer:getblock-pro-recent-state,"[""[Buy](https://getblock.io/pricing/)"",""[Docs](https://docs.getblock.io/api-reference/ethereum-classic-etc)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
getblock-mainnet-starter-recent-state,,!offer:getblock-starter-recent-state,"[""[Buy](https://getblock.io/pricing/)"",""[Docs](https://docs.getblock.io/api-reference/ethereum-classic-etc)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
