slug,provider,offer,actionButtons,chain,dataSources,hasDashboard,historicalData,availableApis,price,planName,planType,starred,tag
artemis-mainnet,,!offer:artemis,"[""[Dashboard](https://app.artemisanalytics.com/asset/ethereum?tab=overview)""]",mainnet,,,,,,,,,
blockworks-mainnet,,!offer:blockworks,"[""[Dashboard](https://blockworks.com/analytics/ethereum)""]",mainnet,,,,,,,,,
cryptoquant-mainnet-advanced,,!offer:cryptoquant-advanced,"[""[Dashboard](https://cryptoquant.com/asset/eth/summary)""]",mainnet,,,,,,,,,
cryptoquant-mainnet-basic,,!offer:cryptoquant-basic,"[""[Dashboard](https://cryptoquant.com/asset/eth/summary)""]",mainnet,,,,,,,,,
cryptoquant-mainnet-premium,,!offer:cryptoquant-premium,"[""[Dashboard](https://cryptoquant.com/asset/eth/summary)""]",mainnet,,,,,,,,,
cryptoquant-mainnet-professional,,!offer:cryptoquant-professional,"[""[Dashboard](https://cryptoquant.com/asset/eth/summary)""]",mainnet,,,,,,,,,
defillama-mainnet,,!offer:defillama,"[""[Dashboard](https://defillama.com/chain/ethereum)""]",mainnet,,,,,,,,,
dexscreener-mainnet,,!offer:dexscreener,"[""[Dashboard](https://dexscreener.com/ethereum)""]",mainnet,,,,,,,,,
dune-mainnet,,!offer:dune,"[""[Dashboard](https://dune.com/hildobby/ethereum)""]",mainnet,,,,,,,,,
dune-sepolia,,!offer:dune,"[""[Dashboard](https://dune.com/obchakevich/sepolia)""]",sepolia,,,,,,,,,
glassnode-mainnet,,!offer:glassnode,,mainnet,,,,,,,,,
lunarcrush-builder,,!offer:lunarcrush-builder,,mainnet,,,,,,,,,
lunarcrush-hobby,,!offer:lunarcrush-hobby,,mainnet,,,,,,,,,
lunarcrush-individual,,!offer:lunarcrush-individual,,mainnet,,,,,,,,,
lunarcrush-scale,,!offer:lunarcrush-scale,,mainnet,,,,,,,,,
messari-mainnet,,!offer:messari,"[""[Dashboard](https://messari.io/project/ethereum)""]",mainnet,,,,,,,,,
nansen-mainnet,,!offer:nansen,"[""[Dashboard](https://app.nansen.ai/macro/overview?chain=ethereum)""]",mainnet,,,,,,,,,
statuspage-mainnet-business,,!offer:statuspage-business,,mainnet,,,,,,,,,
statuspage-mainnet-corporate,,!offer:statuspage-corporate,,mainnet,,,,,,,,,
statuspage-mainnet-free,,!offer:statuspage-free,,mainnet,,,,,,,,,
statuspage-mainnet-growth,,!offer:statuspage-growth,,mainnet,,,,,,,,,
statuspage-mainnet-hobby,,!offer:statuspage-hobby,,mainnet,,,,,,,,,
statuspage-mainnet-starter,,!offer:statuspage-starter,,mainnet,,,,,,,,,
statuspage-mainnet-startup,,!offer:statuspage-startup,,mainnet,,,,,,,,,
tokenterminal-mainnet,,!offer:tokenterminal,"[""[Dashboard](https://tokenterminal.com/explorer/projects/ethereum)""]",mainnet,,,,,,,,,
