slug,provider,offer,actionButtons,chain,requiresLogin,hasCaptcha,requiredMainnetBalance,price,starred,additionalNotes,dripLimitAmount,dripLimitPeriod,tag
99faucet-mainnet,,!offer:99faucet-faucet,"[""[Faucet](https://99faucet.com/faucet/eth)""]",mainnet,,,,,,,,
alchemy-sepolia,,!offer:alchemy-faucet,"[""[Docs](https://www.alchemy.com/faucets/ethereum-sepolia)""]",sepolia,,,,,,,0.1,72,
automata-hoodi,,!offer:automata-faucet,"[""[Docs](https://www.hoodifaucet.io)""]",hoodi,,,,,,,0.01,0.1,
bagi-faucet-mainnet,,!offer:bagi-faucet,"[""[Faucet](https://bagi.co.in)""]",mainnet,,,,,,,,
bitfaucet-mainnet,,!offer:bitfaucet,"[""[Faucet](https://bitfaucet.cryptojobss.com)""]",mainnet,,,,,,,,60,
chainlink-sepolia,,!offer:chainlink-faucet,"[""[Faucet](https://faucets.chain.link/sepolia)"",""[Docs](https://blog.chain.link/sepolia-eth/)""]",sepolia,,,,,,,0.5,24,
chainstack-hoodi,,!offer:chainstack-faucet,"[""[Docs](https://faucet.chainstack.com/hoodi-testnet-faucet)""]",hoodi,,,,,,,0.5,24,
chainstack-sepolia,,!offer:chainstack-faucet,"[""[Docs](https://faucet.chainstack.com/sepolia-testnet-faucet)""]",sepolia,,,,,,,0.5,24,
earn-coins-mainnet,,!offer:earn-coins-faucet,"[""[Faucet](https://earn-coins.com)""]",mainnet,,,,,,,,
final-autoclaim-mainnet,,!offer:final-autoclaim-faucet,"[""[Faucet](https://autofaucet.dutchycorp.space)""]",mainnet,,,,,,,,
freecoinpay-mainnet,,!offer:freecoinpay-faucet,"[""[Faucet](https://freecoinpay.io)""]",mainnet,,,,,,,0.00000007,10,
getblock-sepolia,,!offer:getblock-faucet,"[""[Open](https://getblock.io/faucet/)"",""[Docs](https://getblock.io/blog/free-eth-faucets-testnet-at-getblock/)""]",sepolia,,,,,,,0.1,24,
ghost-hoodi,,!offer:ghost-faucet,"[""[Docs](https://ghostchain.io/faucet/ethereum-hoodi/)""]",hoodi,,,,,,,0.01,24,
ghost-sepolia,,!offer:ghost-faucet,"[""[Docs](https://ghostchain.io/faucet/ethereum-sepolia/)""]",sepolia,,,,,,,0.01,24,
google-cloud-sepolia,,!offer:google-cloud-faucet,"[""[Docs](https://cloud.google.com/application/web3/faucet/ethereum/sepolia)""]",sepolia,,,,,,,0.05,24,
infura-sepolia,,!offer:infura-faucet,"[""[Docs](https://www.infura.io/faucet)""]",sepolia,,,,,,,0.5,24,
keran-faucet-mainnet,,!offer:keran-faucet,"[""[Faucet](https://keran.co/LTC/)""]",mainnet,,,,,,,,
naticrypto-faucet-mainnet,,!offer:naticrypto-faucet,"[""[Faucet](https://naticrypto.com/tron/)""]",mainnet,,,,,,,,
pk910-hoodi,,!offer:pk910-faucet,"[""[Docs](https://hoodi-faucet.pk910.de)""]",hoodi,,,,,,,0.05,,
pk910-sepolia,,!offer:pk910-faucet,"[""[Docs](https://sepolia-faucet.pk910.de)""]",sepolia,,,,,,,0.05,,
quicknode-hoodi,,!offer:quicknode-faucet,"[""[Docs](https://faucet.quicknode.com/drip)""]",hoodi,,,,,,,1,6,
quicknode-sepolia,,!offer:quicknode-faucet,"[""[Docs](https://faucet.quicknode.com/drip)""]",sepolia,,,,,,,0.2,12,
rockx-sepolia,,!offer:rockx-faucet,"[""[Docs](https://access.rockx.com/faucet-sepolia)""]",sepolia,,,,,,,0,24,
satoshi-faucet-mainnet,,!offer:satoshi-faucet,"[""[Faucet](https://satoshifaucet.io/)""]",mainnet,,,,,,,,
stakely-hoodi,,!offer:stakely-faucet,"[""[Docs](https://stakely.io/faucet/ethereum-hoodi-testnet-eth)""]",hoodi,,,,,,,1,24,
starlavinia-faucet-mainnet,,!offer:starlavinia-faucet,"[""[Faucet](https://starlavinia.com)""]",mainnet,,,,,,,,
tatum-hoodi,,!offer:tatum-faucet,"[""[Docs](https://tatum.io/faucets/hoodi)""]",hoodi,,,,,,,0.002,24,
tatum-sepolia,,!offer:tatum-faucet,"[""[Docs](https://tatum.io/faucets/sepolia)""]",sepolia,,,,,,,0.002,24,
