slug,provider,offer,actionButtons,kycLevel,paymentMethods,bannedCountries,aggregator,auditsPerformed,deliveryType,tag
alchemy-pay,,!offer:alchemy-pay,,,,,,,,
banxa,,!offer:banxa,,,,,,,,
guardarian,,!offer:guardarian,,,,,,,,
kado,,!offer:kado,,,,,,,,
meld,,!offer:meld,,,,,,,,
mercuryo,,!offer:mercuryo,,,,,,,,
moonpay,,!offer:moonpay,,,,,,,,
mt-pelerin,,!offer:mt-pelerin,,,,,,,,
onramper,,!offer:onramper,,,,,,,,
paybis,,!offer:paybis,,,,,,,,
ramp-network,,!offer:ramp-network,,,,,,,,
sardine,,!offer:sardine,,,,,,,,
simplex,,!offer:simplex,,,,,,,,
stripe-crypto,,!offer:stripe-crypto,,,,,,,,
topper,,!offer:topper,,,,,,,,
transak,,!offer:transak,,,,,,,,
transfi,,!offer:transfi,,,,,,,,
unlimit-crypto,,!offer:unlimit-crypto,,,,,,,,
wert,,!offer:wert,,,,,,,,
