slug,provider,offer,actionButtons,chain,technology,monitoringAndAnalytics,additionalFeatures,starred,availableApis,sdk,searchCapabilities,smartContractsVerifications,fullHistory,pricing,tag
atomscan-mainnet,ATOMScan,,"[""[Explorer](https://atomscan.com/evmos)""]",mainnet,Cosmos,,,,,,,FALSE,,,
bigdipper-mainnet,BigDipper,,"[""[Explorer](https://evmos.bigdipper.live/)""]",mainnet,Cosmos,,,,,,,FALSE,,,
bigdipper-testnet,BigDipper,,"[""[Explorer](https://testnet.evmos.bigdipper.live/)""]",testnet,Cosmos,,,,,,,,,,
blockscout-testnet,,!offer:blockscout,"[""[Explorer](https://evm.evmos.dev/)""]",testnet,EVM,,,,,,,,,,
escan-mainnet,Escan,,"[""[Explorer](https://escan.live)""]",mainnet,Cosmos + EVM,,"[""Permissionless contract verification""]",,,,,TRUE,,,
escan-testnet,Escan,,"[""[Explorer](https://testnet.escan.live)""]",testnet,Cosmos + EVM,,,,,,,,,,
mintscan-mainnet,Mintscan,,"[""[Explorer](https://www.mintscan.io/evmos)""]",mainnet,Cosmos + EVM,,"[""Contract verification via form submission""]",,,,,TRUE,,,
mintscan-testnet,Mintscan,,"[""[Explorer](https://testnet.mintscan.io/evmos-testnet)""]",testnet,Cosmos + EVM,,,,,,,,,,
ngexplorer-mainnet,NGExplorer,,"[""[Explorer](https://evmos.explorers.guru)""]",mainnet,Cosmos,,,,,,,FALSE,,,
ngexplorer-testnet,NGExplorer,,"[""[Explorer](https://testnet.evmos.explorers.guru)""]",testnet,Cosmos,,,,,,,,,,
