slug,provider,offer,actionButtons,chain,serverType,hostingType,transportType,mcpEndpoint,authType,credentialKey,selfHostedCommand,selfHostedArgs,selfHostedRequiredEnvVars,x402,onChainWrite,agentSkills,tag,description,planType,planName,price,trial,starred
3xpl-mcp,,!offer:3xpl-mcp,,mainnet,,,,,,,,,,,,,,,,,,,
agenti,,!offer:agenti,,mainnet,,,,,,,,,,,,,,,,,,,
blockscout-mcp,,!offer:blockscout-mcp,,mainnet,,,,,,,,,,,,,,,,,,,
codex-mcp,,!offer:codex-mcp,,mainnet,,,,,,,,,,,,,,,,,,,
coinbase-agentkit-mcp,,!offer:coinbase-agentkit-mcp,,mainnet,,,,,,,,,,,,,,,,,,,
contract-scraper-mcp,,!offer:contract-scraper-mcp,,mainnet,,,,,,,,,,,,,,,,,,,
dexpaprika-mcp,,!offer:dexpaprika-mcp,,mainnet,,,,,,,,,,,,,,,,,,,
evm-mcp-server,,!offer:evm-mcp-server,,mainnet,,,,,,,,,,,,,,,,,,,
tatum-blockchain-mcp,,!offer:tatum-blockchain-mcp,,mainnet,,,,,,,,,,,,,,,,,,,
token-revoke-mcp,,!offer:token-revoke-mcp,,mainnet,,,,,,,,,,,,,,,,,,,
universal-crypto-mcp,,!offer:universal-crypto-mcp,,mainnet,,,,,,,,,,,,,,,,,,,
universal-crypto-mcp-http,,!offer:universal-crypto-mcp-http,,mainnet,,,,,,,,,,,,,,,,,,,
wallet-agent,,!offer:wallet-agent,,mainnet,,,,,,,,,,,,,,,,,,,
