slug,provider,offer,actionButtons,chain,technology,txSpeedSla,throughputSla,openSource,support,starred,availableApis,monitoringAndAnalytics,additionalFeatures,assetTypes,price,economicalSecurity,economicalSecurityNote,auditsPerformed,decentralizationModel,sdk,supportedChains,tag
across,,!offer:across,,,,,,,,,,,,,,,,,,,,
allbridge-core,,!offer:allbridge-core,,,,,,,,,,,,,,,,,,,,
alldomains-bridge,,!offer:alldomains-bridge,,,,,,,,,,,,,,,,,,,,
altitude,,!offer:altitude,,,,,,,,,,,,,,,,,,,,
arbitrum-native,,!offer:arbitrum-native,,,,,,,,,,,,,,,,,,,,
asterizm,,!offer:asterizm,,,,,,,,,,,,,,,,,,,,
axelar,,!offer:axelar,,,,,,,,,,,,,,,,,,,,
axelar-mainnet,,!offer:axelar,"[""[Bridge](https://app.squidrouter.com/?chains=314)"",""[Filecoin Cross-Chain Docs](https://docs.filecoin.io/smart-contracts/advanced/cross-chain-bridges)""]",mainnet,,,,,,FALSE,,,,,,,,,,,,
celer,,!offer:celer,,,,,,,,,,,,,,,,,,,,
celer-mainnet,,!offer:celer,"[""[Celer cBridge App](https://cbridge.celer.network/314/1/USDC)"",""[Docs](https://cbridge-docs.celer.network/reference/faq)""]",mainnet,,,,,,FALSE,,,,,,,,,,,,
chainlink-bridge,,!offer:chainlink-bridge,,,,,,,,,,,,,,,,,,,,
chainsafe-filecoin-testnet,,!offer:chainsafe-filecoin,,testnet,,,,,,,,,,,,,,,,,,
okutrade-mainnet,,!offer:okutrade,,mainnet,,,,,,,,,,,,,,,,,,
rubic-mainnet,,!offer:rubic,,mainnet,,,,,,,,,,,,,,,,,,
squid-mainnet,,!offer:squid,,mainnet,,,,,,,,,,,,,,,,,,
