slug,provider,offer,actionButtons,chain,toolType,programmingLanguage,tag,description,planType,planName,price,trial,starred,dependencies,latestKnownVersion,latestKnownReleaseDate,maintainer,license
abitype,,!offer:abitype,,mainnet,,,,,,,,,,,,,,
ape-framework,,!offer:ape-framework,,mainnet,,,,,,,,,,,,,,
blockdaemon-sdk-free,,!offer:blockdaemon-sdk-free,,mainnet,,,,,,,,,,,,,,
blockdaemon-sdk-growth,,!offer:blockdaemon-sdk-growth,,mainnet,,,,,,,,,,,,,,
blockdaemon-sdk-starter,,!offer:blockdaemon-sdk-starter,,mainnet,,,,,,,,,,,,,,
connectkit,,!offer:connectkit,,mainnet,,,,,,,,,,,,,,
eth-abi,,!offer:eth-abi,,mainnet,,,,,,,,,,,,,,
eth-account,,!offer:eth-account,,mainnet,,,,,,,,,,,,,,
ethereumjs,,!offer:ethereumjs,,mainnet,,,,,,,,,,,,,,
ethers-js,,!offer:ethers-js,,mainnet,,,,,,,,,,,,,,
foundry,,!offer:foundry,"[""[Docs](https://docs.filecoin.io/build-on-filecoin/development-frameworks/foundry)""]",mainnet,,,,,,,,,,,,,,
fvm-assemblyscript-sdk,,!offer:fvm-assemblyscript-sdk,,mainnet,,,,,,,,,,,,,,
fvm-powergate-textile,,!offer:fvm-powergate-textile,,mainnet,,,,,,,,,,,,,,
go-ethereum,,!offer:go-ethereum,,mainnet,,,,,,,,,,,,,,
hardhat,,!offer:hardhat,,mainnet,,,,,,,,,,,,,,
iso-filecoin,,!offer:iso-filecoin,,mainnet,,,,,,,,,,,,,,
magic,,!offer:magic,,mainnet,,,,,,,,,,,,,,
openzeppelin,,!offer:openzeppelin,,mainnet,,,,,,,,,,,,,,
ox,,!offer:ox,,mainnet,,,,,,,,,,,,,,
safe-api-kit,,!offer:safe-api-kit,,mainnet,,,,,,,,,,,,,,
safe-protocol-kit,,!offer:safe-protocol-kit,,mainnet,,,,,,,,,,,,,,
synapse-sdk,,!offer:synapse-sdk,,mainnet,,,,,,,,,,,,,,
tevm,,!offer:tevm,,mainnet,,,,,,,,,,,,,,
wagmi,,!offer:wagmi,,mainnet,,,,,,,,,,,,,,
web3-js,,!offer:web3-js,,mainnet,,,,,,,,,,,,,,
web3-py,,!offer:web3-py,,mainnet,,,,,,,,,,,,,,
web3j,,!offer:web3j,,mainnet,,,,,,,,,,,,,,
