slug,provider,offer,actionButtons,toolType,tag,price,planType,planName,description,starred
filebase-free,,!offer:filebase-free,"[""[Website](https://filebase.com/pricing/)"",""[Docs](https://filebase.com/docs/)""]",,,,,,,
filebase-pay-as-you-go,,!offer:filebase-pay-as-you-go,"[""[Buy](https://filebase.com/pricing/)"",""[Docs](https://filebase.com/docs/)""]",,,,,,,
filecoin-onchain-cloud-warm-storage,,!offer:filecoin-onchain-cloud-warm-storage,,,,,,,,
lighthouse-beacon,,!offer:lighthouse-beacon,,,,,,,,
lighthouse-free,,!offer:lighthouse-free,,,,,,,,
lighthouse-harbour,,!offer:lighthouse-harbour,,,,,,,,
lighthouse-lite,,!offer:lighthouse-lite,,,,,,,,
lighthouse-navigator,,!offer:lighthouse-navigator,,,,,,,,
lighthouse-premium,,!offer:lighthouse-premium,,,,,,,,
pinata-fiesta,,!offer:pinata-fiesta,"[""[Buy](https://pinata.cloud/pricing)"",""[Docs](https://docs.pinata.cloud/)""]",,,,,,,
pinata-free,,!offer:pinata-free,"[""[Website](https://pinata.cloud/)"",""[Docs](https://docs.pinata.cloud/)""]",,,,,,,
pinata-picnic,,!offer:pinata-picnic,"[""[Buy](https://pinata.cloud/pricing)"",""[Docs](https://docs.pinata.cloud/)""]",,,,,,,
storacha-extra-spicy,,!offer:storacha-extra-spicy,,,,,,,,
storacha-medium,,!offer:storacha-medium,,,,,,,,
storacha-mild,,!offer:storacha-mild,,,,,,,,
zeeve-build,,!offer:zeeve-build,"[""[Website](https://www.zeeve.io/zeeve-distributed-file-system/)""]",,,,,,,
zeeve-free,,!offer:zeeve-free,"[""[Website](https://www.zeeve.io/zeeve-distributed-file-system/)""]",,,,,,,
zeeve-growth,,!offer:zeeve-growth,"[""[Website](https://www.zeeve.io/zeeve-distributed-file-system/)""]",,,,,,,
zeeve-launch,,!offer:zeeve-launch,"[""[Website](https://www.zeeve.io/zeeve-distributed-file-system/)""]",,,,,,,
