slug,provider,offer,actionButtons,chain,dataSources,hasDashboard,availableApis,price,planName,planType,starred,tag
defillama-mainnet-api-full-archive,,!offer:defillama-api-full-archive,"[""[Dashboard](https://defillama.com/chain/flare)""]",mainnet,,,,,,,,
defillama-mainnet-api-recent-state,,!offer:defillama-api-recent-state,"[""[Dashboard](https://defillama.com/chain/flare)""]",mainnet,,,,,,,,
defillama-mainnet-free-full-archive,,!offer:defillama-free-full-archive,"[""[Dashboard](https://defillama.com/chain/flare)""]",mainnet,,,,,,,,
defillama-mainnet-free-recent-state,,!offer:defillama-free-recent-state,"[""[Dashboard](https://defillama.com/chain/flare)""]",mainnet,,,,,,,,
defillama-mainnet-pro-full-archive,,!offer:defillama-pro-full-archive,"[""[Dashboard](https://defillama.com/chain/flare)""]",mainnet,,,,,,,,
defillama-mainnet-pro-recent-state,,!offer:defillama-pro-recent-state,"[""[Dashboard](https://defillama.com/chain/flare)""]",mainnet,,,,,,,,
dune-mainnet,,!offer:dune,"[""[Dashboard](https://dune.com/flare/flare-network-overview)""]",mainnet,,,,,,,,
flaremetrics-mainnet,Flare Metrics,,"[""[Dashboard](https://flaremetrics.io/)""]",mainnet,"[""FTSO Data"",""Staking Rewards"",""Vote Power"",""Validator Activity"",""DeFi Metrics""]",TRUE,,$0,,Free,TRUE,
flaremetrics-songbird,Flare Metrics,,"[""[Dashboard](https://flaremetrics.io/songbird)""]",songbird,"[""FTSO Data"",""Staking Rewards"",""Vote Power"",""Validator Activity"",""DeFi Metrics""]",TRUE,,$0,,Free,TRUE,
flarespace-mainnet,Flare.Space,,"[""[Dashboard](https://flare.space/)""]",mainnet,"[""Delegation Metrics"",""Staking Metrics"",""Smart Contracts"",""Tokens"",""Cross-Chain Activity""]",TRUE,,$0,,Free,TRUE,
flaresystems-mainnet,Flare Systems,,"[""[Dashboard](https://flare-systems-explorer.flare.network/)""]",mainnet,"[""FTSO Data"",""Staking Rewards"",""Epoch Status"",""Vote Power"",""Validator Activity""]",TRUE,,$0,,Free,TRUE,
