slug,provider,offer,actionButtons,planName,planType,historicalData,apiType,technology,chain,accessPrice,queryPrice,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,additionalFeatures,address,tag,uptimeSla,verifiedUptime,blocksBehindSla,verifiedBlocksBehindAvg,bandwidthSla,verifiedLatency,supportSla
alchemy-flow-mainnet-free-full-archive,,!offer:alchemy-free-full-archive,"[""[Website](https://www.alchemy.com/rpc/flow)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
alchemy-flow-mainnet-pay-as-you-go-full-archive,,!offer:alchemy-pay-as-you-go-full-archive,"[""[Buy](https://www.alchemy.com/pricing)"",""[Docs](https://www.alchemy.com/docs/reference/flow-evm-api-quickstart)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
dwellir-mainnet-dedicated-recent-state,,!offer:dwellir-dedicated-recent-state,"[""[Contact](https://www.dwellir.com/contact)"",""[Docs](https://www.dwellir.com/docs/flow-evm-gateway)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
dwellir-mainnet-developer-recent-state,,!offer:dwellir-developer-recent-state,"[""[Buy](https://www.dwellir.com/pricing)"",""[Docs](https://www.dwellir.com/docs/flow-evm-gateway)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
dwellir-mainnet-free-recent-state,,!offer:dwellir-free-recent-state,"[""[Website](https://www.dwellir.com/networks/flow-evm-gateway)"",""[Docs](https://www.dwellir.com/docs/flow-evm-gateway)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
dwellir-mainnet-growth-recent-state,,!offer:dwellir-growth-recent-state,"[""[Buy](https://www.dwellir.com/pricing)"",""[Docs](https://www.dwellir.com/docs/flow-evm-gateway)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
dwellir-mainnet-scale-recent-state,,!offer:dwellir-scale-recent-state,"[""[Buy](https://www.dwellir.com/pricing)"",""[Docs](https://www.dwellir.com/docs/flow-evm-gateway)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
dwellir-testnet-dedicated-recent-state,,!offer:dwellir-dedicated-recent-state,"[""[Contact](https://www.dwellir.com/contact)"",""[Docs](https://www.dwellir.com/docs/flow-evm-gateway)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,,
dwellir-testnet-developer-recent-state,,!offer:dwellir-developer-recent-state,"[""[Buy](https://www.dwellir.com/pricing)"",""[Docs](https://www.dwellir.com/docs/flow-evm-gateway)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,,
dwellir-testnet-free-recent-state,,!offer:dwellir-free-recent-state,"[""[Website](https://www.dwellir.com/networks/flow-evm-gateway)"",""[Docs](https://www.dwellir.com/docs/flow-evm-gateway)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,,
dwellir-testnet-growth-recent-state,,!offer:dwellir-growth-recent-state,"[""[Buy](https://www.dwellir.com/pricing)"",""[Docs](https://www.dwellir.com/docs/flow-evm-gateway)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,,
dwellir-testnet-scale-recent-state,,!offer:dwellir-scale-recent-state,"[""[Buy](https://www.dwellir.com/pricing)"",""[Docs](https://www.dwellir.com/docs/flow-evm-gateway)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,,
moralis-flow-mainnet-indexer-business,,!offer:moralis-indexer-business,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
moralis-flow-mainnet-indexer-free,,!offer:moralis-indexer-free,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
moralis-flow-mainnet-indexer-pro,,!offer:moralis-indexer-pro,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
moralis-flow-mainnet-indexer-starter,,!offer:moralis-indexer-starter,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
