slug,provider,offer,actionButtons,planName,planType,historicalData,apiType,technology,chain,accessPrice,queryPrice,verifiedUptime,verifiedLatency,verifiedBlocksBehindAvg,uptimeSla,bandwidthSla,blocksBehindSla,supportSla,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,additionalFeatures,address,tag
alchemy-mainnet-free-full-archive,,!offer:alchemy-free-recent-state,"[""[Website](https://www.alchemy.com/linea)"",""[Docs](https://www.alchemy.com/docs/reference/linea-api-quickstart)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
alchemy-mainnet-pay-as-you-go-full-archive,,!offer:alchemy-pay-as-you-go-recent-state,"[""[Buy](https://www.alchemy.com/pricing)"",""[Docs](https://www.alchemy.com/docs/reference/linea-api-quickstart)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
ankr-mainnet-pay-as-you-go-recent-state,,!offer:ankr-pay-as-you-go-recent-state,"[""[Buy](https://www.ankr.com/rpc/pricing/)"",""[Website](https://www.ankr.com/rpc/linea/)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
chainstack-mainnet-developer-recent-state,,!offer:chainstack-developer-recent-state,"[""[Website](https://chainstack.com/protocols/linea/)"",""[Docs](https://docs.chainstack.com/docs/protocols-networks)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
chainstack-mainnet-growth-recent-state,,!offer:chainstack-growth-recent-state,"[""[Buy](https://chainstack.com/pricing/)"",""[Docs](https://docs.chainstack.com/docs/protocols-networks)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
chainstack-mainnet-pro-recent-state,,!offer:chainstack-pro-recent-state,"[""[Buy](https://chainstack.com/pricing/)"",""[Docs](https://docs.chainstack.com/docs/protocols-networks)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
chainstack-mainnet-business-recent-state,,!offer:chainstack-business-recent-state,"[""[Buy](https://chainstack.com/pricing/)"",""[Docs](https://docs.chainstack.com/docs/protocols-networks)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
chainstack-mainnet-growth-full-archive,,!offer:chainstack-growth-full-archive,"[""[Buy](https://chainstack.com/pricing/)"",""[Docs](https://docs.chainstack.com/docs/protocols-networks)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
chainstack-mainnet-pro-full-archive,,!offer:chainstack-pro-full-archive,"[""[Buy](https://chainstack.com/pricing/)"",""[Docs](https://docs.chainstack.com/docs/protocols-networks)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
chainstack-mainnet-business-full-archive,,!offer:chainstack-business-full-archive,"[""[Buy](https://chainstack.com/pricing/)"",""[Docs](https://docs.chainstack.com/docs/protocols-networks)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
