slug,provider,offer,actionButtons,chain,technology,starred,availableApis,monitoringAndAnalytics,additionalFeatures,dataTypes,decentralizationModel,economicalSecurity,economicalSecurityNote,sdk,auditsPerformed,tag
api3-mainnet,,!offer:api3,,mainnet,,,,,,,,,,,,
chainlink-mainnet,,!offer:chainlink,,mainnet,,,,,,,,,,,,
chainlink-testnet,,!offer:chainlink,,testnet,,,,,,,,,,,,
dia-mainnet,,!offer:dia,,mainnet,,,,,,,,,,,,
eoracle-mainnet,eOracle,!offer:eoracle,,mainnet,,,,,,,,,,,,
pyth-mainnet,,!offer:pyth,,mainnet,,,,,,,,,,,,
pyth-testnet,,!offer:pyth,,testnet,,,,,,,,,,,,
redstone-mainnet,,!offer:redstone,,mainnet,,,,,,,,,,,,
supra-mainnet,,!offer:supra,,mainnet,,,,,,,,,,,,
tellor-mainnet,Tellor,!offer:tellor,,mainnet,,,,,,,,,,,,
tellor-testnet,Tellor,!offer:tellor,,testnet,,,,,,,,,,,,
umbrella-mainnet,Umbrella Network,!offer:umbrella-network,,mainnet,,,,,,,,,,,,
