slug,provider,offer,actionButtons,planName,planType,historicalData,apiType,technology,chain,accessPrice,queryPrice,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,additionalFeatures,address,tag,uptimeSla,verifiedUptime,blocksBehindSla,verifiedBlocksBehindAvg,bandwidthSla,verifiedLatency,supportSla
envio-mainnet-dedicated-indexer,,!offer:envio-dedicated-indexer,"[""[Website](https://envio.dev/)"",""[Docs](https://docs.envio.dev/blog/how-to-index-megaeth-data-using-envio)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
envio-mainnet-free-indexer,,!offer:envio-free-indexer,"[""[Website](https://envio.dev/)"",""[Docs](https://docs.envio.dev/blog/how-to-index-megaeth-data-using-envio)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
envio-mainnet-pay-as-you-go-indexer,,!offer:envio-pay-as-you-go-indexer,"[""[Buy](https://envio.dev/pricing)"",""[Docs](https://docs.envio.dev/blog/how-to-index-megaeth-data-using-envio)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
goldrush-mainnet-enterprise-indexer,,!offer:goldrush-enterprise-indexer,"[""[Website](https://goldrush.dev/chains/megaeth)"",""[Docs](https://goldrush.dev/docs/chains/megaeth)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
goldrush-mainnet-free-indexer,,!offer:goldrush-free-indexer,"[""[Website](https://goldrush.dev/chains/megaeth)"",""[Docs](https://goldrush.dev/docs/chains/megaeth)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
goldrush-mainnet-pay-as-you-go-indexer,,!offer:goldrush-pay-as-you-go-indexer,"[""[Buy](https://goldrush.dev/pricing/)"",""[Docs](https://goldrush.dev/docs/chains/megaeth)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
goldsky-mainnet-enterprise-indexer,,!offer:goldsky-enterprise-indexer,"[""[Website](https://goldsky.com)"",""[Docs](https://docs.goldsky.com/chains/megaeth)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
goldsky-mainnet-free-indexer,,!offer:goldsky-free-indexer,"[""[Website](https://goldsky.com)"",""[Docs](https://docs.goldsky.com/chains/megaeth)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
goldsky-mainnet-pay-as-you-go-indexer,,!offer:goldsky-pay-as-you-go-indexer,"[""[Buy](https://goldsky.com/pricing)"",""[Docs](https://docs.goldsky.com/chains/megaeth)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
megaeth-mainnet-public-rpc,,!offer:megaeth-public-rpc,"[""[Docs](https://docs.megaeth.com/developer-docs/overview-2)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
megaeth-testnet-public-rpc,,!offer:megaeth-public-rpc,"[""[Docs](https://docs.megaeth.com/user-guide/connect)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,,
mobula-mainnet-enterprise-indexer,,!offer:mobula-enterprise-indexer,"[""[Website](https://mobula.io/chain-mega)"",""[Docs](https://docs.megaeth.com/developer-docs/tooling.md)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
mobula-mainnet-free-indexer,,!offer:mobula-free-indexer,"[""[Website](https://mobula.io/chain-mega)"",""[Docs](https://docs.megaeth.com/developer-docs/tooling.md)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
mobula-mainnet-pay-as-you-go-indexer,,!offer:mobula-pay-as-you-go-indexer,"[""[Buy](https://docs.mobula.io/pricing)"",""[Docs](https://docs.megaeth.com/developer-docs/tooling.md)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
sqd-mainnet-free-indexer,,!offer:sqd-free-indexer,"[""[Website](https://www.sqd.ai)"",""[Docs](https://docs.megaeth.com/developer-docs/tooling.md)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
sqd-mainnet-pay-as-you-go-indexer,,!offer:sqd-pay-as-you-go-indexer,"[""[Buy](https://docs.sqd.ai/cloud/pricing/)"",""[Docs](https://docs.megaeth.com/developer-docs/tooling.md)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
thegraph-mainnet-enterprise-indexer,,!offer:thegraph-enterprise-indexer,"[""[Website](https://thegraph.com)"",""[Docs](https://thegraph.com/docs/en/supported-networks/megaeth/)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
thegraph-mainnet-free-indexer,,!offer:thegraph-free-indexer,"[""[Website](https://thegraph.com)"",""[Docs](https://thegraph.com/docs/en/supported-networks/megaeth/)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
thegraph-mainnet-pay-as-you-go-indexer,,!offer:thegraph-pay-as-you-go-indexer,"[""[Website](https://thegraph.com)"",""[Docs](https://thegraph.com/docs/en/supported-networks/megaeth/)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
