slug,provider,offer,actionButtons,chain,dataSources,hasDashboard,historicalData,availableApis,price,planName,planType,starred,tag
artemis,,!offer:artemis,"[""[Dashboard](https://app.artemisanalytics.com/asset/monad?from=assets)""]",mainnet,,,,,,,,,
bubblemaps,,!offer:bubblemaps,"[""[Dashboard](https://v2.bubblemaps.io/monad)""]",mainnet,,,,,,,,,
coinglass,,!offer:coinglass,"[""[Dashboard](https://www.coinglass.com/currencies/MON)""]",mainnet,,,,,,,,,
defillama,,!offer:defillama,"[""[Dashboard](https://defillama.com/chain/monad)""]",mainnet,,,,,,,,,
dexscreener,,!offer:dexscreener,"[""[Dashboard](https://dexscreener.com/monad)""]",mainnet,,,,,,,,,
dune,,!offer:dune,"[""[Dashboard](https://dune.com/blockchains/monad)""]",mainnet,,,,,,,,,
glassnode,,!offer:glassnode,"[""[Dashboard](https://studio.glassnode.com/dashboards/asset-overview?a=MONAD)""]",mainnet,,,,,,,,,
messari,,!offer:messari,"[""[Dashboard](https://messari.io/project/monad)""]",mainnet,,,,,,,,,
nansen,,!offer:nansen,"[""[Dashboard](https://app.nansen.ai/macro/overview?chain=monad)""]",mainnet,,,,,,,,,
statuspage-mainnet-business,,!offer:statuspage-business,,mainnet,,,,,,,,,
statuspage-mainnet-corporate,,!offer:statuspage-corporate,,mainnet,,,,,,,,,
statuspage-mainnet-free,,!offer:statuspage-free,,mainnet,,,,,,,,,
statuspage-mainnet-growth,,!offer:statuspage-growth,,mainnet,,,,,,,,,
statuspage-mainnet-hobby,,!offer:statuspage-hobby,,mainnet,,,,,,,,,
statuspage-mainnet-starter,,!offer:statuspage-starter,,mainnet,,,,,,,,,
statuspage-mainnet-startup,,!offer:statuspage-startup,,mainnet,,,,,,,,,
tokenterminal,,!offer:tokenterminal,"[""[Dashboard](https://tokenterminal.com/explorer/projects/monad)""]",mainnet,,,,,,,,,
