slug,provider,offer,actionButtons,planName,planType,historicalData,apiType,technology,chain,accessPrice,queryPrice,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,additionalFeatures,address,tag,uptimeSla,verifiedUptime,blocksBehindSla,verifiedBlocksBehindAvg,bandwidthSla,verifiedLatency,supportSla
ankr-mainnet-public-full-archive,,!offer:ankr-public-full-archive,"[""[Website](https://www.ankr.com/)"",""[Movement RPC](https://rpc.ankr.com/http/movement_mainnet/v1)"",""[Movement Docs](https://docs.movementnetwork.xyz/devs/networkEndpoints)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
blockpi-mainnet-free-recent-state,,!offer:blockpi-free-recent-state,"[""[Website](https://blockpi.io/)"",""[Movement RPC](https://movement.blockpi.network/rpc/v1/public/v1)"",""[Movement Docs](https://docs.movementnetwork.xyz/devs/networkEndpoints)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
goldsky-mainnet-free-indexer,,!offer:goldsky-free-indexer,"[""[Website](https://goldsky.com/)"",""[Movement Docs](https://docs.movementnetwork.xyz/devs/indexing)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
goldsky-mainnet-pay-as-you-go-indexer,,!offer:goldsky-pay-as-you-go-indexer,"[""[Buy](https://goldsky.com/pricing)"",""[Movement Docs](https://docs.movementnetwork.xyz/devs/indexing)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
hellomoon-mainnet-public-recent-state,,!offer:hellomoon-public-recent-state,"[""[Website](https://www.hellomoon.io/)"",""[Movement RPC](https://movement.hellomoon.io/v1)"",""[Movement Docs](https://docs.movementnetwork.xyz/devs/networkEndpoints)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
lava-mainnet-public-recent-state,,!offer:lavanetwork-public-recent-state,"[""[Website](https://www.lavanet.xyz/)"",""[Movement RPC](https://movement.lava.build/)"",""[Movement Docs](https://docs.movementnetwork.xyz/devs/networkEndpoints)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
movement-indexer-mainnet,,!offer:movement-indexer-api,"[""[API Explorer](https://cloud.hasura.io/public/graphiql?endpoint=https://indexer.mainnet.movementnetwork.xyz/v1/graphql)"",""[Docs](https://docs.movementnetwork.xyz/devs/indexing)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
movement-indexer-testnet,,!offer:movement-indexer-api,"[""[API Explorer](https://cloud.hasura.io/public/graphiql?endpoint=https://indexer.testnet.movementnetwork.xyz/v1/graphql)"",""[Docs](https://docs.movementnetwork.xyz/devs/indexing)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,,
movement-public-rpc-mainnet,,!offer:movement-public-rpc,"[""[RPC](https://mainnet.movementnetwork.xyz/v1)"",""[Docs](https://docs.movementnetwork.xyz/devs/networkEndpoints)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
movement-public-rpc-testnet,,!offer:movement-public-rpc,"[""[RPC](https://testnet.movementnetwork.xyz/v1)"",""[Docs](https://docs.movementnetwork.xyz/devs/networkEndpoints)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,,
sentio-mainnet-free-full-archive,,!offer:sentio-free-full-archive,"[""[Website](https://app.sentio.xyz/)"",""[Movement RPC](https://rpc.sentio.xyz/movement/v1)"",""[Movement Docs](https://docs.movementnetwork.xyz/devs/networkEndpoints)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
sentio-mainnet-free-indexer,,!offer:sentio-free-indexer,"[""[Website](https://app.sentio.xyz/)"",""[Movement Docs](https://docs.movementnetwork.xyz/devs/indexing)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
sentio-mainnet-pay-as-you-go-indexer,,!offer:sentio-pay-as-you-go-indexer,"[""[Buy](https://sentio.xyz/pricing)"",""[Movement Docs](https://docs.movementnetwork.xyz/devs/indexing)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
