slug,provider,offer,actionButtons,chain,technology,txSpeedSla,throughputSla,openSource,support,supportedChains,availableApis,monitoringAndAnalytics,additionalFeatures,assetTypes,price,economicalSecurity,economicalSecurityNote,auditsPerformed,decentralizationModel,sdk,starred
across-mainnet,,!offer:across,,mainnet,,,,,,,,,,,,,,,,,
allbridge-core-mainnet,,!offer:allbridge-core,,mainnet,,,,,,,,,,,,,,,,,
celer-cbridge,,!offer:celer,,mainnet,,,,,,,,,,,,,,,,,
ecoportal-mainnet,,!offer:ecoportal,,mainnet,,,,,,,,,,,,,,,,,
hop-mainnet,,!offer:hop,,mainnet,,,,,,,,,,,,,,,,,
hyperlane-mainnet,,!offer:hyperlane,,mainnet,,,,,,,,,,,,,,,,,
jumper-mainnet,,!offer:jumper,,mainnet,,,,,,,,,,,,,,,,,
layerswap-mainnet,,!offer:layerswap,,mainnet,,,,,,,,,,,,,,,,,
layerzero-mainnet,,!offer:layerzero,,mainnet,,,,,,,,,,,,,,,,,
optimism-standart,Optimism,,"[""[Bridge](https://app.optimism.io/bridge/deposit)"",""[Docs](https://docs.optimism.io/app-developers/guides/bridging/standard-bridge)""]",mainnet,Cross‑chain Messaging,"1-3 min (from ETH to OP Mainnet),7 days (OP Mainnet to ETH)",,TRUE,"[""Discord"",""Email""]","[""Ethereum"",""Optimism"",""Base"",""Unichain"",""Ink"",""World Chain"",""Mode Mainnet"",""Zora"",""Redstone"",""Fraxtal"",""Lisk"",""Arena Z""]","[""Bridge API"",""GraphQL""]","[""Blockscout"",""Optimism Explorer""]","[""Native token bridge with 7-day withdrawal delay, security via Ethereum fraud proofs""]","[""ETH"",""ERC‑20""]",Gas Fee on L1,TRUE,7-day L2 to L1 withdrawal challenge period required,,Decentralized,"[""TypeScript""]",FALSE
orbiter-mainnet,,!offer:orbiter,,mainnet,,,,,,,,,,,,,,,,,
owlto-mainnet,,!offer:owlto,,mainnet,,,,,,,,,,,,,,,,,
rhinofi-mainnet,,!offer:rhinofi,,mainnet,,,,,,,,,,,,,,,,,
rubic-mainnet,,!offer:rubic,,mainnet,,,,,,,,,,,,,,,,,
smolrefuel-mainnet,,!offer:smolrefuel,,mainnet,,,,,,,,,,,,,,,,,
squid-mainnet,,!offer:squid,,mainnet,,,,,,,,,,,,,,,,,
stargate-mainnet,,!offer:stargate,,mainnet,,,,,,,,,,,,,,,,,
superbridge-mainnet,,!offer:superbridge,,mainnet,,,,,,,,,,,,,,,,,
symbiosis-mainnet,,!offer:symbiosis,,mainnet,,,,,,,,,,,,,,,,,
synapse-mainnet,,!offer:synapse,,mainnet,,,,,,,,,,,,,,,,,
utexo-mainnet,,!offer:utexo,,mainnet,,,,,,,,,,,,,,,,,
altitude-optimism,,!offer:altitude,,mainnet,,,,,,,,,,,,,,,,,
asterizm-optimism,,!offer:asterizm,,mainnet,,,,,,,,,,,,,,,,,
axelar-optimism,,!offer:axelar,,mainnet,,,,,,,,,,,,,,,,,
chainlink-bridge-optimism,,!offer:chainlink-bridge,,mainnet,,,,,,,,,,,,,,,,,
chainport-optimism,,!offer:chainport,,mainnet,,,,,,,,,,,,,,,,,
chainspot-optimism,,!offer:chainspot,,mainnet,,,,,,,,,,,,,,,,,
connext-optimism,,!offer:connext,,mainnet,,,,,,,,,,,,,,,,,
crosscurve-optimism,,!offer:crosscurve,,mainnet,,,,,,,,,,,,,,,,,
debridge-optimism,,!offer:debridge,,mainnet,,,,,,,,,,,,,,,,,
defiway-bridge-optimism,,!offer:defiway-bridge,,mainnet,,,,,,,,,,,,,,,,,
hashport-optimism,,!offer:hashport,,mainnet,,,,,,,,,,,,,,,,,
interport-optimism,,!offer:interport,,mainnet,,,,,,,,,,,,,,,,,
mayan-optimism,,!offer:mayan,,mainnet,,,,,,,,,,,,,,,,,
meson-optimism,,!offer:meson,,mainnet,,,,,,,,,,,,,,,,,
messina-optimism,,!offer:messina,,mainnet,,,,,,,,,,,,,,,,,
okutrade-optimism,,!offer:okutrade,,mainnet,,,,,,,,,,,,,,,,,
pheasant-optimism,,!offer:pheasant,,mainnet,,,,,,,,,,,,,,,,,
routerprotocol-optimism,,!offer:routerprotocol,,mainnet,,,,,,,,,,,,,,,,,
safeswap-optimism,,!offer:safeswap,,mainnet,,,,,,,,,,,,,,,,,
transporter-optimism,,!offer:transporter,,mainnet,,,,,,,,,,,,,,,,,
umbria-optimism,,!offer:umbria,,mainnet,,,,,,,,,,,,,,,,,
universalx-optimism,,!offer:universalx,,mainnet,,,,,,,,,,,,,,,,,
valuerouter-optimism,,!offer:valuerouter,,mainnet,,,,,,,,,,,,,,,,,
wanchain-optimism,,!offer:wanchain,,mainnet,,,,,,,,,,,,,,,,,
wormhole-optimism,,!offer:wormhole,,mainnet,,,,,,,,,,,,,,,,,
zkbridge-optimism,,!offer:zkbridge,,mainnet,,,,,,,,,,,,,,,,,
