slug,provider,offer,actionButtons,chain,openSource,supportedPlatforms,custodial,mfa,msig,hardware,keyExport,native,evm,tendermint,tokensSupport,staking,price,support,audit,languages,starred,tag
base-wallet-mainnet,,!offer:base-wallet,,mainnet,,,,,,,,,,,,,,,,,,
binance-wallet-mainnet,,!offer:binance-wallet,,mainnet,,,,,,,,,,,,,,,,,,
bitget-wallet-mainnet,,!offer:bitget-wallet,,mainnet,,,,,,,,,,,,,,,,,,
foxwallet-mainnet,,!offer:foxwallet,,mainnet,,,,,,,,,,,,,,,,,,
metamask-mainnet,,!offer:metamask,,mainnet,,,,,,,,,,,,,,,,,,
okxwallet-mainnet,,!offer:okxwallet,,mainnet,,,,,,,,,,,,,,,,,,
phantom-mainnet,,!offer:phantom,,mainnet,,,,,,,,,,,,,,,,,,
rainbow-mainnet,,!offer:rainbow,,mainnet,,,,,,,,,,,,,,,,,,
safe-mainnet,,!offer:safe-gnosis,,mainnet,,,,,,,,,,,,,,,,,,
top-nod-mainnet,,!offer:top-nod,,mainnet,,,,,,,,,,,,,,,,,,
trustwallet-mainnet,,!offer:trustwallet,,mainnet,,,,,,,,,,,,,,,,,,
