slug,provider,offer,actionButtons,chain,dataSources,hasDashboard,historicalData,availableApis,price,planName,planType,starred,tag
artemis-polygon,,!offer:artemis,"[""[Dashboard](https://app.artemisanalytics.com/asset/polygon?tab=overview)""]",mainnet,,,,,,,,,
defillama-polygon,,!offer:defillama,"[""[Dashboard](https://defillama.com/chain/polygon)""]",mainnet,,,,,,,,,
dexscreener-polygon,,!offer:dexscreener,"[""[Dashboard](https://dexscreener.com/polygon)""]",mainnet,,,,,,,,,
dune-polygon,,!offer:dune,"[""[Dashboard](https://dune.com/blockchains/polygon)""]",mainnet,,,,,,,,,
l2beat-polygon,,!offer:l2beat,"[""[Dashboard](https://l2beat.com/scaling/projects/polygon-pos)""]",mainnet,,,,,,,,,
messari-polygon,,!offer:messari,"[""[Dashboard](https://messari.io/project/polygon-ecosystem-token)""]",mainnet,,,,,,,,,
nansen-polygon,,!offer:nansen,"[""[Dashboard](https://app.nansen.ai/macro/overview?chain=polygon)""]",mainnet,,,,,,,,,
statuspage-mainnet-business,,!offer:statuspage-business,,mainnet,,,,,,,,,
statuspage-mainnet-corporate,,!offer:statuspage-corporate,,mainnet,,,,,,,,,
statuspage-mainnet-free,,!offer:statuspage-free,,mainnet,,,,,,,,,
statuspage-mainnet-growth,,!offer:statuspage-growth,,mainnet,,,,,,,,,
statuspage-mainnet-hobby,,!offer:statuspage-hobby,,mainnet,,,,,,,,,
statuspage-mainnet-starter,,!offer:statuspage-starter,,mainnet,,,,,,,,,
statuspage-mainnet-startup,,!offer:statuspage-startup,,mainnet,,,,,,,,,
tokenterminal-mainnet,,!offer:tokenterminal,"[""[Dashboard](https://tokenterminal.com/explorer/projects/polygon)""]",mainnet,,,,,,,,,
