slug,chainId,provider,offer,actionButtons,planName,planType,historicalData,apiType,technology,authenticationMethods,chain,accessPrice,queryPrice,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,additionalFeatures,address,tag,uptimeSla,verifiedUptime,blocksBehindSla,verifiedBlocksBehindAvg,bandwidthSla,verifiedLatency,supportSla,networkSupportBasis
1rpc-mainnet-developer-recent-state,137,,!offer:1rpc-developer-recent-state,,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,
1rpc-mainnet-personal-recent-state,137,,!offer:1rpc-personal-recent-state,,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,
1rpc-mainnet-public-recent-state,137,,!offer:1rpc-public-recent-state,,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,
1rpc-mainnet-starter-recent-state,137,,!offer:1rpc-starter-recent-state,,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,
alchemy-amoy-free,137,,!offer:alchemy-free-recent-state,"[""[Buy](https://www.alchemy.com/polygon)"",""[Docs](https://www.alchemy.com/docs/polygon-pos)""]",,,,,,,amoy,,,,,,,,,,,,,,,,,,,,
alchemy-amoy-pay-as-you-go,137,,!offer:alchemy-pay-as-you-go-recent-state,"[""[Buy](https://www.alchemy.com/polygon)"",""[Docs](https://www.alchemy.com/docs/polygon-pos)""]",,,,,,,amoy,,,,,,,,,,,,,,,,,,,,
alchemy-polygon-free,137,,!offer:alchemy-free-recent-state,"[""[Buy](https://www.alchemy.com/polygon)"",""[Docs](https://www.alchemy.com/docs/polygon-pos)""]",,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,
alchemy-polygon-pay-as-you-go,137,,!offer:alchemy-pay-as-you-go-recent-state,"[""[Buy](https://www.alchemy.com/polygon)"",""[Docs](https://www.alchemy.com/docs/polygon-pos)""]",,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,
allthatnode-amoy-dedicated-full-archive,137,,!offer:allthatnode-dedicated-full-archive,"[""[Website](https://www.allthatnode.com/dedicatednode.dsrv)"",""[Docs](https://docs.allthatnode.com/docs/supported-protocols-2)""]",,,,,,,amoy,,,,,,,,,,,,,,,,,,,,
allthatnode-amoy-dedicated-recent-state,137,,!offer:allthatnode-dedicated-recent-state,"[""[Website](https://www.allthatnode.com/dedicatednode.dsrv)"",""[Docs](https://docs.allthatnode.com/docs/supported-protocols-2)""]",,,,,,,amoy,,,,,,,,,,,,,,,,,,,,
allthatnode-amoy-free-full-archive,137,,!offer:allthatnode-free-full-archive,,,,,,,,amoy,,,,,,,,,,,,,,,,,,,,
allthatnode-amoy-free-recent-state,137,,!offer:allthatnode-free-recent-state,,,,,,,,amoy,,,,,,,,,,,,,,,,,,,,
allthatnode-amoy-scale-full-archive,137,,!offer:allthatnode-scale-full-archive,,,,,,,,amoy,,,,,,,,,,,,,,,,,,,,
allthatnode-amoy-scale-recent-state,137,,!offer:allthatnode-scale-recent-state,,,,,,,,amoy,,,,,,,,,,,,,,,,,,,,
allthatnode-amoy-starter-full-archive,137,,!offer:allthatnode-starter-full-archive,,,,,,,,amoy,,,,,,,,,,,,,,,,,,,,
allthatnode-amoy-starter-recent-state,137,,!offer:allthatnode-starter-recent-state,,,,,,,,amoy,,,,,,,,,,,,,,,,,,,,
allthatnode-mainnet-dedicated-full-archive,137,,!offer:allthatnode-dedicated-full-archive,"[""[Website](https://www.allthatnode.com/dedicatednode.dsrv)"",""[Docs](https://docs.allthatnode.com/docs/supported-protocols-2)""]",,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,
allthatnode-mainnet-dedicated-recent-state,137,,!offer:allthatnode-dedicated-recent-state,"[""[Website](https://www.allthatnode.com/dedicatednode.dsrv)"",""[Docs](https://docs.allthatnode.com/docs/supported-protocols-2)""]",,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,
allthatnode-mainnet-free-full-archive,137,,!offer:allthatnode-free-full-archive,,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,
allthatnode-mainnet-free-recent-state,137,,!offer:allthatnode-free-recent-state,,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,
allthatnode-mainnet-scale-full-archive,137,,!offer:allthatnode-scale-full-archive,,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,
allthatnode-mainnet-scale-recent-state,137,,!offer:allthatnode-scale-recent-state,,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,
allthatnode-mainnet-starter-full-archive,137,,!offer:allthatnode-starter-full-archive,,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,
allthatnode-mainnet-starter-recent-state,137,,!offer:allthatnode-starter-recent-state,,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,
ankr-amoy-free-archive,137,,!offer:ankr-free-recent-state,"[""[Website](https://www.ankr.com/rpc/?utm_referral=t26yw96jZJ)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-list/#polygon)""]",,,,,,,amoy,,,,,,,,,,,,,,,,,,,,
ankr-amoy-pay-as-you-go-archive,137,,!offer:ankr-pay-as-you-go-full-archive,"[""[Buy](https://www.ankr.com/rpc/?utm_referral=t26yw96jZJ)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-list/#polygon)""]",,,,,,,amoy,,,,,,,,,,,,,,,,,,,,
ankr-mainnet-free-archive,137,,!offer:ankr-free-recent-state,"[""[Website](https://www.ankr.com/rpc/?utm_referral=t26yw96jZJ)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-list/#polygon)""]",,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,
ankr-mainnet-pay-as-you-go-archive,137,,!offer:ankr-pay-as-you-go-full-archive,"[""[Buy](https://www.ankr.com/rpc/?utm_referral=t26yw96jZJ)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-list/#polygon)""]",,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,
blockdaemon-amoy-dedicated-recent-state,137,,!offer:blockdaemon-dedicated-recent-state,"[""[Website](https://www.blockdaemon.com/protocols/polygon)"",""[Docs](https://docs.blockdaemon.com/docs/polygon)""]",,,,,,,amoy,,,,,,,,,,,,,,,,,,,,
blockdaemon-amoy-free-full-archive,137,,!offer:blockdaemon-free-full-archive,"[""[Website](https://www.blockdaemon.com/protocols/polygon)"",""[Docs](https://docs.blockdaemon.com/reference/polygon-methods-rpc-api)""]",,,,,,,amoy,,,,,,,,,,,,,,,,,,,,
