slug,provider,offer,actionButtons,toolType,tag,price,planType,planName,description,starred,storageTypes,trial
aleph-cloud-block-storage,,!offer:aleph-cloud-block-storage,,,,,,,,,,FALSE
aleph-cloud-gpu-cloud,,!offer:aleph-cloud-gpu-cloud,,,,,,,,,,FALSE
aleph-cloud-vps,,!offer:aleph-cloud-vps,,,,,,,,,,FALSE
filebase-free,,!offer:filebase-free,,,,,,,,,,FALSE
filebase-pay-as-you-go,,!offer:filebase-pay-as-you-go,,,,,,,,,,FALSE
lighthouse-free,,!offer:lighthouse-free,,,,,,,,,,FALSE
lighthouse-lite,,!offer:lighthouse-lite,,,,,,,,,,FALSE
lighthouse-premium,,!offer:lighthouse-premium,,,,,,,,,,FALSE
pinata-fiesta,,!offer:pinata-fiesta,,,,,,,,,,FALSE
pinata-free,,!offer:pinata-free,,,,,,,,,,FALSE
pinata-picnic,,!offer:pinata-picnic,,,,,,,,,,FALSE
storacha-extra-spicy,,!offer:storacha-extra-spicy,,,,,,,,,,FALSE
storacha-medium,,!offer:storacha-medium,,,,,,,,,,FALSE
storacha-mild,,!offer:storacha-mild,,,,,,,,,,FALSE
zeeve-build,,!offer:zeeve-build,,,,,,,,,,FALSE
zeeve-free,,!offer:zeeve-free,,,,,,,,,,FALSE
zeeve-growth,,!offer:zeeve-growth,,,,,,,,,,FALSE
zeeve-launch,,!offer:zeeve-launch,,,,,,,,,,FALSE
