slug,provider,offer,actionButtons,chain,requiresLogin,hasCaptcha,price,starred,requiredMainnetBalance,dripLimitAmount,dripLimitPeriod,additionalNotes,tag
alchemy-testnet,,!offer:alchemy-faucet,,testnet,,,,,,,,,
chainstack-testnet,,!offer:chainstack-faucet,,testnet,,,,,,,,,
circle-usdc-testnet,,!offer:circle-faucet-usdc,,testnet,,,,,,,,,
getblock-testnet,,!offer:getblock-faucet,,testnet,,,,,,,,,
ghost-testnet,,!offer:ghost-faucet,,testnet,,,,,,,,,
google-cloud-faucet,,!offer:google-cloud-faucet,"[""[Faucet](https://cloud.google.com/application/web3/faucet/somnia/shannon)""]",testnet,,,,,,1 STT,,,
google-cloud-testnet,,!offer:google-cloud-faucet,,testnet,,,,,,,,,
infura-testnet,,!offer:infura-faucet,,testnet,,,,,,,,,
pk910-testnet,,!offer:pk910-faucet,,testnet,,,,,,,,,
quicknode-testnet,,!offer:quicknode-faucet,,testnet,,,,,,,,,
somnia-faucet-testnet,,!offer:somnia-faucet,,testnet,,,,,,,,,
stakely-faucet-mainnet,,!offer:stakely-faucet,"[""[Faucet](https://stakely.io/faucet/somnia-somi)""]",mainnet,,,,,,0.001 SOMI,,,
stakely-faucet-testnet,,!offer:stakely-faucet,"[""[Faucet](https://stakely.io/faucet/somnia-testnet-stt)""]",testnet,,,,,,0.001 STT,,,
stakely-testnet,,!offer:stakely-faucet,,testnet,,,,,,,,,
tatum-testnet,,!offer:tatum-faucet,,testnet,,,,,,,,,
thirdweb-faucet,,!offer:thirdweb-faucet,"[""[Faucet](https://thirdweb.com/somnia-shannon-testnet)""]",testnet,FALSE,TRUE,$5/$99/$499/$1499,FALSE,,,,"[""Available only on paid plans""]",
