slug,provider,offer,actionButtons,toolType,programmingLanguage,tag,description,planType,planName,price,trial,starred,dependencies,latestKnownVersion,latestKnownReleaseDate,maintainer,license
alloy,,!offer:alloy,"[""[Docs](https://alloy.rs/)"",""[GitHub](https://github.com/alloy-rs/alloy)""]",,,,,,,,,,,,,,
ens-js,,!offer:ens-js,"[""[Website](https://github.com/ensdomains/ensjs?tab=readme-ov-file)""]",,,,,,,,,,,,,,
ethers-js,,!offer:ethers-js,"[""[Website](https://docs.ethers.org/v6/)""]",,,,,,,,,,,,,,
foundry,,!offer:foundry,"[""[Docs](https://docs.somnia.network/developer/development-frameworks/deploy-with-foundry)""]",,,,,,,,,,,,,,
hardhat,,!offer:hardhat,"[""[Docs](https://hardhat.org/docs)""]",,,,,,,,,,,,,,
nethereum,,!offer:nethereum,"[""[Website](https://nethereum.com/)"",""[Docs](https://docs.nethereum.com/)""]",,,,,,,,,,,,,,
openzeppelin,,!offer:openzeppelin,"[""[Docs](https://docs.openzeppelin.com/contracts)""]",,,,,,,,,,,,,,
prb-test,,!offer:prb-test,"[""[Website](https://github.com/PaulRBerg/prb-test)""]",,,,,,,,,,,,,,
sequence-sdk-free,,!offer:sequence-sdk-free,"[""[Docs](https://docs.somnia.network/developer/deployment-and-production/ecosystem/ecosystem-tools/sdks)""]",,,,,,,,,,,,,,
thirdweb-sdk,,!offer:thirdweb-sdk,"[""[Docs](https://docs.somnia.network/developer/deployment-and-production/ecosystem/ecosystem-tools/sdks)""]",,,,,,,,,,,,,,
viem,,!offer:viem,"[""[Docs](https://viem.sh/docs/getting-started)"",""[GitHub](https://github.com/wevm/viem)""]",,,,,,,,,,,,,,
wagmi,,!offer:wagmi,"[""[Website](https://docs.somnia.network/developer/building-dapps/wallet-integration-and-auth/authenticating-with-connectkit)""]",,,,,,,,,,,,,,
web3-js,,!offer:web3-js,"[""[Docs](https://web3js.readthedocs.io/)""]",,,,,,,,,,,,,,
web3-py,,!offer:web3-py,"[""[Docs](https://web3py.readthedocs.io/)""]",,,,,,,,,,,,,,
web3auth-base,,!offer:web3auth-base,"[""[Website](https://web3auth.io/index.html)"",""[Docs](https://web3auth.io/docs/)""]",,,,,,,,,,,,,,
web3auth-growth,,!offer:web3auth-growth,"[""[Buy](https://web3auth.io/pricing.html)"",""[Docs](https://web3auth.io/docs/)""]",,,,,,,,,,,,,,
web3auth-scale,,!offer:web3auth-scale,"[""[Buy](https://web3auth.io/pricing.html)"",""[Docs](https://web3auth.io/docs/)""]",,,,,,,,,,,,,,
connectkit,,!offer:connectkit,"[""[Docs](https://docs.somnia.network/developer/building-dapps/wallet-integration-and-auth/authenticating-with-connectkit)""]",,,,,,,,,,,,,,
lifi-sdk,,!offer:lifi-sdk,"[""[Website](https://li.fi)"",""[Integration](https://li.fi/knowledge-hub/bringing-cross-chain-liquidity-to-somnia-powered-by-li.fi)""]",,,,,,,,,,,,,,
rainbowkit-testnet,,!offer:rainbowkit,"[""[Docs](https://docs.somnia.network/developer/building-dapps/wallet-integration-and-auth/authenticating-with-rainbowkit)""]",,,,,,,,,,,,,,
