slug,provider,offer,actionButtons,toolType,tag,price,planName,planType,description,starred
agent-kit,,!offer:agent-kit,,,,,,,,
chain-ide,,!offer:chain-ide,,,,,,,,
pimlico-account-abstraction,,!offer:pimlico-account-abstraction,"[""[Docs](https://docs.somnia.network/developer/deployment-and-production/ecosystem/ecosystem-tools)""]",,,,,,,
privy-account-abstraction,,!offer:privy-account-abstraction,"[""[Somnia Docs](https://docs.somnia.network/developer/building-dapps/account-abstraction)""]",,,,,,,
privy-embedded-wallets,,!offer:privy-embedded-wallets,"[""[Somnia Docs](https://docs.somnia.network/developer/deployment-and-production/ecosystem/ecosystem-tools/wallet-providers)""]",,,,,,,
protofire-subgraph-development,,!offer:protofire-subgraph-development,"[""[Somnia Docs](https://docs.somnia.network/developer/deployment-and-production/ecosystem/ecosystem-tools)""]",,,,,,,
reown-free,,!offer:reown-free,,,,,,,,
reown-pro,,!offer:reown-pro,,,,,,,,
scaffold-eth,,!offer:scaffold-eth,,,,,,,,
sequence-account-abstraction,,!offer:sequence-account-abstraction,"[""[Somnia Docs](https://docs.somnia.network/developer/deployment-and-production/ecosystem/ecosystem-tools/wallet-providers)""]",,,,,,,
sequence-embedded-wallets,,!offer:sequence-embedded-wallets,"[""[Somnia Docs](https://docs.somnia.network/developer/deployment-and-production/ecosystem/ecosystem-tools/wallet-providers)""]",,,,,,,
thirdweb-embedded-wallets,,!offer:thirdweb-embedded-wallets,"[""[Somnia Docs](https://docs.somnia.network/developer/deployment-and-production/ecosystem/ecosystem-tools/wallet-providers)""]",,,,,,,
