slug,provider,offer,actionButtons,chain,technology,starred,availableApis,monitoringAndAnalytics,additionalFeatures,dataTypes,decentralizationModel,economicalSecurity,economicalSecurityNote,sdk,auditsPerformed,tag
api3-soneium,,!offer:api3,"[""[Website](https://market.api3.org/soneium)""]",mainnet,,,,,,,,,,,,
api3-soneium-minato,,!offer:api3,"[""[Website](https://market.api3.org/soneium-sepolia-testnet)""]",testnet,,,,,,,,,,,,
chainlink-soneium,,!offer:chainlink,"[""[Feeds](https://docs.chain.link/data-feeds/price-feeds/addresses?network=soneium&page=1)""]",mainnet,,,,,,,,,,,,
chainlink-soneium-minato,,!offer:chainlink,"[""[Feeds](https://docs.chain.link/data-feeds/price-feeds/addresses?network=soneium&page=1)""]",testnet,,,,,,,,,,,,
orochi-soneium,,!offer:orochi,"[""[Docs](https://docs.orochi.network/orochi-network/orocle-v2.html#mainnet)""]",mainnet,,,,,,,,,,,,
orochi-soneium-minato,,!offer:orochi,"[""[Docs](https://docs.orochi.network/orochi-network/orocle-v2.html#testnet)""]",testnet,,,,,,,,,,,,
pyth-soneium,,!offer:pyth,"[""[Contracts](https://docs.pyth.network/price-feeds/contract-addresses/evm#mainnets)""]",mainnet,,,,,,,,,,,,
pyth-soneium-minato,,!offer:pyth,"[""[Contracts](https://docs.pyth.network/price-feeds/contract-addresses/evm#testnets)""]",testnet,,,,,,,,,,,,
redstone-soneium,,!offer:redstone,"[""[Blog](https://blog.redstone.finance/2025/03/24/redstone-blockchain-oracles-on-soneium/)""]",mainnet,,,,,,,,,,,,
redstone-soneium-minato,,!offer:redstone,"[""[Docs](https://docs.redstone.finance/)""]",testnet,,,,,,,,,,,,
