slug,provider,offer,actionButtons,chain,kycLevel,paymentMethods,bannedCountries,aggregator,auditsPerformed,deliveryType,tag
alltrust-me,,!offer:alltrust-me,,mainnet,,,,,,,
banxa,,!offer:banxa,,mainnet,,,,,,,
bridge,,!offer:bridge,,mainnet,,,,,,,
btcdirect,,!offer:btcdirect,,mainnet,,,,,,,
coinflow,,!offer:coinflow,,mainnet,,,,,,,
fonbnk,,!offer:fonbnk,,mainnet,,,,,,,
mercuryo,,!offer:mercuryo,,mainnet,,,,,,,
moonpay,,!offer:moonpay,,mainnet,,,,,,,
onramper,,!offer:onramper,,mainnet,,,,,,,
ramp-network,,!offer:ramp-network,,mainnet,,,,,,,
stripe-crypto,,!offer:stripe-crypto,,mainnet,,,,,,,
swipelux,,!offer:swipelux,,mainnet,,,,,,,
transak,,!offer:transak,,mainnet,,,,,,,
