slug,provider,offer,actionButtons,tag,description,planType,planName,price,trial,starred,toolType,deliveryType,executionEnvironment,coverage,compliance
failsafe,,!offer:failsafe,,,,,,,,,,,,,
halborn-ai-red-teaming,,!offer:halborn-ai-red-teaming,,,,,,,,,,,,,
halborn-ai-security-assessment,,!offer:halborn-ai-security-assessment,,,,,,,,,,,,,
halborn-blockchain-layer-1-assessment,,!offer:halborn-blockchain-layer-1-assessment,,,,,,,,,,,,,
halborn-cloud-infrastructure-penetration-testing,,!offer:halborn-cloud-infrastructure-penetration-testing,,,,,,,,,,,,,
halborn-code-security-audit,,!offer:halborn-code-security-audit,,,,,,,,,,,,,
halborn-red-team-exercises,,!offer:halborn-red-team-exercises,,,,,,,,,,,,,
halborn-smart-contract-assessment,,!offer:halborn-smart-contract-assessment,,,,,,,,,,,,,
halborn-web-application-penetration-testing,,!offer:halborn-web-application-penetration-testing,,,,,,,,,,,,,
ziion-linux-distro,,!offer:ziion-linux-distro,,,,,,,,,,,,,
