slug,provider,offer,actionButtons,chain,openSource,supportedPlatforms,custodial,mfa,msig,hardware,keyExport,native,evm,tendermint,tokensSupport,staking,price,support,audit,languages,starred,tag
airtm,AirTM,,"[""[Website](https://www.airtm.com/)""]",mainnet,FALSE,"[""Web"",""iOS"",""Android""]",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"[""XLM"",""Stellar-based assets""]",FALSE,Free,"[""Email"",""Helpdesk""]","[""Audit by Quantstamp, 2022""]","[""EN"",""ES"",""PT""]",FALSE,
atomic-wallet,,!offer:atomic-wallet,,mainnet,,,,,,,,,,,,,,,,,,
backpack,,!offer:backpack,,mainnet,,,,,,,,,,,,,,,,,,
beansapp,Beans App,,"[""[Website](https://www.beansapp.com/)""]",mainnet,FALSE,"[""iOS"",""Android""]",FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"[""XLM"",""Stellar-based assets""]",FALSE,Free,"[""Email"",""Discord""]",,"[""EN"",""ES""]",FALSE,
bitcoin-com-wallet,,!offer:bitcoin-com-wallet,,mainnet,,,,,,,,,,,,,,,,,,
bitgo-custody-wallet,,!offer:bitgo-custody-wallet,"[""[Website](https://www.bitgo.com/products/custody-wallets/)"",""[Docs](https://developers.bitgo.com/docs/stellar-tokens/)""]",mainnet,,,,,,,,,,,"[""XLM"",""Stellar-based assets""]",FALSE,,,,,,
bitgo-hot-wallet,,!offer:bitgo-hot-wallet,"[""[Website](https://www.bitgo.com/products/hot-wallets/)"",""[Docs](https://developers.bitgo.com/docs/stellar/)""]",mainnet,,,,,,,,,,,"[""XLM"",""Stellar-based assets""]",FALSE,,,,,,
blaze,Blaze,,"[""[Website](https://blaze.money/)""]",mainnet,FALSE,"[""iOS"",""Android""]",FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"[""XLM"",""Stellar-based assets""]",FALSE,Free,"[""Email"",""Discord""]",,"[""EN"",""ES""]",FALSE,
blockchain,Blockchain.com,,"[""[Website](https://www.blockchain.com/wallet)""]",mainnet,FALSE,"[""Web"",""iOS"",""Android""]",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"[""XLM"",""Stellar-based assets""]",FALSE,Free,"[""Email"",""Helpdesk""]","[""Audit by CertiK, 2023""]","[""EN"",""ES"",""FR""]",FALSE,
bravepay,BravePay,,"[""[Website](https://www.bravepay.net/)""]",mainnet,FALSE,"[""iOS"",""Android""]",FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"[""XLM"",""Stellar-based assets""]",FALSE,Free,"[""Email""]","[""Audit by Bank of Spain, 2024""]","[""EN"",""ES""]",FALSE,
cinko,CiNKO,,"[""[Website](https://cinko.io/)""]",mainnet,FALSE,"[""iOS"",""Android""]",FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"[""XLM"",""Stellar-based assets""]",FALSE,Free,"[""Email"",""Discord""]",,"[""EN"",""ES""]",FALSE,
clave-wallet,,!offer:clave-wallet,,mainnet,,,,,,,,,,,,,,,,,,
coin-wallet,,!offer:coin-wallet,,mainnet,,,,,,,,,,,,,,,,,,
coinme,Coinme,,"[""[Website](https://coinme.com/)""]",mainnet,FALSE,"[""iOS"",""Android""]",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"[""XLM"",""Stellar-based assets""]",FALSE,Free,"[""Email"",""Helpdesk""]",,"[""EN""]",FALSE,
coinomi-wallet,,!offer:coinomi-wallet,,mainnet,,,,,,,,,,,,,,,,,,
coinspace,Coin Space,,"[""[Website](https://coin.space/)""]",mainnet,FALSE,"[""Web"",""iOS"",""Android""]",FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"[""XLM"",""Stellar-based assets""]",FALSE,Free,"[""Email""]",,"[""EN""]",FALSE,
cwallet,,!offer:cwallet,,mainnet,,,,,,,,,,,,,,,,,,
fireblocks,Fireblocks,,"[""[Website](https://www.fireblocks.com/)""]",mainnet,FALSE,"[""Web""]",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"[""XLM"",""Stellar-based assets""]",FALSE,Free,"[""Email"",""Helpdesk""]","[""Audit by Trail of Bits, 2023""]","[""EN""]",FALSE,
fonbnk,Fonbnk,,"[""[Website](https://www.fonbnk.com/)""]",mainnet,FALSE,"[""iOS"",""Android""]",FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"[""XLM"",""Stellar-based assets""]",FALSE,Free,"[""Email"",""Discord""]",,"[""EN""]",FALSE,
freighter,Freighter,,"[""[Website](https://www.freighter.app/)""]",mainnet,FALSE,"[""Chrome"",""Firefox""]",FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"[""XLM"",""Stellar-based assets""]",FALSE,Free,"[""Discord"",""Email""]","[""Audit by Trail of Bits, 2024""]","[""EN""]",TRUE,
gem-wallet,,!offer:gem-wallet,,mainnet,,,,,,,,,,,,,,,,,,
hotwallet,Hot Wallet,,"[""[Website](https://hot-labs.org/wallet/)""]",mainnet,FALSE,"[""Web"",""iOS"",""Android""]",FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"[""XLM"",""Stellar-based assets""]",FALSE,Free,"[""Email"",""Discord""]",,"[""EN""]",FALSE,
kryptogo-wallet,,!offer:kryptogo-wallet,,mainnet,,,,,,,,,,,,,,,,,,
ledger,,!offer:ledger,,mainnet,,,,,,,,,,,,,,,,,,
lobstr,LOBSTR,,"[""[Website](https://lobstr.co/)""]",mainnet,FALSE,"[""Web"",""iOS"",""Android""]",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"[""XLM"",""Stellar-based assets""]",FALSE,Free,"[""Email"",""Discord""]","[""Audit by Quantstamp, 2023""]","[""EN"",""ES"",""FR""]",TRUE,
math-wallet,,!offer:math-wallet,,mainnet,,,,,,,,,,,,,,,,,,
nufi-wallet,,!offer:nufi-wallet,,mainnet,,,,,,,,,,,,,,,,,,
ownbit,,!offer:ownbit,,mainnet,,,,,,,,,,,,,,,,,,
paypal,PayPal,,"[""[Website](https://www.paypal.com/us/digital-wallet/manage-money/crypto)""]",mainnet,FALSE,"[""Web"",""iOS"",""Android""]",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"[""XLM"",""Stellar-based assets""]",FALSE,Free,"[""Email"",""Helpdesk""]","[""Multiple audits by third parties""]","[""EN"",""ES"",""FR"",""DE""]",FALSE,
ronin-wallet,,!offer:ronin-wallet,,mainnet,,,,,,,,,,,,,,,,,,
saakuru-wallet,,!offer:saakuru-wallet,,mainnet,,,,,,,,,,,,,,,,,,
solarwallet,Solar Wallet,,"[""[Website](https://solarwallet.io/)""]",mainnet,FALSE,"[""Desktop"",""iOS"",""Android""]",FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,"[""XLM"",""Stellar-based assets""]",FALSE,Free,"[""Email""]","[""Audit by Hacken, 2024""]","[""EN""]",TRUE,
tangem,,!offer:tangem,,mainnet,,,,,,,,,,,,,,,,,,
trezor,,!offer:trezor,,mainnet,,,,,,,,,,,,,,,,,,
trustwallet,,!offer:trustwallet,,mainnet,,,,,,,,,,,,,,,,,,
uhuruwallet,Uhuru Wallet,,"[""[Website](https://www.uhuruwallet.co.za/)""]",mainnet,FALSE,"[""iOS"",""Android""]",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"[""XLM"",""Stellar-based assets""]",FALSE,Free,"[""Email""]",,"[""EN""]",FALSE,
walletverse,,!offer:walletverse,,mainnet,,,,,,,,,,,,,,,,,,
xbull,xBull Wallet,,"[""[Website](https://xbull.app/)""]",mainnet,TRUE,"[""Web"",""iOS"",""Android""]",FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"[""XLM"",""Stellar-based assets""]",FALSE,Free,"[""Email"",""Discord""]",,"[""EN""]",FALSE,
zypto,,!offer:zypto,,mainnet,,,,,,,,,,,,,,,,,,
