slug,provider,offer,actionButtons,openSource,supportedPlatforms,custodial,mfa,msig,hardware,keyExport,native,evm,tendermint,tokensSupport,staking,price,support,audit,languages,starred,tag
airgap,,!offer:airgap,,,,,,,,,,,,,,,,,,,
atomic-wallet,,!offer:atomic-wallet,,,,,,,,,,,,,,,,,,,
bitget-wallet,,!offer:bitget-wallet,,,,,,,,,,,,,,,,,,,
ellipal,,!offer:ellipal,,,,,,,,,,,,,,,,,,,
exodus,,!offer:exodus,,,,,,,,,,,,,,,,,,,
kukai,,!offer:kukai,,,,,,,,,,,,,,,,,,,
ledger,,!offer:ledger,"[""[Website](https://www.ledger.com/)""]",,,,,,,,,,,,,,,,,,
safepal,,!offer:safepal,,,,,,,,,,,,,,,,,,,
tangem,,!offer:tangem,,,,,,,,,,,,,,,,,,,
temple,,!offer:temple,,,,,,,,,,,,,,,,,,,
trustwallet,,!offer:trustwallet,"[""[Website](https://trustwallet.com/)""]",,,,,,,,,,,,,,,,,,
umami,,!offer:umami,,,,,,,,,,,,,,,,,,,
zengo,,!offer:zengo,,,,,,,,,,,,,,,,,,,
