slug,provider,offer,actionButtons,toolType,programmingLanguage,tag,description,planType,planName,price,trial,starred,dependencies,latestKnownVersion,latestKnownReleaseDate,maintainer,license
blueprint-func,,!offer:blueprint-func,,,,,,,,,,,,,,,
blueprint-tact,,!offer:blueprint-tact,,,,,,,,,,,,,,,
blueprint-tolk,,!offer:blueprint-tolk,,,,,,,,,,,,,,,
dfns-sdk-basic,,!offer:dfns-sdk-basic,,,,,,,,,,,,,,,
dfns-sdk-pro,,!offer:dfns-sdk-pro,,,,,,,,,,,,,,,
dfns-sdk-starter,,!offer:dfns-sdk-starter,,,,,,,,,,,,,,,
fift-lang,,!offer:fift-lang,,,,,,,,,,,,,,,
func-lang,,!offer:func-lang,,,,,,,,,,,,,,,
quicknode-sdk-accelerate,,!offer:quicknode-sdk-accelerate,,,,,,,,,,,,,,,
quicknode-sdk-build,,!offer:quicknode-sdk-build,,,,,,,,,,,,,,,
quicknode-sdk-business,,!offer:quicknode-sdk-business,,,,,,,,,,,,,,,
quicknode-sdk-scale,,!offer:quicknode-sdk-scale,,,,,,,,,,,,,,,
tact-lang,,!offer:tact-lang,,,,,,,,,,,,,,,
ton-connect-sdk,,!offer:ton-connect-sdk,,,,,,,,,,,,,,,
