slug,provider,offer,actionButtons,chain,dataSources,hasDashboard,availableApis,price,planName,planType,starred,tag
blockworks,,!offer:blockworks,"[""[Dashboard](https://blockworks.com/analytics/zcash)""]",mainnet,,,,,,,,
coinglass,,!offer:coinglass,"[""[Dashboard](https://www.coinglass.com/currencies/ZEC)""]",mainnet,,,,,,,,
cryptoquant-mainnet-advanced-full-archive,,!offer:cryptoquant-advanced-full-archive,"[""[Dashboard](https://cryptoquant.com/asset/zec/summary)""]",mainnet,,,,,,,,
cryptoquant-mainnet-advanced-recent-state,,!offer:cryptoquant-advanced-recent-state,"[""[Dashboard](https://cryptoquant.com/asset/zec/summary)""]",mainnet,,,,,,,,
cryptoquant-mainnet-basic-full-archive,,!offer:cryptoquant-basic-full-archive,"[""[Dashboard](https://cryptoquant.com/asset/zec/summary)""]",mainnet,,,,,,,,
cryptoquant-mainnet-basic-recent-state,,!offer:cryptoquant-basic-recent-state,"[""[Dashboard](https://cryptoquant.com/asset/zec/summary)""]",mainnet,,,,,,,,
cryptoquant-mainnet-enterprise-full-archive,,!offer:cryptoquant-enterprise-full-archive,"[""[Dashboard](https://cryptoquant.com/asset/zec/summary)""]",mainnet,,,,,,,,
cryptoquant-mainnet-enterprise-recent-state,,!offer:cryptoquant-enterprise-recent-state,"[""[Dashboard](https://cryptoquant.com/asset/zec/summary)""]",mainnet,,,,,,,,
cryptoquant-mainnet-premium-full-archive,,!offer:cryptoquant-premium-full-archive,"[""[Dashboard](https://cryptoquant.com/asset/zec/summary)""]",mainnet,,,,,,,,
cryptoquant-mainnet-premium-recent-state,,!offer:cryptoquant-premium-recent-state,"[""[Dashboard](https://cryptoquant.com/asset/zec/summary)""]",mainnet,,,,,,,,
cryptoquant-mainnet-professional-full-archive,,!offer:cryptoquant-professional-full-archive,"[""[Dashboard](https://cryptoquant.com/asset/zec/summary)""]",mainnet,,,,,,,,
cryptoquant-mainnet-professional-recent-state,,!offer:cryptoquant-professional-recent-state,"[""[Dashboard](https://cryptoquant.com/asset/zec/summary)""]",mainnet,,,,,,,,
defillama,,!offer:defillama,"[""[Dashboard](https://defillama.com/chain/zcash)""]",mainnet,,,,,,,,
glassnode,,!offer:glassnode,"[""[Dashboard](https://studio.glassnode.com/dashboards/asset-overview?a=ZEC)""]",mainnet,,,,,,,,
messari,,!offer:messari,"[""[Dashboard](https://messari.io/project/zcash)""]",mainnet,,,,,,,,
