slug,provider,offer,actionButtons,chain,technology,monitoringAndAnalytics,additionalFeatures,starred,availableApis,sdk,searchCapabilities,smartContractsVerifications,fullHistory,pricing,tag
3xpl,,!offer:3xpl,"[""[Explore](https://3xpl.com/zcash)""]",mainnet,,,,,,,,,,,
bitquery,,!offer:bitquery,"[""[Explore](https://explorer.bitquery.io/zcash)""]",mainnet,,,,,,,,,,,
blockchair,,!offer:blockchair,,mainnet,,,,,,,,,,,
blockexplorer-one-mainnet,,!offer:blockexplorer-one,"[""[Explore](https://blockexplorer.one/zcash/mainnet)""]",mainnet,,,,,,,,,,,
blockexplorer-one-testnet,,!offer:blockexplorer-one,"[""[Explore](https://blockexplorer.one/zcash/testnet)""]",testnet,,,,,,,,,,,
routescan-advanced-mainnet,Routescan,!offer:routescan-advanced,"[""[Explore](https://routescan.io/)""]",mainnet,,,,,,,,,,,
routescan-advanced-testnet,Routescan,!offer:routescan-advanced,"[""[Explore](https://routescan.io/)""]",tesnet,,,,,,,,,,,
routescan-free-mainnet,Routescan,!offer:routescan-free,"[""[Explore](https://routescan.io/)""]",mainnet,,,,,,,,,,,
routescan-free-testnet,Routescan,!offer:routescan-free,"[""[Explore](https://routescan.io/)""]",testnet,,,,,,,,,,,
routescan-pro-plus-mainnet,Routescan,!offer:routescan-pro-plus,"[""[Explore](https://routescan.io/)""]",mainnet,,,,,,,,,,,
routescan-pro-plus-testnet,Routescan,!offer:routescan-pro-plus,"[""[Explore](https://routescan.io/)""]",testnet,,,,,,,,,,,
routescan-professional-mainnet,Routescan,!offer:routescan-professional,"[""[Explore](https://routescan.io/)""]",mainnet,,,,,,,,,,,
routescan-professional-testnet,Routescan,!offer:routescan-professional,"[""[Explore](https://routescan.io/)""]",testnet,,,,,,,,,,,
routescan-standard-mainnet,Routescan,!offer:routescan-standard,"[""[Explore](https://routescan.io/)""]",mainnet,,,,,,,,,,,
routescan-standard-testnet,Routescan,!offer:routescan-standard,"[""[Explore](https://routescan.io/)""]",testnet,,,,,,,,,,,
tokenview,,!offer:tokenview,,mainnet,,,,,,,,,,,
