slug,provider,toolType,tag,price,description,starred,actionButtons
aptos-sdk,Aptos,SDK,"[""Go"","".NET"",""Python"",""Unity"",""TypeScript"",""C++"",""Rust""]",$0,"Official SDKs like TypeScript, Python, .NET, Rust, Unity, C++ and Go are used for building, testing, and debugging applications on Aptos",FALSE,"[""[Docs](https://aptos.dev/build/sdks)""]"
aptos-cli,Aptos,CLI,"[""Test"",""Compile"",""Install"",""Setup""]",$0,The Aptos CLI is a tool to compile and test Move contracts. It can also quickly play with Aptos features on-chain,FALSE,"[""[Docs](https://aptos.dev/build/cli)""]"
aptos-wallet-adapter,Aptos,Wallet Adapter,"[""AIP-62"",""Modern Wallet Standard""]",$0,The Aptos Wallet Adapter provides a single interface for Aptos dapps and Aptos wallets to communicate with each other,FALSE,"[""[Docs](https://aptos.dev/build/sdks/wallet-adapter)""]"
reclaim-protocol,!provider:reclaim-protocol,,,,,,
chainlink-ccip,!provider:chainlink-ccip,,,,,,
crossmint-free,!provider:crossmint-free,,,,,,
crossmint-enterprise,!provider:crossmint-enterprise,,,,,,
ipfs,!provider:ipfs,,,,,,
moralis-free,!provider:moralis-free,,,,,,
moralis-starter,!provider:moralis-starter,,,,,,
moralis-standard,!provider:moralis-standard,,,,,,
moralis-business,!provider:moralis-business,,,,,,
moralis-enterprise,!provider:moralis-enterprise,,,,,,
portal-free,!provider:portal-free,,,,,,
portal-starter,!provider:portal-starter,,,,,,
portal-enterprise,!provider:portal-enterprise,,,,,,
turnkey-free,!provider:turnkey-free,,,,,,
turnkey-standard,!provider:turnkey-standard,,,,,,
turnkey-enterprise,!provider:turnkey-enterprise,,,,,,
4everland-free,!provider:4everland-free,,,,,,
4everland-pay-as-you-go,!provider:4everland-pay-as-you-go,,,,,,
