slug,provider,actionButtons,chain,technology,starred,availableApis,monitoringAndAnalytics,additionalFeatures,dataTypes,decentralizationModel,economicalSecurity,economicalSecurityNote,sdk,auditsPerformed
chainlink-one,!provider:chainlink,"[""[ARB/USD](https://data.chain.link/feeds/arbitrum/mainnet/arb-usd)"", ""[Docs](https://docs.arbitrum.io/for-devs/oracles/chainlink/)""]",one,Decentralized Oracle,,,,,,,,,,
chainlink-nova,!provider:chainlink,"[""[ARB/USD](https://data.chain.link/feeds/arbitrum/mainnet/arb-usd)"", ""[Docs](https://docs.arbitrum.io/for-devs/oracles/chainlink/)""]",nova,Decentralized Oracle,,,,,,,,,,
chainlink-sepolia,!provider:chainlink,"[""[ARB/USD](https://data.chain.link/feeds/arbitrum/mainnet/arb-usd)"", ""[Docs](https://docs.arbitrum.io/for-devs/oracles/chainlink/)""]",sepolia,Decentralized Oracle,,,,,,,,,,
api3-one,!provider:api3,"[""[Docs](https://docs.arbitrum.io/for-devs/oracles/api3)""]",one,Push & Pull Oracle,,,,,,,,,,
api3-nova,!provider:api3,"[""[Docs](https://docs.arbitrum.io/for-devs/oracles/api3)""]",nova,Push & Pull Oracle,,,,,,,,,,
api3-sepolia,!provider:api3,"[""[Docs](https://docs.arbitrum.io/for-devs/oracles/api3)""]",sepolia,Push & Pull Oracle,,,,,,,,,,
chronicle-one,!provider:chronicle,"[""[ARB/USD](https://chroniclelabs.org/dashboard/oracle/ARB/USD#blockchain=ARB1&contract=0x91Fa05bCab98aD3DdEaE33DF7213EE8642e3c66c&txn=0x5cc5ccaf619c222b880a6bb09258d47ddbef6ab4b0ae95dc4f27c99a8baa7e52)"", ""[Docs](https://docs.arbitrum.io/for-devs/oracles/chronicle)""]",one,Decentralized Oracle,,,,,,,,,,
chronicle-nova,!provider:chronicle,"[""[ARB/USD](https://chroniclelabs.org/dashboard/oracle/ARB/USD#blockchain=ARB1&contract=0x91Fa05bCab98aD3DdEaE33DF7213EE8642e3c66c&txn=0x5cc5ccaf619c222b880a6bb09258d47ddbef6ab4b0ae95dc4f27c99a8baa7e52)"", ""[Docs](https://docs.arbitrum.io/for-devs/oracles/chronicle)""]",nova,Decentralized Oracle,,,,,,,,,,
chronicle-sepolia,!provider:chronicle,"[""[ARB/USD](https://chroniclelabs.org/dashboard/oracle/ARB/USD#blockchain=ARB1&contract=0x91Fa05bCab98aD3DdEaE33DF7213EE8642e3c66c&txn=0x5cc5ccaf619c222b880a6bb09258d47ddbef6ab4b0ae95dc4f27c99a8baa7e52)"", ""[Docs](https://docs.arbitrum.io/for-devs/oracles/chronicle)""]",sepolia,Decentralized Oracle,,,,,,,,,,
ora-one,!provider:ora,"[""[Docs](https://docs.arbitrum.io/for-devs/oracles/ora/)""]",one,AI‑powered Oracle,,,,,,,,,,
ora-nova,!provider:ora,"[""[Docs](https://docs.arbitrum.io/for-devs/oracles/ora/)""]",nova,AI‑powered Oracle,,,,,,,,,,
ora-sepolia,!provider:ora,"[""[Docs](https://docs.arbitrum.io/for-devs/oracles/ora/)""]",sepolia,AI‑powered Oracle,,,,,,,,,,
pyth-one,!provider:pyth,"[""[ARB/USD](https://insights.pyth.network/price-feeds/Crypto.ARB%2FUSD)"", ""[Docs](https://docs.arbitrum.io/for-devs/oracles/pyth/)""]",one,Pull Oracle,,,,,,,,,,
pyth-nova,!provider:pyth,"[""[ARB/USD](https://insights.pyth.network/price-feeds/Crypto.ARB%2FUSD)"", ""[Docs](https://docs.arbitrum.io/for-devs/oracles/pyth/)""]",nova,Pull Oracle,,,,,,,,,,
pyth-sepolia,!provider:pyth,"[""[ARB/USD](https://insights.pyth.network/price-feeds/Crypto.ARB%2FUSD)"", ""[Docs](https://docs.arbitrum.io/for-devs/oracles/pyth/)""]",sepolia,Pull Oracle,,,,,,,,,,
quex-one,!provider:quex,"[""[Docs](https://docs.arbitrum.io/for-devs/oracles/quex/)""]",one,Decentralized Oracle,,,,,,,,,,
quex-nova,!provider:quex,"[""[Docs](https://docs.arbitrum.io/for-devs/oracles/quex/)""]",nova,Decentralized Oracle,,,,,,,,,,
quex-sepolia,!provider:quex,"[""[Docs](https://docs.arbitrum.io/for-devs/oracles/quex/)""]",sepolia,Decentralized Oracle,,,,,,,,,,
dia-one,!provider:dia,"[""[Docs](https://www.diadata.org/docs/guides/chain-specific-guide/arbitrum)""]",one,DIA,,,,,,,,,,
dia-sepolia,!provider:dia,"[""[Docs](https://www.diadata.org/docs/guides/chain-specific-guide/arbitrum)""]",sepolia,DIA,,,,,,,,,,
