slug,provider,openSource,supportedPlatforms,custodial,mfa,msig,hardware,keyExport,native,evm,tendermint,tokensSupport,staking,price,support,audit,languages,starred,actionButtons
metamask,!provider:metamask,,,,,,,,,,,,,,,,,,
bifrost,!provider:bifrost,,,,,,,,,,,,,,,,,,
ledger,!provider:ledger,,,,,,,,,,,,,,,,,,
solidifi,!provider:solidifi,,,,,,,,,,,,,,,,,,
oxenflow,!provider:oxenflow,,,,,,,,,,,,,,,,,,
safepal,!provider:safepal,,,,,,,,,,,,,,,,,,
tokenpocket,!provider:tokenpocket,,,,,,,,,,,,,,,,,,
coolwallet,!provider:coolwallet,,,,,,,,,,,,,,,,,,
dcent,!provider:dcent,,,,,,,,,,,,,,,,,,
rabby,!provider:rabby,,,,,,,,,,,,,,,,,,
trustwallet,!provider:trustwallet,,,,,,,,,,,,,,,,,,
zerion,!provider:zerion,,,,,,,,,,,,,,,,,,
phantom,!provider:phantom,,,,,,,,,,,,,,,,,,
novawallet,!provider:novawallet,,,,,,,,,,,,,,,,,,
subwallet,!provider:subwallet,,,,,,,,,,,,,,,,,,
talisman,!provider:talisman,,,,,,,,,,,,,,,,,,
fearless,!provider:fearless,,,,,,,,,,,,,,,,,,
polkawallet,!provider:polkawallet,,,,,,,,,,,,,,,,,,
kraken wallet,Kraken Wallet,TRUE,"[""iOS"",""Android""]",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,"[""ERC-20"",""SPL""]",FALSE,$0 ,"[""email""]","[""not availale""]","[""EN"",""FR"",""ES"",""DE"",""ZH"",""NL"", ""IT"", ""PL"", ""PT""]",TRUE,"[""[Github](https://github.com/krakenfx/wallet)""]"
backpack,Backpack,FALSE,"[""Browser Extension"",""iOS"",""Android""]",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,"[""ERC-20"",""SPL"", ""ERC-721""]",TRUE, $0.00 ,"[""email"",""discord"", ""chatbot""]","[""not availale""]","[""EN""]",FALSE,"[""[Website](https://backpack.exchange/wallet)""]"
stackup,Stackup,FALSE,"[""Browser Extension"",""iOS"",""Android""]",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,"[""EIP-4337""]",FALSE, $0.00 ,"[""email""]","[""not availale""]","[""EN""]",TRUE,"[""[Doc](https://docs.stackup.fi/docs/stackup-essentials-guide)""]"
clear evm wallet,Clear EVM Wallet,TRUE,"[""Browser Extension""]",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,"[""ERC-20"", ""ERC-721"", ""ERC-1155""]",FALSE, $0.00 ,"[""discord"", ""x""]","[""not availale""]","[""EN""]",FALSE,"[""[DOC](https://clear-wallet.flashsoft.eu/)""]"
dapp pocket,!provider:dapp pocket,,,,,,,,,,,,,,,,,,
ronin wallet,!provider:ronin wallet,,,,,,,,,,,,,,,,,,
kryptogowallet,!provider:kryptogowallet,,,,,,,,,,,,,,,,,,
sender,Sender,TRUE,"[""Browser Extension"",""iOS"",""Android""]",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,"[""ERC-20""]",TRUE, $0.00 ,"[""email"",""telegram"",""discord""]","[""audit by third parties""]","[""EN""]",FALSE,"[""[Website](https://docs.senderwallet.io/)""]"
kumawallet,Kumawallet,TRUE,"[""Browser Extension"",""iOS"",""Android""]",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,"[""ERC-20"",""ERC-721"",""ERC-1155"",""ERC-7579"", ""XC-20""]",TRUE, $0.00 ,"[""x"",""telegram"",""discord""]","[""open to anyone""]","[""EN"", ""ES"", ""IT"", ""JA""]",FALSE,"[""[Website](https://kumawallet.io/)""]"
ultimate,!provider:ultimate,,,,,,,,,,,,,,,,,,
gemwallet,!provider:gemwallet,,,,,,,,,,,,,,,,,,
guardawallet,!provider:guardawallet,,,,,,,,,,,,,,,,,,
bitgetwallet,!provider:bitgetwallet,,,,,,,,,,,,,,,,,,
saakuruwallet,!provider:saakuruwallet,,,,,,,,,,,,,,,,,,
nufiwallet,!provider:nufiwallet,,,,,,,,,,,,,,,,,,
coinwallet,!provider:coinwallet,,,,,,,,,,,,,,,,,,
clavewallet,!provider:clavewallet,,,,,,,,,,,,,,,,,,
walletverse,!provider:walletverse,,,,,,,,,,,,,,,,,,
ironwallet,!provider:ironwallet,,,,,,,,,,,,,,,,,,
