slug,provider,chain,technology,openSource,support,starred,availableApis,monitoringAndAnalytics,additionalFeatures,assetTypes,txSpeedSla,throughputSla,price,economicalSecurity,economicalSecurityNote,auditsPerformed,decentralizationModel,sdk,actionButtons,supportedChains
hyperlane-mainnet,!provider:hyperlane,mainnet,,,,,,,,,,,,,,,,,"[""[Bridge](https://hyperlane.xyz)"", ""[Docs](https://docs.hyperlane.xyz)""]",
superbridge-mainnet,!provider:superbridge,mainnet,,,,,,,,,,,,,,,,,"[""[Bridge](https://superbridge.app)"", ""[Docs](https://docs.superbridge.app)""]",
garden-mainnet,!provider:garden,mainnet,,,,,,,,,,,,,,,,,"[""[Bridge](https://garden.finance)"", ""[Docs](https://docs.garden.finance)""]",
across-mainnet,!provider:across,mainnet,,,,,,,,,,,,,,,,,"[""[Bridge](https://across.to)"", ""[Docs](https://docs.across.to)""]",
hop-mainnet,!provider:hop,mainnet,,,,,,,,,,,,,,,,,,
synapse-mainnet,!provider:synapse,mainnet,,,,,,,,,,,,,,,,,,
stargate-mainnet,!provider:stargate,mainnet,,,,,,,,,,,,,,,,,"[""[Bridge](https://stargate.finance/transfer)"", ""[Docs](https://docs.stargate.finance)""]",
celer-mainnet,!provider:celer,mainnet,,,,,,,,,,,,,,,,,,
wormhole-mainnet,!provider:wormhole,mainnet,,,,,,,,,,,,,,,,,,
axelar-mainnet,!provider:axelar,mainnet,,,,,,,,,,,,,,,,,,
orbiter-mainnet,!provider:orbiter,mainnet,,,,,,,,,,,,,,,,,"[""[Bridge](https://www.orbiter.finance)"", ""[Docs](https://docs.orbiter.finance)""]",
routerprotocol-mainnet,!provider:routerprotocol,mainnet,,,,,,,,,,,,,,,,,"[""[Bridge](https://routernitro.com/swap)"", ""[Docs](https://docs.routerprotocol.com)""]",
chainlink-bridge-mainnet,!provider:chainlink-bridge,mainnet,,,,,,,,,,,,,,,,,,
chainport-mainnet,!provider:chainport,mainnet,,,,,,,,,,,,,,,,,"[""[Bridge](https://www.chainport.io)"", ""[Docs](https://docs.chainport.io)""]",
symbiosis-mainnet,!provider:symbiosis,mainnet,,,,,,,,,,,,,,,,,"[""[Bridge](https://symbiosis.finance/bridge-arbitrum-one)"", ""[Docs](https://docs.symbiosis.finance)""]",
smolrefuel-mainnet,!provider:smolrefuel,mainnet,,,,,,,,,,,,,,,,,,
valuerouter-mainnet,!provider:valuerouter,mainnet,,,,,,,,,,,,,,,,,"[""[Bridge](https://app.valuerouter.com)"", ""[Docs](https://docs.valuerouter.com)""]",
veda-mainnet,!provider:veda,mainnet,,,,,,,,,,,,,,,,,,
crosscurve-mainnet,!provider:crosscurve,mainnet,,,,,,,,,,,,,,,,,"[""[Bridge](https://crosscurve.fi)"", ""[Docs](https://docs.crosscurve.fi)""]",
messina-mainnet,!provider:messina,mainnet,,,,,,,,,,,,,,,,,,
universalx-mainnet,!provider:universalx,mainnet,,,,,,,,,,,,,,,,,,
ecoportal-mainnet,!provider:ecoportal,mainnet,,,,,,,,,,,,,,,,,"[""[Bridge](https://portal.eco.com)"", ""[Docs](https://docs.eco.com)""]",
cometprotocol-mainnet,!provider:cometprotocol,mainnet,,,,,,,,,,,,,,,,,,
hyperlane-testnet,!provider:hyperlane,testnet,,,,,,,,,,,,,,,,,"[""[Bridge](https://hyperlane.xyz)"", ""[Docs](https://docs.hyperlane.xyz)""]",
superbridge-testnet,!provider:superbridge,testnet,,,,,,,,,,,,,,,,,"[""[Bridge](https://superbridge.app)"", ""[Docs](https://docs.superbridge.app)""]",
garden-testnet,!provider:garden,testnet,,,,,,,,,,,,,,,,,"[""[Bridge](https://garden.finance)"", ""[Docs](https://docs.garden.finance)""]",
across-testnet,!provider:across,testnet,,,,,,,,,,,,,,,,,"[""[Bridge](https://across.to)"", ""[Docs](https://docs.across.to)""]",
hop-testnet,!provider:hop,testnet,,,,,,,,,,,,,,,,,,
wormhole-testnet,!provider:wormhole,testnet,,,,,,,,,,,,,,,,,,
orbiter-testnet,!provider:orbiter,testnet,,,,,,,,,,,,,,,,,"[""[Bridge](https://www.orbiter.finance)"", ""[Docs](https://docs.orbiter.finance)""]",
chainlink-bridge-testnet,!provider:chainlink-bridge,testnet,,,,,,,,,,,,,,,,,,
