slug,provider,plan,nodeType,chain,accessPrice,queryPrice,uptimeSla,limitations,monitoringAndAnalytics,actionButtons,regions,availableApis,starred,trial,bandwidthSla,blocksBehindSla,securityImprovements,verifiedUptime,verifiedLatency,verifiedBlocksBehindAvg,address
0xrpc-io-free-recent-state-mainnet,0xrpc.io,Free,Recent-State,mainnet,$0,$0,Best-effort,,,"[""[Docs](https://0xrpc.github.io/)""]",,,FALSE,FALSE,,,,,,,
1rpc-io-free-recent-state-mainnet,1rpc.io,Free,Recent-State,mainnet,$0,$0,Best-effort,,,"[""[Buy](https://www.1rpc.io/#pricing)"", ""[Docs](https://docs.1rpc.io/)""]",,,FALSE,FALSE,,,,,,,
1rpc-io-pay-as-you-go-recent-state-mainnet,1rpc.io,Pay-as-you-go,Recent-State,mainnet,"$9.90-$29.90 a month, yearly 15% discount",$0,99.90%,,,"[""[Buy](https://www.1rpc.io/#pricing)"", ""[Docs](https://docs.1rpc.io/)""]",,,FALSE,FALSE,,,,,,,
1rpc-io-free-recent-state-testnet,1rpc.io,Free,Recent-State,testnet,$0,$0,Best-effort,,,"[""[Buy](https://www.1rpc.io/#pricing)"", ""[Docs](https://docs.1rpc.io/)""]",,,FALSE,FALSE,,,,,,,
1rpc-io-pay-as-you-go-recent-state-testnet,1rpc.io,Pay-as-you-go,Recent-State,testnet,"$9.90-$29.90 a month, yearly 15% discount",$0,99.90%,,,"[""[Buy](https://www.1rpc.io/#pricing)"", ""[Docs](https://docs.1rpc.io/)""]",,,FALSE,FALSE,,,,,,,
alchemy-free-recent-state-mainnet,!provider:alchemy-free-recent-state,,,mainnet,,,,,,"[""[Website](https://www.alchemy.com/rpc/base)"", ""[Docs](https://www.alchemy.com/docs/reference/base-api-quickstart)""]",,,,,,,,,,,
alchemy-pay-as-you-go-recent-state-mainnet,!provider:alchemy-pay-as-you-go-recent-state,,,mainnet,,,,,,"[""[Buy](https://www.alchemy.com/pricing)"", ""[Docs](https://www.alchemy.com/docs/reference/base-api-quickstart)""]",,,,,,,,,,,
alchemy-enterprise-recent-state-mainnet,!provider:alchemy-enterprise-recent-state,,,mainnet,,,,,,"[""[Contact](https://www.alchemy.com/contact-sales)"", ""[Docs](https://www.alchemy.com/docs/reference/base-api-quickstart)""]",,,,,,,,,,,
alchemy-free-recent-state-testnet,!provider:alchemy-free-recent-state,,,testnet,,,,,,"[""[Website](https://www.alchemy.com/rpc/base-sepolia)"", ""[Docs](https://www.alchemy.com/docs/choosing-a-web3-network#base-sepolia-testnet)""]",,,,,,,,,,,
alchemy-pay-as-you-go-recent-state-testnet,!provider:alchemy-pay-as-you-go-recent-state,,,testnet,,,,,,"[""[Buy](https://www.alchemy.com/pricing)"", ""[Docs](https://www.alchemy.com/docs/choosing-a-web3-network#base-sepolia-testnet)""]",,,,,,,,,,,
alchemy-enterprise-recent-state-testnet,!provider:alchemy-enterprise-recent-state,,,testnet,,,,,,"[""[Contact](https://www.alchemy.com/contact-sales)"", ""[Docs](https://www.alchemy.com/docs/choosing-a-web3-network#base-sepolia-testnet)""]",,,,,,,,,,,
tatum-io-free-recent-state-mainnet,tatum.io,Free,Recent-State,mainnet,$0,$0,Best-effort,"[""2 API Keys"", ""100 K Lifetime Credits"", ""3 RPS"", ""5 Subscriptions""]","[""Community support"", ""Debugging Tools""]","[""[Buy](https://tatum.io/pricing)"", ""[Docs](https://tatum.io/chain/base)""]",,,FALSE,FALSE,,,,,,,
tatum-io-pay-as-you-go-recent-state-mainnet,tatum.io,Pay-as-you-go,Recent-State,mainnet,"$49 a month, yearly 40% discount",$0,Best-effort,"[""4M Credits per Month"", ""200 RPS"", ""200K Subscriptions""]","[""Advanced analytics""]","[""[Buy](https://tatum.io/pricing)"", ""[Docs](https://tatum.io/chain/base)""]",,,FALSE,FALSE,,,,,,,
tatum-io-enterprise-recent-state-mainnet,tatum.io,Enterprise,Recent-State,mainnet,Custom,$0,,,,"[""[Buy](https://tatum.io/pricing)"", ""[Docs](https://tatum.io/chain/base)""]",,,FALSE,FALSE,,,,,,,
nodies-app-free-recent-state-mainnet,nodies.app,Free,Recent-State,mainnet,$0,$0,Best-effort,"[""4M Calls/month"", ""low rate-limit""]",,"[""[Buy](https://www.nodies.app/pricing)"", ""[Docs](https://docs.nodies.app/)""]",,,FALSE,FALSE,,,,,,,
nodies-app-pay-as-you-go-recent-state-mainnet,nodies.app,Pay-as-you-go,Recent-State,mainnet,$50-200 a month,$0.00,Best-effort,"[""10M-50M Calls/month"", ""higher rate limit""]",,"[""[Buy](https://www.nodies.app/pricing)"", ""[Docs](https://docs.nodies.app/)""]",,,FALSE,FALSE,,,,,,,
nodies-app-enterprise-recent-state-mainnet,nodies.app,Enterprise,Recent-State,mainnet,Custom,Flexible,,,,"[""[Buy](https://www.nodies.app/pricing)"", ""[Docs](https://docs.nodies.app/)""]",,,FALSE,FALSE,,,,,,,
publicnode-com-free-recent-state-mainnet,publicnode.com,Free,Recent-State,mainnet,$0,$0,Best-effort,,,"[""[Docs](https://base.publicnode.com/)""]",,,FALSE,FALSE,,,,,,,
onfinality-io-free-archive-mainnet,onfinality.io,Free,Archive,mainnet,$0,$0,Best-effort,,,"[""[Buy](https://onfinality.io/pricing)"", ""[Docs](https://onfinality.io/networks/base)""]","[""Hong Kong"", ""France"", ""N.Virginia""]",,FALSE,FALSE,,,,,,,
onfinality-io-pay-as-you-go-archive-mainnet,onfinality.io,Pay-as-you-go,Archive,mainnet,$49-249 a month,$0,Best-effort,"[""higher rate limits""]",,"[""[Buy](https://onfinality.io/pricing)"", ""[Docs](https://onfinality.io/networks/base)""]","[""Hong Kong"", ""France"", ""N.Virginia""]",,FALSE,FALSE,,,,,,,
onfinality-io-enterprise-archive-mainnet,onfinality.io,Enterprise,Archive,mainnet,Custom,Flexible,,,,"[""[Buy](https://onfinality.io/pricing)"", ""[Docs](https://onfinality.io/networks/base)""]","[""Hong Kong"", ""France"", ""N.Virginia""]",,FALSE,FALSE,,,,,,,
tenderly-co-free-recent-state-mainnet,tenderly.co,Free,Recent-State,mainnet,$0,$0,Best-effort,"[""120K sims/mo via API"", ""1.25-25M Calls/month"", ""0.5-10 RPS""]",,"[""[Buy](https://tenderly.co/pricing#compare)"", ""[Docs](https://docs.tenderly.co/)""]","[""EU West (Frankfurt, Germany)""]",,FALSE,FALSE,,,,,,,
tenderly-co-pay-as-you-go-recent-state-mainnet,tenderly.co,Pay-as-you-go,Recent-State,mainnet,"$50-500 a month, yearly 10% discount",$0,Best-effort,"[""160K-300K sims/mo via API"", ""1.75-350M Calls/month"", ""1-300 RPS""]",,"[""[Buy](https://tenderly.co/pricing#compare)"", ""[Docs](https://docs.tenderly.co/)""]","[""EU West (Frankfurt, Germany)""]",,FALSE,FALSE,,,,,,,
tenderly-co-enterprise-recent-state-mainnet,tenderly.co,Enterprise,Recent-State,mainnet,Custom,Flexible,,,,"[""[Buy](https://tenderly.co/pricing#compare)"", ""[Docs](https://docs.tenderly.co/)""]","[""EU West (Frankfurt, Germany)""]",,FALSE,FALSE,,,,,,,
therpc-io-free-recent-state-mainnet,therpc.io,Free,Recent-State,mainnet,$0,$0,95-97% uptime SLA,"[""5-15 RPS""]",,,,,FALSE,FALSE,,,,,,,
therpc-io-pay-as-you-go-recent-state-mainnet,therpc.io,Pay-as-you-go,Recent-State,mainnet,$0,$0.49 per 1M CU,99.99% uptime SLA,"[""500 RPS""]",,,,,FALSE,FALSE,,,,,,,
therpc-io-enterprise-recent-state-mainnet,therpc.io,Enterprise,Recent-State,mainnet,Custom,Flexible,99.99% uptime SLA,,,,,,FALSE,FALSE,,,,,,,
base-org-free-recent-state-mainnet,base.org,Free,Recent-State,mainnet,$0,$0,Best-effort,"[""Rate-limited""]",,,,,FALSE,FALSE,,,,,,,
tatum-io-free-recent-state-testnet,tatum.io,Free,Recent-State,testnet,$0,$0,Best-effort,"[""2 API Keys"", ""100 K Lifetime Credits"", ""3 RPS"", ""5 Subscriptions""]","[""Community support"", ""Debugging Tools""]","[""[Buy](https://tatum.io/pricing)"", ""[Docs](https://tatum.io/chain/base)""]",,,FALSE,FALSE,,,,,,,
tatum-io-pay-as-you-go-recent-state-testnet,tatum.io,Pay-as-you-go,Recent-State,testnet,"$49 a month, yearly 40% discount",$0,Best-effort,"[""4M Credits per Month"", ""200 RPS"", ""200K Subscriptions""]","[""Advanced analytics""]","[""[Buy](https://tatum.io/pricing)"", ""[Docs](https://tatum.io/chain/base)""]",,,FALSE,FALSE,,,,,,,
tatum-io-enterprise-recent-state-testnet,tatum.io,Enterprise,Recent-State,testnet,Custom,$0,,,,"[""[Buy](https://tatum.io/pricing)"", ""[Docs](https://tatum.io/chain/base)""]",,,FALSE,FALSE,,,,,,,
nodies-app-free-recent-state-testnet,nodies.app,Free,Recent-State,testnet,$0,$0,Best-effort,"[""4M Calls/month"", ""low rate-limit""]",,"[""[Buy](https://www.nodies.app/pricing)"", ""[Docs](https://docs.nodies.app/)""]",,,FALSE,FALSE,,,,,,,
nodies-app-pay-as-you-go-recent-state-testnet,nodies.app,Pay-as-you-go,Recent-State,testnet,$50-200 a month,$0.00,Best-effort,"[""10M-50M Calls/month"", ""higher rate limit""]",,"[""[Buy](https://www.nodies.app/pricing)"", ""[Docs](https://docs.nodies.app/)""]",,,FALSE,FALSE,,,,,,,
nodies-app-enterprise-recent-state-testnet,nodies.app,Enterprise,Recent-State,testnet,Custom,Flexible,,,,"[""[Buy](https://www.nodies.app/pricing)"", ""[Docs](https://docs.nodies.app/)""]",,,FALSE,FALSE,,,,,,,
publicnode-com-free-recent-state-testnet,publicnode.com,Free,Recent-State,testnet,$0,$0,Best-effort,,,"[""[Docs](https://base.publicnode.com/)""]",,,FALSE,FALSE,,,,,,,
onfinality-io-free-archive-testnet,onfinality.io,Free,Archive,testnet,$0,$0,Best-effort,,,"[""[Buy](https://onfinality.io/pricing)"", ""[Docs](https://onfinality.io/networks/base)""]","[""Hong Kong"", ""France"", ""N.Virginia""]",,FALSE,FALSE,,,,,,,
onfinality-io-pay-as-you-go-archive-testnet,onfinality.io,Pay-as-you-go,Archive,testnet,$49-249 a month,$0,Best-effort,"[""higher rate limits""]",,"[""[Buy](https://onfinality.io/pricing)"", ""[Docs](https://onfinality.io/networks/base)""]","[""Hong Kong"", ""France"", ""N.Virginia""]",,FALSE,FALSE,,,,,,,
