slug,provider,actionButtons,dataSources,hasDashboard,availableApis,price,planName,planType,starred
arkham,!provider:arkham,,,,,,,,
blockworks,!provider:blockworks,,,,,,,,
cryptoquant,!provider:cryptoquant,,,,,,,,
dappradar,!provider:dappradar,,,,,,,,
defillama,!provider:defillama,,,,,,,,
dexscreener,!provider:dexscreener,,,,,,,,
dune,!provider:dune,,,,,,,,
glassnode,!provider:glassnode,,,,,,,,
messari,!provider:messari,,,,,,,,
nansen,!provider:nansen,,,,,,,,
tokenterminal,!provider:tokenterminal,,,,,,,,
footprint-analytics,!provider:footprint-analytics,,,,,,,,
bubblemaps,!provider:bubblemaps,,,,,,,,
coinglass,!provider:coinglass,,,,,,,,
artemis,!provider:artemis,,,,,,,,
zapper,!provider:zapper,,,,,,,,
bscscan-analytics,BscScan,"[""[Dashboard](https://bscscan.com/charts)""]","[""Transactions"",""Gas"",""Accounts"",""Network""]",TRUE,"[""REST API""]",Free,,Free,TRUE
