slug,provider,actionButtons,planName,planType,historicalData,apiType,technology,chain,accessPrice,queryPrice,verifiedUptime,verifiedLatency,verifiedBlocksBehindAvg,uptimeSla,bandwidthSla,blocksBehindSla,supportSla,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,additionalFeatures,address
node-real-mainnet-free-full-archive,!provider:node-real-mainnet-free-full-archive,"[""[Website](https://nodereal.io/)"",""[Website](https://nodereal.io/pricing)""]",Free,Free,Archive,RPC,"mainnet",EVM JSON-RPC,$0,$0,NULL,NULL,NULL,99.80%,,,,FALSE,TRUE,,,,,,,
node-real-mainnet-growth-full-archive,!provider:node-real-mainnet-growth-full-archive,"[""[Website](https://nodereal.io/)"",""[Website](https://nodereal.io/pricing)""]",Growth,Growth,Archive,RPC,"mainnet",EVM JSON-RPC,$31/month,$0.062/1M CUs,NULL,NULL,NULL,99.80%,,,,FALSE,TRUE,,,,,,,
node-real-mainnet-team-full-archive,!provider:node-real-mainnet-team-full-archive,"[""[Website](https://nodereal.io/)"",""[Website](https://nodereal.io/pricing)""]",Team,Team,Archive,RPC,"mainnet",EVM JSON-RPC,$159/month,$0.0795/1M CUs,NULL,NULL,NULL,99.80%,,,,FALSE,TRUE,,,,,,,
node-real-mainnet-busniess-full-archive,!provider:node-real-mainnet-busniess-full-archive,"[""[Website](https://nodereal.io/)"",""[Website](https://nodereal.io/pricing)""]",Busniess,Busniess,Archive,RPC,"mainnet",EVM JSON-RPC,$399/month,$0.0798/1M CUs,NULL,NULL,NULL,99.80%,,,,FALSE,TRUE,,,,,,,
node-real-mainnet-semita-full-archive,!provider:node-real-mainnet-semita-full-archive,"[""[Website](https://nodereal.io/)"",""[Website](https://nodereal.io/pricing)""]",Semita,Semita,Archive,RPC,"mainnet",EVM JSON-RPC,Custom,Custom,NULL,NULL,NULL,99.99%,,,,FALSE,TRUE,,,,,,,
node-real-testnet-free-full-archive,!provider:node-real-testnet-free-full-archive,"[""[Website](https://nodereal.io/)"",""[Website](https://nodereal.io/pricing)""]",Free,Free,Archive,RPC,"testnet",EVM JSON-RPC,$0,$0,NULL,NULL,NULL,99.80%,,,,FALSE,TRUE,,,,,,,
node-real-testnet-growth-full-archive,!provider:node-real-testnet-growth-full-archive,"[""[Website](https://nodereal.io/)"",""[Website](https://nodereal.io/pricing)""]",Growth,Growth,Archive,RPC,"testnet",EVM JSON-RPC,$31/month,$0.062/1M CUs,NULL,NULL,NULL,99.80%,,,,FALSE,TRUE,,,,,,,
node-real-testnet-team-full-archive,!provider:node-real-testnet-team-full-archive,"[""[Website](https://nodereal.io/)"",""[Website](https://nodereal.io/pricing)""]",Team,Team,Archive,RPC,"testnet",EVM JSON-RPC,$159/month,$0.0795/1M CUs,NULL,NULL,NULL,99.80%,,,,FALSE,TRUE,,,,,,,
node-real-testnet-busniess-full-archive,!provider:node-real-testnet-busniess-full-archive,"[""[Website](https://nodereal.io/)"",""[Website](https://nodereal.io/pricing)""]",Busniess,Busniess,Archive,RPC,"testnet",EVM JSON-RPC,$399/month,$0.0798/1M CUs,NULL,NULL,NULL,99.80%,,,,FALSE,TRUE,,,,,,,
node-real-testnet-semita-full-archive,!provider:node-real-testnet-semita-full-archive,"[""[Website](https://nodereal.io/)"",""[Website](https://nodereal.io/pricing)""]",Semita,Semita,Archive,RPC,"testnet",EVM JSON-RPC,Custom,Custom,NULL,NULL,NULL,99.99%,,,,FALSE,TRUE,,,,,,,
