slug,provider,actionButtons,technology,txSpeedSla,throughputSla,openSource,support,starred,availableApis,monitoringAndAnalytics,additionalFeatures,assetTypes,price,economicalSecurity,economicalSecurityNote,auditsPerformed,decentralizationModel,sdk,supportedChains
across,!provider:across,,,,,,,,,,,,,,,,,
allbridge-core,!provider:allbridge-core,,,,,,,,,,,,,,,,,
asterizm,!provider:asterizm,,,,,,,,,,,,,,,,,
axelar,!provider:axelar,,,,,,,,,,,,,,,,,
celer,!provider:celer,,,,,,,,,,,,,,,,,
chainlink-bridge,!provider:chainlink-bridge,,,,,,,,,,,,,,,,,
chainport,!provider:chainport,,,,,,,,,,,,,,,,,
chainspot,!provider:chainspot,,,,,,,,,,,,,,,,,
connext,!provider:connext,,,,,,,,,,,,,,,,,
crosscurve,!provider:crosscurve,,,,,,,,,,,,,,,,,
debridge,!provider:debridge,,,,,,,,,,,,,,,,,
defiway-bridge,!provider:defiway-bridge,,,,,,,,,,,,,,,,,
garden,!provider:garden,,,,,,,,,,,,,,,,,
hashport,!provider:hashport,,,,,,,,,,,,,,,,,
hyperlane,!provider:hyperlane,,,,,,,,,,,,,,,,,
interport,!provider:interport,,,,,,,,,,,,,,,,,
jumper,!provider:jumper,,,,,,,,,,,,,,,,,
layerswap,!provider:layerswap,,,,,,,,,,,,,,,,,
layerzero,!provider:layerzero,,,,,,,,,,,,,,,,,
lifi,!provider:lifi,,,,,,,,,,,,,,,,,
mayan,!provider:mayan,,,,,,,,,,,,,,,,,
meson,!provider:meson,,,,,,,,,,,,,,,,,
messina,!provider:messina,,,,,,,,,,,,,,,,,
okutrade,!provider:okutrade,,,,,,,,,,,,,,,,,
orbiter,!provider:orbiter,,,,,,,,,,,,,,,,,
owlto,!provider:owlto,,,,,,,,,,,,,,,,,
pancakeswap-bridge,PancakeSwap Bridge,"[""[Bridge](https://bridge.pancakeswap.finance/)"",""[Docs](https://docs.pancakeswap.finance/)""]",Aggregator (LayerZero / Axelar / Celer),NULL,NULL,TRUE,"[""Discord"",""Telegram""]",FALSE,"[""Socket API"",""Bitquery""]",,"[""Native DEX integration"",""Cross-chain Swaps""]","[""ERC-20"",""BEP-20""]",0.25% trading fee + gas,TRUE,Secured by underlying bridge protocols (LayerZero / Axelar),"[""BlockSec"",""PeckShield""]",Decentralized,"[""PancakeSwap SDK""]","[""bnb chain"",""ethereum"",""arbitrum"",""base"",""aptos"",""polygon zkevm"",""zksync era"",""linea"",""opbnb""]"
polyhedra,!provider:polyhedra,,,,,,,,,,,,,,,,,
rango,!provider:rango,,,,,,,,,,,,,,,,,
relay,!provider:relay,,,,,,,,,,,,,,,,,
rhinofi,!provider:rhinofi,,,,,,,,,,,,,,,,,
routerprotocol,!provider:routerprotocol,,,,,,,,,,,,,,,,,
rubic,!provider:rubic,,,,,,,,,,,,,,,,,
safeswap,!provider:safeswap,,,,,,,,,,,,,,,,,
smolrefuel,!provider:smolrefuel,,,,,,,,,,,,,,,,,
squid,!provider:squid,,,,,,,,,,,,,,,,,
stargate,!provider:stargate,,,,,,,,,,,,,,,,,
superbridge,!provider:superbridge,,,,,,,,,,,,,,,,,
symbiosis,!provider:symbiosis,,,,,,,,,,,,,,,,,
synapse,!provider:synapse,,,,,,,,,,,,,,,,,
ton-bridge,!provider:ton-bridge,,,,,,,,,,,,,,,,,
transporter,!provider:transporter,,,,,,,,,,,,,,,,,
umbria,!provider:umbria,,,,,,,,,,,,,,,,,
universalx,!provider:universalx,,,,,,,,,,,,,,,,,
wanchain,!provider:wanchain,,,,,,,,,,,,,,,,,
wormhole,!provider:wormhole,,,,,,,,,,,,,,,,,
xyfinance,!provider:xyfinance,,,,,,,,,,,,,,,,,
zkbridge,!provider:zkbridge,,,,,,,,,,,,,,,,,
