slug,provider,chain,requiresLogin,hasCaptcha,requiredMainnetBalance,price,starred,actionButtons,additionalNotes,dripLimitAmount,dripLimitPeriod
chainlink-sepolia,!provider:chainlink-faucet,sepolia,,,,,,"[""[Open](https://faucets.chain.link/sepolia)"",""[Docs](https://blog.chain.link/sepolia-eth/)""]",,0.5,24
chainstack-sepolia,!provider:chainstack-faucet,sepolia,,,,,,"[""[Docs](https://faucet.chainstack.com/sepolia-testnet-faucet)""]",,0.5,24
getblock-sepolia,!provider:getblock-faucet,sepolia,,,,,,"[""[Open](https://getblock.io/faucet/)"",""[Docs](https://getblock.io/blog/free-eth-faucets-testnet-at-getblock/)""]",,0.1,24
alchemy-sepolia,!provider:alchemy-faucet,sepolia,,,,,,"[""[Docs](https://sepoliafaucet.com)""]",,0.1,72
tatum-sepolia,!provider:tatum-faucet,sepolia,,,,,,"[""[Docs](https://tatum.io/faucets/sepolia)""]",,0.002,24
quicknode-sepolia,!provider:quicknode-faucet,sepolia,,,,,,"[""[Docs](https://faucet.quicknode.com)""]",,0.2,12
ghost-sepolia,!provider:ghost-faucet,sepolia,,,,,,"[""[Docs](https://ghostchain.io/faucet/ethereum-sepolia/)""]",,0.01,24
infura-sepolia,!provider:infura-faucet,sepolia,,,,,,"[""[Docs](https://infura.io/faucet)""]",,0.5,24
nebulum-sepolia,!provider:nebulum-faucet,sepolia,,,,,,"[""[Docs](https://app.nebulum.one/sepolia_faucet)""]",,0.001,8
pk910-sepolia,!provider:pk910-faucet,sepolia,,,,,,"[""[Docs](https://sepolia-faucet.pk910.de)""]",,0.05,NULL
rockx-sepolia,!provider:rockx-faucet,sepolia,,,,,,"[""[Docs](https://access.rockx.com/faucet-sepolia)""]",,0,24
chainstack-hoodi,!provider:chainstack-faucet,hoodi,,,,,,"[""[Docs](https://faucet.chainstack.com/hoodi-testnet-faucet)""]",,0.5,24
quicknode-hoodi,!provider:quicknode-faucet,hoodi,,,,,,"[""[Docs](https://faucet.quicknode.com)""]",,1,6
tatum-hoodi,!provider:tatum-faucet,hoodi,,,,,,"[""[Docs](https://tatum.io/faucets/hoodi)""]",,0.002,24
google-cloud-sepolia,!provider:google-cloud-faucet,sepolia,,,,,,"[""[Docs](https://cloud.google.com/application/web3/faucet/ethereum/sepolia)""]",,0.05,24
automata-hoodi,!provider:automata-faucet,hoodi,,,,,,"[""[Docs](https://hoodifaucet.io)""]",,0.01,0.1
ghost-hoodi,!provider:ghost-faucet,hoodi,,,,,,"[""[Docs](https://ghostchain.io/faucet/ethereum-hoodi/)""]",,0.01,24
pk910-hoodi,!provider:pk910-faucet,hoodi,,,,,,"[""[Docs](https://hoodi-faucet.pk910.de)""]",,0.05,NULL
stakely-hoodi,!provider:stakely-faucet,hoodi,,,,,,"[""[Docs](https://stakely.io/faucet/ethereum-hoodi-testnet-eth)""]",,1,24
