slug,provider,chain,address,technology,plan,trial,accessPrice,queryPrice,starred,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,additionalFeatures,verifiedUptime,verifiedLatency,verifiedBlocksBehindAvg,actionButtons,uptimeSla,bandwidthSla,blocksBehindSla,supportSla
chain-love-mainnet-free,!provider:chain-love-free,mainnet,0x0fd8fd1dc8162148cb9413062fe6c6b144335dbf,,,,,,,,,,,,,,,,"[""[Buy](/graph)"",""[Docs](https://protofire-org.gitbook.io/proteus-shield-docs/blockchains/ethereum)""]",,,,
goldsky-mainnet-free,!provider:goldsky-free,mainnet,,,,,,,,,,,,,,,,,"[""[Website](https://goldsky.com/chains/ethereum)"",""[Docs](https://docs.goldsky.com/introduction)""]",,,,
goldsky-mainnet-pay-as-you-go,!provider:goldsky-pay-as-you-go,mainnet,,,,,,,,,,,,,,,,,"[""[Buy](https://goldsky.com/pricing)"",""[Docs](https://docs.goldsky.com/mirror/guides/token-transfers/stablecoin-addresses#ethereum)""]",,,,
goldsky-mainnet-enterprise,!provider:goldsky-enterprise,mainnet,,,,,,,,,,,,,,,,,"[""[Contact](https://goldsky.com/pricing)"",""[Docs](https://docs.goldsky.com/mirror/guides/token-transfers/stablecoin-addresses#ethereum)""]",,,,
goldsky-sepolia-free,!provider:goldsky-free,sepolia,,,,,,,,,,,,,,,,,"[""[Website](https://goldsky.com/chains/ethereum)"",""[Docs](https://docs.goldsky.com/introduction)""]",,,,
goldsky-sepolia-pay-as-you-go,!provider:goldsky-pay-as-you-go,sepolia,,,,,,,,,,,,,,,,,"[""[Buy](https://goldsky.com/pricing)"",""[Docs](https://docs.goldsky.com/mirror/guides/token-transfers/stablecoin-addresses#ethereum)""]",,,,
goldsky-sepolia-enterprise,!provider:goldsky-enterprise,sepolia,,,,,,,,,,,,,,,,,"[""[Contact](https://goldsky.com/pricing)"",""[Docs](https://docs.goldsky.com/mirror/guides/token-transfers/stablecoin-addresses#ethereum)""]",,,,
sqd-mainnet-free,!provider:sqd-free,mainnet,,,,,,,,,,,,,,,,,"[""[Website](https://www.sqd.ai/network)"",""[Docs](https://docs.sqd.ai/subsquid-network/reference/networks/#evm--ethereum-compatible)""]",,,,
sqd-mainnet-pay-as-you-go,!provider:sqd-pay-as-you-go,mainnet,,,,,,,,,,,,,,,,,"[""[Buy](https://docs.sqd.ai/cloud/pricing/)"",""[Docs](https://docs.sqd.ai/subsquid-network/reference/networks/#evm--ethereum-compatible)""]",,,,
sqd-sepolia-free,!provider:sqd-free,sepolia,,,,,,,,,,,,,,,,,"[""[Website](https://www.sqd.ai/network)"",""[Docs](https://docs.sqd.ai/subsquid-network/reference/networks/#evm--ethereum-compatible)""]",,,,
sqd-sepolia-pay-as-you-go,!provider:sqd-pay-as-you-go,sepolia,,,,,,,,,,,,,,,,,"[""[Buy](https://docs.sqd.ai/cloud/pricing/)"",""[Docs](https://docs.sqd.ai/subsquid-network/reference/networks/#evm--ethereum-compatible)""]",,,,
sqd-hoodi-free,!provider:sqd-free,hoodi,,,,,,,,,,,,,,,,,"[""[Website](https://www.sqd.ai/network)"",""[Docs](https://docs.sqd.ai/subsquid-network/reference/networks/#evm--ethereum-compatible)""]",,,,
sqd-hoodi-pay-as-you-go,!provider:sqd-pay-as-you-go,hoodi,,,,,,,,,,,,,,,,,"[""[Buy](https://docs.sqd.ai/cloud/pricing/)"",""[Docs](https://docs.sqd.ai/subsquid-network/reference/networks/#evm--ethereum-compatible)""]",,,,
subquery-mainnet-free,!provider:subquery-free,mainnet,,,,,,,,,,,,,,,,,"[""[Website](https://app.subquery.network/explorer/home)"",""[Docs](https://subquery.network/doc/indexer/quickstart/quickstart_chains/ethereum-gravatar.html)""]",,,,
subquery-mainnet-pay-as-you-go,!provider:subquery-pay-as-you-go,mainnet,,,,,,,,,,,,,,,,,"[""[Buy](https://subquery.network/doc/subquery_network/node_operators/rewards.html#pricing-strategy)"",""[Docs](https://subquery.network/doc/indexer/quickstart/quickstart_chains/ethereum-gravatar.html)""]",,,,
subquery-mainnet-enterprise,!provider:subquery-enterprise,mainnet,,,,,,,,,,,,,,,,,"[""[Contact](https://subquery.network/doc/subquery_network/node_operators/rewards.html#pricing-strategy)"",""[Docs](https://subquery.network/doc/indexer/quickstart/quickstart_chains/ethereum-gravatar.html)""]",,,,
subquery-sepolia-free,!provider:subquery-free,sepolia,,,,,,,,,,,,,,,,,"[""[Website](https://app.subquery.network/explorer/home)"",""[Docs](https://subquery.network/doc/indexer/quickstart/quickstart_chains/ethereum-gravatar.html)""]",,,,
subquery-sepolia-pay-as-you-go,!provider:subquery-pay-as-you-go,sepolia,,,,,,,,,,,,,,,,,"[""[Buy](https://subquery.network/doc/subquery_network/node_operators/rewards.html#pricing-strategy)"",""[Docs](https://subquery.network/doc/indexer/quickstart/quickstart_chains/ethereum-gravatar.html)""]",,,,
subquery-sepolia-enterprise,!provider:subquery-enterprise,sepolia,,,,,,,,,,,,,,,,,"[""[Contact](https://subquery.network/doc/subquery_network/node_operators/rewards.html#pricing-strategy)"",""[Docs](https://subquery.network/doc/indexer/quickstart/quickstart_chains/ethereum-gravatar.html)""]",,,,
