slug,provider,plan,nodeType,chain,accessPrice,queryPrice,uptimeSla,bandwidthSla,blocksBehindSla,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,verifiedUptime,verifiedLatency,verifiedBlocksBehindAvg,actionButtons,address
1rpc-mainnet-free,!provider:1rpc-free-recent-state,,,mainnet,,,,,,,,,,,,,,,,,
1rpc-mainnet-pay-as-you-go,!provider:1rpc-pay-as-you-go-recent-state,,,mainnet,,,,,,,,,,,,,,,,,
1rpc-sepolia-pay-as-you-go,!provider:1rpc-pay-as-you-go-recent-state,,,sepolia,,,,,,,,,,,,,,,,,
1rpc-hoodi-pay-as-you-go,!provider:1rpc-pay-as-you-go-recent-state,,,hoodi,,,,,,,,,,,,,,,,,
alchemy-mainnet-free,!provider:alchemy-free-recent-state,,,mainnet,,,,,,,,,,,,,,,,"[{""label"":""Register"",""url"":""https://www.alchemy.com/ethereum"",""type"":""external""},{""label"":""Docs"",""url"":""https://www.alchemy.com/docs/reference/ethereum-api-quickstart"",""type"":""external""}]",
alchemy-mainnet-pay-as-you-go,!provider:alchemy-pay-as-you-go-recent-state,,,mainnet,,,,,,,,,,,,,,,,"[{""label"":""Buy"",""url"":""https://www.alchemy.com/ethereum"",""type"":""external""},{""label"":""Docs"",""url"":""https://www.alchemy.com/docs/reference/ethereum-api-quickstart"",""type"":""external""}]",
alchemy-mainnet-enterprise,!provider:alchemy-enterprise-recent-state,,,mainnet,,,,,,,,,,,,,,,,"[{""label"":""Buy"",""url"":""https://www.alchemy.com/ethereum"",""type"":""external""},{""label"":""Docs"",""url"":""https://www.alchemy.com/docs/reference/ethereum-api-quickstart"",""type"":""external""}]",
alchemy-sepolia-free,!provider:alchemy-free-recent-state,,,sepolia,,,,,,,,,,,,,,,,"[{""label"":""Register"",""url"":""https://www.alchemy.com/ethereum"",""type"":""external""},{""label"":""Docs"",""url"":""https://www.alchemy.com/docs/reference/ethereum-api-quickstart"",""type"":""external""}]",
alchemy-sepolia-pay-as-you-go,!provider:alchemy-pay-as-you-go-recent-state,,,sepolia,,,,,,,,,,,,,,,,"[{""label"":""Buy"",""url"":""https://www.alchemy.com/ethereum"",""type"":""external""},{""label"":""Docs"",""url"":""https://www.alchemy.com/docs/reference/ethereum-api-quickstart"",""type"":""external""}]",
alchemy-sepolia-enterprise,!provider:alchemy-enterprise-recent-state,,,sepolia,,,,,,,,,,,,,,,,"[{""label"":""Buy"",""url"":""https://www.alchemy.com/ethereum"",""type"":""external""},{""label"":""Docs"",""url"":""https://www.alchemy.com/docs/reference/ethereum-api-quickstart"",""type"":""external""}]",
allthatnode-mainnet-free-archive,!provider:allthatnode-free-full-archive,,,mainnet,,,,,,,,,,,,,,,,,
allthatnode-mainnet-pay-as-you-go-archive,!provider:allthatnode-pay-as-you-go-full-archive,,,mainnet,,,,,,,,,,,,,,,,,
allthatnode-mainnet-enterprise-archive,!provider:allthatnode-enterprise-full-archive,,,mainnet,,,,,,,,,,,,,,,,,
allthatnode-sepolia-free-archive,!provider:allthatnode-free-full-archive,,,sepolia,,,,,,,,,,,,,,,,,
allthatnode-sepolia-pay-as-you-go-archive,!provider:allthatnode-pay-as-you-go-full-archive,,,sepolia,,,,,,,,,,,,,,,,,
allthatnode-sepolia-enterprise-archive,!provider:allthatnode-enterprise-full-archive,,,sepolia,,,,,,,,,,,,,,,,,
ankr-mainnet-free-archive,!provider:ankr-free-recent-state,,,mainnet,,,,,,,,,,,,,,,,"[{""label"":""Register"",""url"":""https://www.ankr.com/web3-api/chains-list/eth/"",""type"":""external""},{""label"":""Docs"",""url"":""https://www.ankr.com/docs/rpc-service/chains/chains-api/ethereum/"",""type"":""external""}]",
ankr-mainnet-pay-as-you-go-archive,!provider:ankr-pay-as-you-go-full-archive,,,mainnet,,,,,,,,,,,,,,,,"[{""label"":""Buy"",""url"":""https://www.ankr.com/web3-api/chains-list/eth/"",""type"":""external""},{""label"":""Docs"",""url"":""https://www.ankr.com/docs/rpc-service/chains/chains-api/ethereum/"",""type"":""external""}]",
ankr-mainnet-enterprise-archive,!provider:ankr-enterprise-recent-state,,,mainnet,,,,,,,,,,,,,,,,"[{""label"":""Buy"",""url"":""https://www.ankr.com/web3-api/chains-list/eth/"",""type"":""external""},{""label"":""Docs"",""url"":""https://www.ankr.com/docs/rpc-service/chains/chains-api/ethereum/"",""type"":""external""}]",
quicknode-mainnet-free,!provider:quicknode-free-recent-state,,,mainnet,,,,,,,,,,,,,,,,,
quicknode-mainnet-pay-as-you-go-archive,!provider:quicknode-pay-as-you-go-full-archive,,,mainnet,,,,,,,,,,,,,,,,,
quicknode-mainnet-enterprise-archive,!provider:quicknode-enterprise-full-archive,,,mainnet,,,,,,,,,,,,,,,,,
quicknode-sepolia-free,!provider:quicknode-free-recent-state,,,sepolia,,,,,,,,,,,,,,,,,
quicknode-sepolia-pay-as-you-go-archive,!provider:quicknode-pay-as-you-go-full-archive,,,sepolia,,,,,,,,,,,,,,,,,
quicknode-sepolia-enterprise-archive,!provider:quicknode-enterprise-full-archive,,,sepolia,,,,,,,,,,,,,,,,,
blast-mainnet-free-archive,!provider:blast-free-full-archive,,,mainnet,,,,,,,,,,,,,,,,"[{""label"":""Register"",""url"":""https://blastapi.io/chains/ethereum"",""type"":""external""},{""label"":""Docs"",""url"":""https://docs.blastapi.io/blast-documentation/apis-documentation/core-api/ethereum"",""type"":""external""}]",
blast-mainnet-pay-as-you-go-archive,!provider:blast-pay-as-you-go-full-archive,,,mainnet,,,,,,,,,,,,,,,,"[{""label"":""Buy"",""url"":""https://blastapi.io/chains/ethereum"",""type"":""external""},{""label"":""Docs"",""url"":""https://docs.blastapi.io/blast-documentation/apis-documentation/core-api/ethereum"",""type"":""external""}]",
blast-mainnet-enterprise-archive,!provider:blast-enterprise-full-archive,,,mainnet,,,,,,,,,,,,,,,,"[{""label"":""Buy"",""url"":""https://blastapi.io/chains/ethereum"",""type"":""external""},{""label"":""Docs"",""url"":""https://docs.blastapi.io/blast-documentation/apis-documentation/core-api/ethereum"",""type"":""external""}]",
blast-sepolia-free-archive,!provider:blast-free-full-archive,,,sepolia,,,,,,,,,,,,,,,,"[{""label"":""Register"",""url"":""https://blastapi.io/chains/ethereum"",""type"":""external""},{""label"":""Docs"",""url"":""https://docs.blastapi.io/blast-documentation/apis-documentation/core-api/ethereum"",""type"":""external""}]",
blast-sepolia-pay-as-you-go-archive,!provider:blast-pay-as-you-go-full-archive,,,sepolia,,,,,,,,,,,,,,,,"[{""label"":""Buy"",""url"":""https://blastapi.io/chains/ethereum"",""type"":""external""},{""label"":""Docs"",""url"":""https://docs.blastapi.io/blast-documentation/apis-documentation/core-api/ethereum"",""type"":""external""}]",
blast-sepolia-enterprise-archive,!provider:blast-enterprise-full-archive,,,sepolia,,,,,,,,,,,,,,,,"[{""label"":""Buy"",""url"":""https://blastapi.io/chains/ethereum"",""type"":""external""},{""label"":""Docs"",""url"":""https://docs.blastapi.io/blast-documentation/apis-documentation/core-api/ethereum"",""type"":""external""}]",
blockpi-mainnet-free-archive,!provider:blockpi-free-full-archive,,,mainnet,,,,,,,,,,,,,,,,,
blockpi-mainnet-pay-as-you-go-archive,!provider:blockpi-pay-as-you-go-full-archive,,,mainnet,,,,,,,,,,,,,,,,,
blockpi-mainnet-enterprise-archive,!provider:blockpi-enterprise-full-archive,,,mainnet,,,,,,,,,,,,,,,,,
