slug,provider,actionButtons,toolType,tag,price,planName,planType,description,starred
dapprovals-enterprise,!provider:dapprovals-enterprise,,,,,,,,
dapprovals-basic,!provider:dapprovals-basic,,,,,,,,
dapprovals-standard,!provider:dapprovals-standard,,,,,,,,
datacurve-enterprise,!provider:datacurve-enterprise,,,,,,,,
datacurve-pay-as-you-go,!provider:datacurve-pay-as-you-go,,,,,,,,
ethersplay,!provider:ethersplay,,,,,,,,
filecoin-signing-tools,Filecoin Signing Tools,"[""[Docs](https://docs.filecoin.io/reference/built-in-actors)""]",Signal Tool,"[""Tool""]",$0,,Free,Filecoin signing libraries and tools for interacting with Filecoin actors,FALSE
foundry,!provider:foundry,,,,,,,,
fvm-assemblyscript-sdk,FVM AssemblyScript SDK,"[""[GitHub](https://github.com/Zondax/fvm-as-sdk)""]",SDK,"[""SDK""]",$0,,Free,AssemblyScript SDK for Filecoin Virtual Machine smart contract development,FALSE
fvm-beryx-address-converter,FVM Beryx Address Converter,"[""[Website](https://beryx.io/address_converter)""]",Address Converter,"[""Tool""]",$0,,Free,Utility to convert Filecoin addresses,FALSE
fvm-go-graphsplit,FVM Go Graphsplit,"[""[GitHub](https://github.com/filedrive-team/go-graphsplit)""]",Data preparation,"[""Data preparation""]",$0,,Free,GraphSplit tool for preparing large datasets for Filecoin,FALSE
fvm-powergate-textile,FVM Powergate Textile,"[""[Docs](https://docs.textile.io/powergate/)"",""[GitHub](https://github.com/textileio/powergate)""]",SDK,"[""SDK""]",$0,,Free,Textile Powergate SDK for building on Filecoin,FALSE
fvm-tinygo-sdk,FVM Tinygo SDK,"[""[GitHub](https://github.com/ipfs-force-community/go-fvm-sdk)""]",FVM Go SDK,"[""SDK""]",$0,,Free,Go SDK for Filecoin Virtual Machine smart contract development,FALSE
ganache,!provider:ganache,,,,,,,,
