slug,provider,chain,technology,monitoringAndAnalytics,additionalFeatures,starred,availableApis,sdk,searchCapabilities,smartContractsVerifications,fullHistory,pricing,actionButtons
blockscout-mainnet,BlockScout,mainnet,BlockScout,"[""Accounts"", ""Transactions"", ""Blocks"", ""Tokens"", ""Gas"", ""Contracts""]","[""Token Tracker"", ""Top Accounts tracker""]",FALSE,"[""REST"", ""GraphQL"", ""JSON-RPC""]","[""Node.JS""]","[""Address"", ""Message ID"", ""Height"", ""Token""]",TRUE,TRUE,0,"[{""url"": ""https://filecoin-testnet.blockscout.com/"", ""type"": ""external"", ""label"": ""Explore""}, {""url"": ""https://docs.blockscout.com/"", ""type"": ""external"", ""label"": ""Docs""}]"
blockscout-calibnet,BlockScout,calibnet,BlockScout,"[""Accounts"", ""Transactions"", ""Blocks"", ""Tokens"", ""Gas"", ""Contracts""]","[""Token Tracker"", ""Top Accounts tracker""]",FALSE,"[""REST"", ""GraphQL"", ""JSON-RPC""]","[""Node.JS""]","[""Address"", ""Message ID"", ""Height"", ""Token""]",TRUE,TRUE,0,"[{""url"": ""https://filecoin-testnet.blockscout.com/"", ""type"": ""external"", ""label"": ""Explore""}, {""url"": ""https://docs.blockscout.com/"", ""type"": ""external"", ""label"": ""Docs""}]"
filscan-calibnet,FilScan,calibnet,custom,"[""Contracts"", ""Storage Power"", ""Block Rewards"", ""Storage Providers"", ""Tokens"", ""Storage Capacity""]",[],FALSE,[],[],"[""Address"", ""Message ID"", ""Height"", ""Block"", ""Miner ID"", ""FNS""]",TRUE,TRUE,0,"[{""url"": ""https://calibration.filscan.io"", ""type"": ""external"", ""label"": ""Explore""}]"
filscan-mainnet,FilScan,mainnet,custom,"[""Contracts"", ""Storage Power"", ""Block Rewards"", ""Storage Providers"", ""Tokens"", ""Storage Capacity""]",[],FALSE,[],[],"[""Address"", ""Message ID"", ""Height"", ""Block"", ""Miner ID"", ""FNS""]",TRUE,TRUE,0,"[{""url"": ""https://filscan.io"", ""type"": ""external"", ""label"": ""Explore""}]"
filfox-calibnet,FilFox,calibnet,custom,"[""Storage Power"", ""Sector Pledge"", ""Gas"", ""Storage Providers""]",[],FALSE,"[""REST""]",[],"[""Height"", ""Address"", ""Message ID""]",TRUE,TRUE,0,"[{""url"": ""https://calibration.filfox.info"", ""type"": ""external"", ""label"": ""Explore""}]"
filfox-mainnet,FilFox,mainnet,custom,"[""Storage Power"", ""Sector Pledge"", ""Gas"", ""Storage Providers""]",[],FALSE,"[""REST""]",[],"[""Height"", ""Address"", ""Message ID""]",TRUE,TRUE,0,"[{""url"": ""https://filfox.io"", ""type"": ""external"", ""label"": ""Explore""}]"
filutils-calibnet,FilUtils,calibnet,custom,"[""Gas"", ""Storage Power"", ""Tokens"", ""Sector Pledge"", ""Mining Reward"", ""Power Loss"", ""Orphan Blocks""]",[],FALSE,"[""JSON-RPC""]",[],"[""Height"", ""Block"", ""Address"", ""Message ID"", ""Miner ID""]",FALSE,TRUE,0,"[{""url"": ""https://calibration.filutils.com"", ""type"": ""external"", ""label"": ""Explore""}]"
filutils-mainnet,FilUtils,mainnet,custom,"[""Gas"", ""Storage Power"", ""Tokens"", ""Sector Pledge"", ""Mining Reward"", ""Power Loss"", ""Orphan Blocks""]",[],FALSE,"[""JSON-RPC""]",[],"[""Height"", ""Block"", ""Address"", ""Message ID"", ""Miner ID""]",FALSE,TRUE,0,"[{""url"": ""https://filutils.com"", ""type"": ""external"", ""label"": ""Explore""}]"
beryx-calibnet,Beryx,calibnet,custom,"[""Accounts"", ""Contracts"", ""Gas"", ""Mempool""]",[],FALSE,"[""JSON-RPC""]",[],"[""Height"", ""Block"", ""Address"", ""Message ID"", ""Event""]",TRUE,TRUE,0,"[{""url"": ""https://beryx.io"", ""type"": ""external"", ""label"": ""Explore""}]"
beryx-mainnet,Beryx,mainnet,custom,"[""Accounts"", ""Contracts"", ""Gas"", ""Mempool""]",[],FALSE,"[""JSON-RPC""]",[],"[""Height"", ""Block"", ""Address"", ""Message ID"", ""Event""]",TRUE,TRUE,0,"[{""url"": ""https://beryx.io"", ""type"": ""external"", ""label"": ""Explore""}]"
starboard-mainnet,Starboard,mainnet,custom,"[""DeFI Deposits / Borrows"", ""Storage Capacity"", ""Data Utilization Rate"", ""Active Miners"", ""Capacity Added"", ""Sector Onboarding"", ""Sectors Expiration"", ""Capacity Terminated"", ""Storage Power Added"", ""Sectors Added"", ""Faults"", ""Retrieval Success Rate"", ""Block Rewards"", ""Commit Pledge"", ""Active Deals"", ""Deal Duration"", ""Deal Size"", ""Deal Collateral"", ""Datacap Usage"", ""Network Fee"", ""Sealing cost"", ""Deal Publication Cost"", ""Contract Invocation Cost"", ""Gas Usage"", ""Circulating Supply"", ""Contracts"", ""Transactions"", ""Active Users"", ""Accounts"", ""Miner Revenue""]",[],FALSE,[],[],"[""Contract"", ""Message ID""]",TRUE,FALSE,0,"[{""url"": ""https://dashboard.starboard.ventures/explorer"", ""type"": ""external"", ""label"": ""Dashboard""}]"
