slug,provider,chain,address,technology,plan,trial,accessPrice,queryPrice,starred,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,additionalFeatures,verifiedUptime,verifiedLatency,verifiedBlocksBehindAvg,actionButtons,uptimeSla,bandwidthSla,blocksBehindSla,supportSla
dipdup-mainnet-free,!provider:dipdup-free,mainnet,,,,,,,,,,,,,,,,,"[""[Website](https://dipdup.io/)"",""[Docs](https://dipdup.io/docs/supported-networks/flare)""]",,,,
dipdup-mainnet-enterprise,!provider:dipdup-enterprise,mainnet,,,,,,,,,,,,,,,,,"[""[Website](https://dipdup.io/)"",""[Docs](https://dipdup.io/docs/supported-networks/flare)""]",,,,
dune-mainnet-free,!provider:dune-free,mainnet,,,,,,,,,,,,,,,,,"[""[Website](https://dune.com/chains/flare)"",""[Docs](https://docs.dune.com/data-catalog/evm/flare/overview)""]",,,,
dune-mainnet-pay-as-you-go,!provider:dune-pay-as-you-go,mainnet,,,,,,,,,,,,,,,,,"[""[Buy](https://dune.com/pricing)"",""[Docs](https://docs.dune.com/data-catalog/evm/flare/overview)""]",,,,
dune-mainnet-enterprise,!provider:dune-enterprise,mainnet,,,,,,,,,,,,,,,,,"[""[Contact](https://dune.com/enterprise)"",""[Docs](https://docs.dune.com/data-catalog/evm/flare/overview)""]",,,,
dune-songbird-free,!provider:dune-free,Songbird,,,,,,,,,,,,,,,,,"[""[Website](https://dune.com/chains/flare)"",""[Docs](https://docs.dune.com/data-catalog/evm/flare/overview)""]",,,,
dune-songbird-pay-as-you-go,!provider:dune-pay-as-you-go,Songbird,,,,,,,,,,,,,,,,,"[""[Buy](https://dune.com/pricing)"",""[Docs](https://docs.dune.com/data-catalog/evm/flare/overview)""]",,,,
dune-songbird-enterprise,!provider:dune-enterprise,Songbird,,,,,,,,,,,,,,,,,"[""[Contact](https://dune.com/enterprise)"",""[Docs](https://docs.dune.com/data-catalog/evm/flare/overview)""]",,,,
dune-coston2-free,!provider:dune-free,Coston2,,,,,,,,,,,,,,,,,"[""[Website](https://dune.com/chains/flare)"",""[Docs](https://docs.dune.com/data-catalog/evm/flare/overview)""]",,,,
dune-coston2-pay-as-you-go,!provider:dune-pay-as-you-go,Coston2,,,,,,,,,,,,,,,,,"[""[Buy](https://dune.com/pricing)"",""[Docs](https://docs.dune.com/data-catalog/evm/flare/overview)""]",,,,
dune-coston2-enterprise,!provider:dune-enterprise,Coston2,,,,,,,,,,,,,,,,,"[""[Contact](https://dune.com/enterprise)"",""[Docs](https://docs.dune.com/data-catalog/evm/flare/overview)""]",,,,
envio-mainnet-free,!provider:envio-free,mainnet,,,,,,,,,,,,,,,,,"[""[Website](https://envio.dev/)"",""[Docs](https://docs.envio.dev/docs/HyperIndex/flare)""]",,,,
envio-mainnet-pay-as-you-go,!provider:envio-pay-as-you-go,mainnet,,,,,,,,,,,,,,,,,"[""[Buy](https://envio.dev/pricing)"",""[Docs](https://docs.envio.dev/docs/HyperIndex/flare)""]",,,,
envio-mainnet-dedicated,!provider:envio-dedicated,mainnet,,,,,,,,,,,,,,,,,"[""[Contact](https://discord.com/invite/envio)"",""[Docs](https://docs.envio.dev/docs/HyperIndex/flare)""]",,,,
envio-songbird-free,!provider:envio-free,Songbird,,,,,,,,,,,,,,,,,"[""[Website](https://envio.dev/)"",""[Docs](https://docs.envio.dev/docs/HyperIndex/flare-songbird)""]",,,,
envio-songbird-pay-as-you-go,!provider:envio-pay-as-you-go,Songbird,,,,,,,,,,,,,,,,,"[""[Buy](https://envio.dev/pricing)"",""[Docs](https://docs.envio.dev/docs/HyperIndex/flare-songbird)""]",,,,
envio-songbird-dedicated,!provider:envio-dedicated,Songbird,,,,,,,,,,,,,,,,,"[""[Contact](https://discord.com/invite/envio)"",""[Docs](https://docs.envio.dev/docs/HyperIndex/flare-songbird)""]",,,,
goldsky-mainnet-free,!provider:goldsky-free,mainnet,,,,,,,,,,,,,,,,,"[""[Website](https://app.goldsky.com/)"",""[Docs](https://docs.goldsky.com/chains/flare#indexing-flare-with-goldsky)""]",,,,
